"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"
"4:02:00::"	","	","	"them"	"or"	"them_,"	",_,"	",_or"	"in_them_,"	"them_,_,"	",_,_or"	",_or_that"	"IN"	"PRP"	"ε"	"RB"	"ε"	"CC"	"IN"	"that"	"be"	"not"	"to"	"deny"	"that"	"he"	"has"	"be"	"aware"	"of"	"tradition"	"of_course"	"that"	"he"	"is"	"steep"	"in"	"them"	"or"	"that"	"he"	"has"	"deal"	"with"	"them"	"in"	"his"	"book"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	","	"∅"	"person"	"∅_∅"	"∅_,"	",_person"	"∅_∅_∅"	"∅_∅_,"	"∅_,_person"	",_person_was"	"ε"	"ε"	"ε"	"RB"	"ε"	"NNP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"honour"	"during"	"the"	"ceremony"	"with"	"the"	"presentation"	"of"	"a"	"diamond"	"stickpin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	","	"∅"	"one"	"∅_∅"	"∅_,"	",_one"	"∅_∅_∅"	"∅_∅_,"	"∅_,_one"	",_one_of"	"ε"	"ε"	"ε"	"RB"	"ε"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"major"	"reason"	"for"	"the"	"failure"	"of"	"the"	"ill-starred"	"expedition"	"appear"	"to"	"have"	"be"	"a"	"lack"	"of"	"full"	"information"	"on"	"the"	"extent"	"to"	"which"	"cuba"	"has"	"been"	"get"	"this"	"russian"	"military"	"equipment"	"0"	
"4:02:00::"	";"	","	"life"	"a"	"life_;"	";_,"	",_a"	"religious_life_;"	"life_;_,"	";_,_a"	",_a_contrast"	"JJ"	"NN"	"ε"	"RB"	"ε"	"DT"	"NN"	"of"	"protestant"	"congregation"	"to"	"social"	"difference"	"has"	"often"	"been"	"attribute"	"to"	"the"	"folksy"	"spirit"	"of"	"protestant"	"religious"	"life"	"in_fact"	"contrast"	"is"	"often"	"draw"	"in"	"this"	"regard"	"with"	"the"	"impersonal"	"roman_catholic"	"parish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	","	"psychologist"	"suggest"	"psychologist_,"	",_,"	",_suggest"	"some_psychologist_,"	"psychologist_,_,"	",_,_suggest"	",_suggest_that"	"JJ"	"NN"	"ε"	"RB"	"ε"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"in_fact"	"suggest"	"that"	"career"	"bound"	"husband"	"often"	"be"	"more"	"to"	"blame"	"for"	"topsy-turvy"	"marriage"	"than"	"their"	"wife"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	","	"∅"	"the"	"∅_∅"	"∅_,"	",_the"	"∅_∅_∅"	"∅_∅_,"	"∅_,_the"	",_the_noted"	"ε"	"ε"	"ε"	"RB"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"noted"	"psychologist"	"and"	"sex"	"researcher"	"person"	"has"	"declare"	"flatly"	"that"	"woman"	"be"	"sexually"	"superior"	"to"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"a"	"had"	"lethal_dose"	"had_be"	"be_a"	"a_lethal_dose"	"there_had_be"	"had_be_a"	"be_a_lethal_dose"	"a_lethal_dose_of"	"EX"	"VBD"	"VB"	"RB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"begin"	"to"	"whether"	"there"	"had"	"be"	"in_fact"	"a"	"lethal_dose"	"of"	"opium"	"in"	"the"	"cup"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"but"	"was"	","	"flatter"	",_but"	"but_was"	"was_flatter"	"her_,_but"	",_but_was"	"but_was_flatter"	"was_flatter_."	"PRP$"	"ε"	"CC"	"RB"	"VB"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"still"	"she"	"be"	"not"	"sorry"	"sit"	"by"	"her"	"but"	"in_fact"	"was"	"flatter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	","	"∅"	"it"	"∅_∅"	"∅_,"	",_it"	"∅_∅_∅"	"∅_∅_,"	"∅_,_it"	",_it_be"	"ε"	"ε"	"ε"	"RB"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"in"	"just"	"such"	"a"	"situation"	"that"	"the"	"profundity"	"of"	"person"	"argument"	"is"	"disclose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"-"	","	"authentic"	"impeccably"	"authentic_-"	"-_,"	",_impeccably"	"physically_authentic_-"	"authentic_-_,"	"-_,_impeccably"	",_impeccably_so"	"RB"	"JJ"	"ε"	"RB"	"ε"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"almost"	"every"	"film"	"bear"	"the"	"of"	"hollywood"	"be"	"physically"	"authentic"	"in_fact"	"impeccably"	"so"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
