"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"
"2:32:00::"	","	"bellows"	"''"	"."	"''_,"	",_bellows"	"bellows_."	"honor_''_,"	"''_,_bellows"	",_bellows_."	"bellows_._∅"	"NN"	"ε"	"ε"	"VB"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yes"	"your"	"honor"	"bellows"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	","	"secretary"	"``"	"secretary_,"	",_,"	",_``"	"press_secretary_,"	"secretary_,_,"	",_,_``"	",_``_i"	"NN"	"NN"	"ε"	"VB"	"ε"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ask"	"to"	"elaborate"	"pierre_salinger"	"press"	"secretary"	"reply"	"i"	"would"	"say"	"it"	"got"	"to"	"go"	"thru"	"several"	"more"	"drafts"	"0"	
"2:32:00::"	"to"	"to"	"undertake"	"inquiries"	"undertake_to"	"to_to"	"to_inquiries"	"cannot_undertake_to"	"undertake_to_to"	"to_to_inquiries"	"to_inquiries_."	"MD"	"VB"	"TO"	"VB"	"TO"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"doyle"	"undertake"	"to"	"reply"	"to"	"inquiries"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"a._lawrence_burbank"	":"	"prosecutor"	"∅"	"prosecutor_a._lawrence_burbank"	"a._lawrence_burbank_:"	":_∅"	"federal_prosecutor_a._lawrence_burbank"	"prosecutor_a._lawrence_burbank_:"	"a._lawrence_burbank_:_∅"	":_∅_∅"	"JJ"	"NN"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"schwab"	"also"	"declare"	"there"	"be"	"no"	"proof"	"of"	"weinstein"	"enter"	"a"	"conspiracy"	"to"	"use"	"the"	"u._s."	"mails"	"defraud"	"to_which"	"federal"	"a._lawrence_burbank"	"reply"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"oso"	"calmly"	"but"	","	"but_oso"	"oso_calmly"	"calmly_,"	"∅_but_oso"	"but_oso_calmly"	"oso_calmly_,"	"calmly_,_``"	"ε"	"CC"	"NNP"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"oso"	"reply"	"calmly"	"trouble"	"be"	"n't"	"easy"	"to"	"dodge"	"out"	"in_this"	"country"	"rev_'_rend"	"0"	"0"	
"2:32:00::"	","	"helva"	"''"	"logically"	"''_,"	",_helva"	"helva_logically"	"of_course_''_,"	"''_,_helva"	",_helva_logically"	"helva_logically_,"	"RB"	"ε"	"ε"	"VB"	"NNP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"helva"	"logically"	"activate"	"her"	"outside"	"scanners"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"∅"	"beatrice"	"∅"	":"	"∅_∅"	"∅_beatrice"	"beatrice_:"	"∅_∅_∅"	"∅_∅_beatrice"	"∅_beatrice_:"	"beatrice_:_``"	"ε"	"ε"	"ε"	"VB"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"beatrice"	"yea"	"and"	"i"	"will"	"weep"	"a"	"while"	"longer"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"wagner"	","	"∅"	"``"	"∅_wagner"	"wagner_,"	",_``"	"∅_∅_wagner"	"∅_wagner_,"	"wagner_,_``"	",_``_ca"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reply"	"ca"	"n't"	"you"	"just"	"see"	"the"	"headline"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"would"	"to"	"president_kennedy"	"the_most"	"president_kennedy_would"	"would_to"	"to_the_most"	"promise_president_kennedy_would"	"president_kennedy_would_to"	"would_to_the_most"	"to_the_most_vital"	"VB"	"NNP"	"MD"	"VB"	"TO"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"american"	"press"	"clamor"	"for"	"days"	"promise"	"president_kennedy"	"would"	"reply"	"to"	"the_most"	"vital"	"domestic"	"and"	"foreign"	"problems"	"confront"	"the"	"united_states"	
"2:32:00::"	"'"	"'"	"going_to"	"to"	"going_to_'"	"'_'"	"'_to"	"am_going_to_'"	"going_to_'_'"	"'_'_to"	"'_to_bradley"	"VBP"	"VB"	"ε"	"VB"	"ε"	"TO"	"NNP"	"be"	"a"	"dignity"	"and"	"even"	"a"	"hint"	"of"	"the"	"inspired"	"prophet"	"in"	"his"	"words"	"to"	"one"	"correspondent"	"you"	"ask"	"what"	"i"	"am"	"going_to"	"reply"	"bradley"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"he"	"."	","	"∅"	",_he"	"he_."	"._∅"	"''_,_he"	",_he_."	"he_._∅"	"._∅_∅"	"ε"	"ε"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"study"	"anatomy"	"with"	"he"	"reply"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"and"	"be"	"reflex"	"invariably"	"reflex_and"	"and_be"	"be_invariably"	"whose_reflex_and"	"reflex_and_be"	"and_be_invariably"	"be_invariably_so"	"WP$"	"NN"	"CC"	"NN"	"VB"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"be"	"it"	"ask"	"the"	"child"	"reflex"	"and"	"reply"	"be"	"invariably"	"so"	"admirably"	"normal"	"and"	"predictable"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"'s"	":"	"person"	"``"	"person_'s"	"'s_:"	":_``"	"or_person_'s"	"person_'s_:"	"'s_:_``"	":_``_better"	"CC"	"NNP"	"POS"	"NN"	"ε"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"person"	"person"	"reply"	"better"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"would"	"softly"	"person"	"and"	"person_would"	"would_softly"	"softly_and"	"∅_person_would"	"person_would_softly"	"would_softly_and"	"softly_and_his"	"ε"	"NNP"	"MD"	"NN"	"RB"	"CC"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"would"	"reply"	"softly"	"and"	"his"	"father"	"apologetically"	"would"	"ask"	"him"	"to"	"repeat"	"0"	"0"	"0"	
"1:10:01::"	"'s"	"be"	"person"	"like"	"person_'s"	"'s_be"	"be_like"	"∅_person_'s"	"person_'s_be"	"'s_be_like"	"be_like_a"	"ε"	"NNP"	"POS"	"NN"	"VB"	"JJ"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reply"	"be"	"like"	"a"	"declaration"	"of"	"war"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"your"	"to"	"be"	"that"	"be_your"	"your_to"	"to_that"	"what_be_your"	"be_your_to"	"your_to_that"	"to_that_''"	"WP"	"VB"	"PRP$"	"NN"	"RB"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"your"	"reply"	"to"	"that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"his"	"with"	"open"	"trembling"	"open_his"	"his_with"	"with_trembling"	"she_open_his"	"open_his_with"	"his_with_trembling"	"with_trembling_finger"	"PRP"	"VB"	"PRP$"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"his"	"reply"	"with"	"trembling"	"finger"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
