"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"
"1:06:00::"	"her"	"-"	"get"	"and"	"get_her"	"her_-"	"-_and"	"and_get_her"	"get_her_-"	"her_-_and"	"-_and_handbag"	"CC"	"VB"	"PRP$"	"NN"	"ε"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"person"	"want"	"me"	"to"	"do"	"was"	"go_to"	"person"	"house"	"do"	"whatever"	"detective"	"do"	"and"	"get"	"her"	"clothes"	"and"	"handbag"	"contain"	"her"	"identification"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"her"	"and"	"out"	"spoilables"	"out_her"	"her_and"	"and_spoilables"	"hang_out_her"	"out_her_and"	"her_and_spoilables"	"and_spoilables_upon"	"VB"	"IN"	"PRP$"	"NN"	"CC"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"draw"	"a"	"long"	"breath"	"and"	"the"	"trunk"	"and"	"hang"	"out"	"her"	"clothes"	"and"	"spoilables"	"upon"	"the"	"wagon"	"rib"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"his"	"off"	"take_off"	"and"	"take_off_his"	"his_off"	"off_and"	"to_take_off_his"	"take_off_his_off"	"his_off_and"	"off_and_person"	"TO"	"VB"	"PRP$"	"NN"	"RB"	"CC"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"start"	"take_off"	"his"	"clothes"	"off"	"and"	"person"	"sit_down"	"on"	"the"	"bench"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	","	"become"	"move_on"	"more"	"move_on_,"	",_become"	"become_more"	"generation_move_on_,"	"move_on_,_become"	",_become_more"	"become_more_suitable"	"NN"	"VB"	"ε"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"move_on"	"clothes"	"become"	"more"	"suitable"	"for"	"the"	"enjoyment"	"of"	"outdoor"	"sport"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"conservative"	"and"	","	"haircut"	",_conservative"	"conservative_and"	"and_haircut"	"sight_,_conservative"	",_conservative_and"	"conservative_and_haircut"	"and_haircut_,"	"NN"	"ε"	"JJ"	"NN"	"CC"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"dislike"	"person"	"sight"	"conservative"	"clothes"	"and"	"haircut"	"smile"	"a"	"shade"	"too"	"earnestly"	"boyish"	"for"	"a"	"man"	"who"	"must"	"be"	"well"	"into"	"his"	"thirties"	"handclasp"	"too"	"consciously"	"quick"	"and"	"firm"	"0"	"0"	
"1:06:00::"	"civilian"	","	"in"	"on"	"in_civilian"	"civilian_,"	",_on"	"him_in_civilian"	"in_civilian_,"	"civilian_,_on"	",_on_a"	"PRP"	"IN"	"JJ"	"NN"	"ε"	"IN"	"DT"	"the"	"fact"	"that"	"business"	"be"	"slow"	"this"	"time_of_year"	"and"	"his"	"one"	"salesgirl"	"be"	"not"	"the"	"most"	"enterprising"	"person"	"have"	"no"	"worry"	"at_all"	"and"	"he"	"say"	"as"	"much"	"to"	"person"	"who"	"sit"	"across"	"from"	"in"	"civilian"	"on"	"a"	"jiffy-couch-a-bed"	"mauve"	"velour"	"nothing"	"down"	"special"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"fresh"	"to"	"them"	"put_on"	"them_fresh"	"fresh_to"	"to_put_on"	"give_them_fresh"	"them_fresh_to"	"fresh_to_put_on"	"to_put_on_,"	"VB"	"PRP"	"JJ"	"NN"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"voltaire"	"surprise"	"however"	"their"	"give"	"them"	"fresh"	"clothes"	"to"	"put_on"	"open"	"his"	"purse"	"to"	"lend"	"them"	"money"	"and"	"sit_down"	"them"	"down"	"before"	"a"	"good"	"dinner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"'s"	"."	"kid"	"∅"	"kid_'s"	"'s_."	"._∅"	"the_kid_'s"	"kid_'s_."	"'s_._∅"	"._∅_∅"	"DT"	"NN"	"POS"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ma"	"poke"	"her"	"in"	"the"	"kid"	"clothes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"'s"	"pile"	"kid"	"on"	"kid_'s"	"'s_pile"	"pile_on"	"the_kid_'s"	"kid_'s_pile"	"'s_pile_on"	"pile_on_the"	"DT"	"NN"	"POS"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"did"	"n't"	"want"	"to"	"touch"	"him"	"and"	"i"	"hope"	"would"	"do"	"it"	"but"	"she"	"keep"	"look"	"at"	"the"	"kid"	"clothes"	"pile"	"on"	"the"	"floor"	"and"	"the"	"pool"	"of"	"water"	"by"	"them"	"and"	"did"	"n't"	"make"	"any"	"move"	"to"	
"1:06:00::"	"your"	"all_over"	","	"the"	",_your"	"your_all_over"	"all_over_the"	"upstairs_,_your"	",_your_all_over"	"your_all_over_the"	"all_over_the_floor"	"RB"	"ε"	"PRP$"	"NN"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"moving"	"day"	"person"	"remind"	"her"	"and"	"i"	"bet"	"leave"	"thing"	"every_which_way"	"upstairs"	"your"	"clothes"	"all_over"	"the"	"floor"	"and"	"the"	"bed"	"not"	"made"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
