"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"
"2:30:00::"	"will"	"steady"	"movement"	"momentum"	"movement_will"	"will_steady"	"steady_momentum"	"recovery_movement_will"	"movement_will_steady"	"will_steady_momentum"	"steady_momentum_to"	"NN"	"NN"	"MD"	"VB"	"JJ"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"present"	"movement"	"will"	"gather"	"steady"	"momentum"	"to"	"lift"	"the"	"economy"	"to"	"a"	"new"	"historic"	"peak"	"by"	"this"	"autumn"	"beryl_w._sprinkel"	"economist"	"of"	"harris_trust"	"savings_bank"	"chicago"	"predict"	"at"	"the"	"closing"	"session"	"here"	"tuesday"	"of"	"investment_bankers"	"assn."	"california"	"group"	"conference"	
"2:41:00::"	"will"	"to"	"end"	"sing"	"end_will"	"will_to"	"to_sing"	"east_end_will"	"end_will_to"	"will_to_sing"	"to_sing_marlowe"	"NNP"	"NN"	"MD"	"VB"	"TO"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"perhaps"	"difficult"	"to"	"conceive"	"but"	"imagine"	"that"	"tonight"	"london"	"bridge"	"the"	"teddy_boys"	"of"	"the"	"east"	"end"	"will"	"gather"	"to"	"sing"	"marlowe"	"herrick"	"shakespeare"	"and"	"perhaps"	"some"	"lyrics"	"of"	"their"	"own"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"faithful"	"at"	"the"	"lauchli"	"the_faithful"	"faithful_at"	"at_lauchli"	"of_the_faithful"	"the_faithful_at"	"faithful_at_lauchli"	"at_lauchli_'s"	"IN"	"DT"	"JJ"	"VB"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"undismayed"	"by"	"this"	"contretemps"	"a"	"band"	"of"	"the"	"faithful"	"gather"	"at"	"lauchli"	"home"	"at"	"a._m."	"the"	"next"	"day"	"put_on"	"their"	"uniforms"	"and"	"head"	"for"	"a"	"farm"	"several"	"miles"	"away"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"pilgrims"	"to"	"the"	"thank"	"the_pilgrims"	"pilgrims_to"	"to_thank"	"∅_the_pilgrims"	"the_pilgrims_to"	"pilgrims_to_thank"	"to_thank_the"	"ε"	"DT"	"NNPS"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pilgrims"	"gather"	"to"	"thank"	"the"	"lord"	"for"	"his"	"benevolence"	"during"	"their"	"first"	"year"	"in"	"the"	"new"	"land"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"staff"	"around"	"'s"	"the"	"'s_staff"	"staff_around"	"around_the"	"president_'s_staff"	"'s_staff_around"	"staff_around_the"	"around_the_tent"	"NNP"	"POS"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many_of"	"the"	"music-loving"	"members"	"the"	"president"	"staff"	"gather"	"around"	"the"	"tent"	"listen"	"and"	"watch"	"the"	"rapt"	"attention"	"give"	"by"	"the"	"young"	"seated"	"audience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"guests"	"in"	"and"	"their"	"and_guests"	"guests_in"	"in_their"	"masons_and_guests"	"and_guests_in"	"guests_in_their"	"in_their_house"	"NNPS"	"CC"	"NNS"	"VB"	"VB"	"PRP$"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"more_than"	"scottish_rite"	"and"	"guests"	"gather"	"in"	"their"	"house"	"of"	"the"	"temple"	"to"	"pay"	"tribute"	"to"	"their"	"most"	"prominent"	"leader"	"albert_pike"	"who"	"head"	"the"	"scottish_rite"	"from"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"man"	"fruit"	"no"	"''"	"no_man"	"man_fruit"	"fruit_''"	"shall_no_man"	"no_man_fruit"	"man_fruit_''"	"fruit_''_'"	"MD"	"DT"	"NN"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"let"	"me"	"go"	"for"	"the"	"night"	"gathers"	"me"	"in"	"the"	"night"	"shall"	"no"	"man"	"gather"	"fruit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"storm_clouds"	"ominously"	"as"	"in_the_sky"	"as_storm_clouds"	"storm_clouds_ominously"	"ominously_in_the_sky"	"road_as_storm_clouds"	"as_storm_clouds_ominously"	"storm_clouds_ominously_in_the_sky"	"ominously_in_the_sky_again"	"NN"	"IN"	"NN"	"VB"	"RB"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"marty_land"	"stand"	"alone"	"on"	"red-clay"	"road"	"as"	"storm_clouds"	"gather"	"ominously"	"in_the_sky"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"will"	"its"	"civil_defense"	"own"	"civil_defense_will"	"will_its"	"its_own"	"local_civil_defense_will"	"civil_defense_will_its"	"will_its_own"	"its_own_information"	"JJ"	"NN"	"MD"	"VB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"your"	"civil_defense"	"will"	"gather"	"its"	"own"	"information"	"and"	"will"	"receive"	"broad"	"information"	"from"	"state"	"and"	"federal"	"source"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"administration"	"with"	"person"	"western"	"person_administration"	"administration_with"	"with_western"	"the_person_administration"	"person_administration_with"	"administration_with_western"	"with_western_utopian"	"DT"	"NNP"	"NN"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"will"	"recall"	"that"	"the"	"confident"	"liberal"	"of"	"the"	"person"	"administration"	"gather"	"with"	"western"	"utopian"	"in"	"san_francisco"	"to"	"set_up"	"the"	"legal"	"framework"	"finally"	"and"	"at_last"	"to"	"rationalize"	"war"	"to"	"rationalize"	"want"	"and"	"fear"	"out"	"of"	"the"	"world"	"the"	"united_nations"	"0"	"0"	
