"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"2:31:03::"	"are"	"for"	"types"	"tax"	"types_are"	"are_for"	"for_tax"	"certain_types_are"	"types_are_for"	"are_for_tax"	"for_tax_purposes"	"JJ"	"NNS"	"VBP"	"VB"	"IN"	"NN"	"NNS"	"difficult"	"to"	"tabulate"	"exactly"	"what"	"was"	"mean"	"in"	"each"	"individual"	"situation"	"but"	"the"	"conclusion"	"may"	"be"	"drawn"	"that"	"towns"	"do"	"not"	"assess"	"movable"	"personal_property"	"and"	"of"	"the"	"remainder"	"only"	"certain"	"types"	"are"	"for"	"tax"	"purposes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"the"	"of"	"∅"	"the"	"∅_the"	"the_of"	"of_the"	"∅_∅_the"	"∅_the_of"	"the_of_the"	"of_the_product"	"ε"	"ε"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"value"	"of"	"the"	"product"	"you"	"can"	"raise"	"on"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"the"	"of"	"estimate"	"earnings"	"estimate_the"	"the_of"	"of_earnings"	",_estimate_the"	"estimate_the_of"	"the_of_earnings"	"of_earnings_of"	"ε"	"VB"	"DT"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"next"	"the"	"value"	"of"	"earnings"	"of"	"the"	"farm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"the"	"of"	"figure"	"the"	"figure_the"	"the_of"	"of_the"	"to_figure_the"	"figure_the_of"	"the_of_the"	"of_the_farm"	"TO"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"the"	"value"	"of"	"the"	"farm"	"in_terms_of"	"investment"	"income"	"divide"	"the"	"estimated"	"annual"	"net"	"farm"	"income"	"by"	"the"	"percentage"	"that"	"you"	"could"	"expect"	"to"	"get"	"in"	"interest"	"if"	"the"	"money"	"were"	"invest"	"in"	"some"	"way"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"rudimentary"	"feeling"	"be"	","	"be_rudimentary"	"rudimentary_feeling"	"feeling_,"	"feeling_be_rudimentary"	"be_rudimentary_feeling"	"rudimentary_feeling_,"	"feeling_,_both"	"NN"	"VB"	"JJ"	"NN"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"most"	"feeling"	"be"	"rudimentary"	"value"	"feeling"	"both"	"positive"	"negative"	"a"	"desire"	"to"	"appropriate"	"this"	"or"	"that"	"part"	"of"	"the"	"environment"	"into"	"oneself"	"a"	"desire"	"to"	"avoid"	"and"	"repel"	"this"	"or"	"that"	"part"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"literary"	"has"	"of"	"been"	"of_literary"	"literary_has"	"has_been"	"feature_of_literary"	"of_literary_has"	"literary_has_been"	"has_been_deem"	"NN"	"IN"	"JJ"	"NN"	"VBZ"	"VBN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"salient"	"feature"	"of"	"literary"	"value"	"has"	"been"	"deem"	"to"	"be"	"its"	"influence"	"upon"	"and"	"organization"	"of"	"emotion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"emotional"	"of"	"the"	"the"	"the_emotional"	"emotional_of"	"of_the"	"of_the_emotional"	"the_emotional_of"	"emotional_of_the"	"of_the_study"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"sketch"	"the"	"emotional"	"value"	"of"	"the"	"study"	"of"	"literature"	"would"	"have_to"	"take_account"	"of"	"all_of"	"these"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"special"	"for"	"some"	"our"	"some_special"	"special_for"	"for_our"	"have_some_special"	"some_special_for"	"special_for_our"	"for_our_time"	"VB"	"DT"	"JJ"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"a"	"second"	"feature"	"of"	"the"	"influence"	"of"	"literature"	"literature"	"on"	"emotional"	"life"	"which"	"may"	"have"	"some"	"special"	"value"	"for"	"our"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"the"	"of"	"of"	"literature"	"of_the"	"the_of"	"of_literature"	"view_of_the"	"of_the_of"	"the_of_literature"	"of_literature_be"	"NN"	"IN"	"DT"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"frequent"	"view"	"of"	"the"	"value"	"of"	"literature"	"be"	"the"	"education"	"of"	"sensibility"	"that"	"it"	"is"	"think"	"to"	"provide"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"the"	"of"	"for"	"this"	"for_the"	"the_of"	"of_this"	"reason_for_the"	"for_the_of"	"the_of_this"	"of_this_procedure"	"NN"	"IN"	"DT"	"NN"	"RB"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"for"	"the"	"value"	"of"	"this"	"procedure"	"be"	"simply"	"that"	"the"	"applicant"	"were"	"test"	"at"	"work"	"in"	"different"	"situation"	"by"	"the"	"judgment"	"of"	"a"	"number"	"of"	"expert"	"who"	"could"	"see"	"how"	"the"	"salesman"	"conduct"	"themselves"	"with"	"different"	"but"	"typical"	"restaurant"	"owner"	"and"	"manager"	
