"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"
"2:29:00::"	"half-man"	"with"	"the"	"something"	"the_half-man"	"half-man_with"	"with_something"	"∅_the_half-man"	"the_half-man_with"	"half-man_with_something"	"with_something_close_to"	"ε"	"DT"	"NN"	"VB"	"IN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"half-man"	"laugh"	"with"	"something"	"close_to"	"real"	"humor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"morgan"	"."	"∅"	"∅"	"∅_morgan"	"morgan_."	"._∅"	"∅_∅_morgan"	"∅_morgan_."	"morgan_._∅"	"._∅_∅"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"laugh"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"start"	","	"maggie"	"and"	"maggie_start"	"start_,"	",_and"	"∅_maggie_start"	"maggie_start_,"	"start_,_and"	",_and_she"	"ε"	"NNP"	"VB"	"VB"	"ε"	"CC"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"start"	"laugh"	"and"	"she"	"laugh"	"so"	"hard"	"she"	"could"	"n't"	"stop"	"and"	"she"	"keep_on"	"laugh"	"while"	"she"	"lug"	"the"	"clothes"	"out"	"to"	"the"	"yard"	"to"	"hang"	"them"	"up"	"while"	"the"	"sun"	"was"	"still"	"shine"	
"2:29:00::"	"she"	"so"	"and"	"hard"	"and_she"	"she_so"	"so_hard"	",_and_she"	"and_she_so"	"she_so_hard"	"so_hard_she"	"ε"	"CC"	"PRP"	"VB"	"RB"	"JJ"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"maggie"	"start"	"and"	"she"	"laugh"	"so"	"hard"	"she"	"could"	"n't"	"stop"	"and"	"she"	"keep_on"	"laugh"	"while"	"she"	"lug"	"the"	"clothes"	"out"	"to"	"the"	"yard"	"to"	"hang"	"them"	"up"	"while"	"the"	"sun"	"was"	"still"	"shine"	"0"	"0"	
"2:29:00::"	"keep_on"	"while"	"she"	"she"	"she_keep_on"	"keep_on_while"	"while_she"	"and_she_keep_on"	"she_keep_on_while"	"keep_on_while_she"	"while_she_lug"	"CC"	"PRP"	"VB"	"VB"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"maggie"	"start"	"laugh"	"and"	"she"	"laugh"	"so"	"hard"	"she"	"n't"	"stop"	"and"	"she"	"keep_on"	"laugh"	"while"	"she"	"lug"	"the"	"clothes"	"out"	"to"	"the"	"yard"	"to"	"hang"	"them"	"up"	"while"	"the"	"sun"	"was"	"still"	"shine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"maggie"	"."	"∅"	"∅"	"∅_maggie"	"maggie_."	"._∅"	"∅_∅_maggie"	"∅_maggie_."	"maggie_._∅"	"._∅_∅"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"laugh"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"all"	"and"	"they"	"stand"	"they_all"	"all_and"	"and_stand"	"and_they_all"	"they_all_and"	"all_and_stand"	"and_stand_in"	"CC"	"PRP"	"DT"	"VB"	"CC"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"pipes"	"and"	"they"	"all"	"laugh"	"and"	"stand"	"in"	"ice_water"	"to"	"their"	"ankles"	"while"	"they"	"swab"	"the"	"bathrooms"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"she"	"."	"then"	"∅"	"then_she"	"she_."	"._∅"	"and_then_she"	"then_she_."	"she_._∅"	"._∅_∅"	"RB"	"RB"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"make"	"a"	"face"	"him"	"and"	"then"	"she"	"laugh"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"mama"	"."	","	"∅"	",_mama"	"mama_."	"._∅"	"''_,_mama"	",_mama_."	"mama_._∅"	"._∅_∅"	"ε"	"ε"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"oh"	"yes"	"laugh"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	","	","	"say"	"and"	"say_,"	",_,"	",_and"	"person_say_,"	"say_,_,"	",_,_and"	",_and_they"	"NNP"	"VB"	"ε"	"VB"	"ε"	"CC"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"be"	"a"	"darn"	"sight"	"more"	"comfortable"	"there"	"person"	"say"	"laugh"	"and"	"they"	"all"	"laugh"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
