"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"
"1:18:00::"	"the"	"and"	"by"	"which"	"by_the"	"the_and"	"and_which"	"swallow_by_the"	"by_the_and"	"the_and_which"	"and_which_would"	"VB"	"IN"	"DT"	"NN"	"CC"	"WDT"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"several"	"year"	"ago"	"headline"	"were"	"make"	"by"	"a"	"radio_transmitter"	"capsule"	"which"	"could"	"be"	"swallow"	"by"	"the"	"patient"	"and"	"which"	"would"	"then"	"radio"	"internal"	"pressure"	"data"	"to"	"external"	"receiver"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"for"	"in"	"several"	"in_the"	"the_for"	"for_several"	"remain_in_the"	"in_the_for"	"the_for_several"	"for_several_day"	"VB"	"IN"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"advantage"	"of_this"	"method"	"be"	"the"	"pill"	"can"	"remain"	"in"	"the"	"patient"	"for"	"several"	"day"	"permit"	"observation"	"under"	"natural"	"condition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"'s"	"in"	"communicating"	"in_the"	"the_'s"	"'s_communicating"	",_in_the"	"in_the_'s"	"the_'s_communicating"	"'s_communicating_,"	"ε"	"IN"	"DT"	"NN"	"POS"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"not"	"easy"	"for"	"the"	"to"	"discern"	"when"	"in"	"the"	"patient"	"communicating"	"an"	"introject"	"has"	"appear"	"and"	"is"	"hold_sway"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"is"	"in_which"	"manifest"	"in_which_the"	"the_is"	"is_manifest"	"instance_in_which_the"	"in_which_the_is"	"the_is_manifest"	"is_manifest_an"	"NN"	"RB"	"DT"	"NN"	"VBZ"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"particularly"	"hard"	"for"	"the"	"therapist"	"grasp"	"be"	"those"	"instance"	"in_which"	"the"	"patient"	"is"	"manifest"	"an"	"introject"	"traceable"	"to"	"something"	"in"	"the"	"therapist"	"some"	"aspect"	"of"	"the"	"therapist"	"of"	"which"	"the"	"latter"	"be"	"himself"	"only"	"poorly"	"aware"	"and"	"the"	"recognition"	"of"	"which"	"as"	"a"	"part"	"of"	"himself"	"he"	"find"	"distinctly"	"unwelcome"	
"1:18:00::"	"another"	","	"∅"	"a"	"∅_another"	"another_,"	",_a"	"∅_∅_another"	"∅_another_,"	"another_,_a"	",_a_paranoid"	"ε"	"ε"	"DT"	"NN"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"patient"	"a"	"paranoid"	"woman"	"for"	"many"	"month"	"infuriate"	"not_only"	"me"	"but"	"the"	"ward"	"personnel"	"and"	"her"	"fellow"	"patient"	"by"	"arrogantly"	"behave"	"as"	"though"	"she"	"own"	"the"	"whole"	"building"	"as"	"though"	"she"	"be"	"the"	"only"	"person"	"in"	"it"	"whose"	"need"	"be"	"to"	"be"	"meet"	"0"	"0"	
"1:18:00::"	"fellow"	"by"	"her"	"arrogantly"	"her_fellow"	"fellow_by"	"by_arrogantly"	"and_her_fellow"	"her_fellow_by"	"fellow_by_arrogantly"	"by_arrogantly_behave"	"CC"	"PRP$"	"JJ"	"NN"	"IN"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"patient"	"a"	"paranoid"	"woman"	"for"	"many"	"month"	"infuriate"	"me"	"but"	"the"	"ward"	"personnel"	"and"	"her"	"fellow"	"patient"	"by"	"arrogantly"	"behave"	"as"	"though"	"she"	"own"	"the"	"whole"	"building"	"as"	"though"	"she"	"be"	"the"	"only"	"person"	"in"	"it"	"whose"	"need"	"be"	"to"	"be"	"meet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"'s"	"many_of"	"more"	"many_of_the"	"the_'s"	"'s_more"	"great_many_of_the"	"many_of_the_'s"	"the_'s_more"	"'s_more_puzzling"	"JJ"	"JJ"	"DT"	"NN"	"POS"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"my"	"experience"	"great"	"many_of"	"the"	"patient"	"more"	"puzzling"	"verbal"	"communication"	"be"	"so"	"for"	"the"	"reason"	"that"	"concrete"	"meaning"	"have"	"not"	"become"	"differentiate"	"from"	"figurative"	"meaning"	"in"	"his"	"subjective"	"experience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"himself"	"meaning"	"be"	"meaning_the"	"the_himself"	"himself_be"	"hidden_meaning_the"	"meaning_the_himself"	"the_himself_be"	"himself_be_,"	"JJ"	"NN"	"DT"	"NN"	"PRP"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"such"	"meaning"	"the"	"patient"	"himself"	"be"	"more_often_than_not"	"entirely"	"unaware"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"select"	"."	"in"	"∅"	"in_select"	"select_."	"._∅"	"blood_in_select"	"in_select_."	"select_._∅"	"._∅_∅"	"NN"	"IN"	"VB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"of"	"the"	"group"	"location"	"florida"	"and"	"the"	"location"	"set_out"	"to"	"discover"	"if"	"avocado"	"because"	"of"	"their"	"high"	"content"	"of"	"unsaturated"	"would"	"reduce"	"the"	"cholesterol"	"of"	"the"	"blood"	"in"	"select"	"patient"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"'s"	"whether"	"tactual"	"whether_the"	"the_'s"	"'s_tactual"	"doubt_whether_the"	"whether_the_'s"	"the_'s_tactual"	"'s_tactual_sensitivity"	"NN"	"IN"	"DT"	"NN"	"POS"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"obviously"	"a"	"satisfactory"	"answer"	"to"	"the"	"third"	"question"	"be"	"imperative"	"if"	"the"	"argument"	"is"	"get"	"underway"	"at_all"	"for"	"if"	"there"	"be"	"any"	"possibility"	"doubt"	"whether"	"the"	"patient"	"tactual"	"sensitivity"	"had"	"been"	"impair"	"by"	"the"	"occipital"	"lesion"	"any"	"finding"	"whatsoever"	"in"	"regard_to"	"the"	"first"	"question"	"become"	"completely"	"ambiguous"	"and"	"fail"	"altogether"	"of_course"	"as"	"evidence"	"to"	"establish"	"the"	"desired"	"conclusion"	"0"	
