"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"2:32:01::"	"and"	"for"	"haunches"	"more"	"haunches_and"	"and_for"	"for_more"	"their_haunches_and"	"haunches_and_for"	"and_for_more"	"for_more_,"	"PRP$"	"NNS"	"CC"	"VB"	"VB"	"JJR"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"her"	"partisan"	"audience"	"such"	"picayune"	"haggling"	"would"	"have"	"seem"	"nothing"	"more_than"	"a"	"critic"	"strive"	"to"	"hold"	"franchise"	"they"	"just"	"sit_back"	"on"	"their"	"haunches"	"and"	"cry"	"for"	"more"	"as"	"though"	"they"	"could"	"never"	"get"	"enough"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"keep"	"for"	"that"	"``"	"that_keep"	"keep_for"	"for_``"	"fellow_that_keep"	"that_keep_for"	"keep_for_``"	"for_``_get_happy"	"NN"	"WDT"	"VB"	"VB"	"VB"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"audience"	"would"	"n't"	"let"	"her"	"leave"	"until"	"it"	"had"	"over"	"the"	"rainbow"	"although"	"the"	"fellow"	"that"	"keep"	"cry"	"for"	"get_happy"	"had_to"	"go_home"	"unhappy"	"about"	"that"	"item"	"anyway"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"was"	"softly"	"clyde_miller"	"to"	"clyde_miller_was"	"was_softly"	"softly_to"	"∅_clyde_miller_was"	"clyde_miller_was_softly"	"was_softly_to"	"softly_to_himself"	"ε"	"NNP"	"VBD"	"VB"	"RB"	"TO"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"was"	"cry"	"softly"	"to"	"himself"	"shed"	"his"	"striped"	"suit"	"and"	"fumble"	"into"	"the"	"nondescript"	"butternut"	"pants"	"the"	"worn"	"brown"	"shirt"	"0"	"0"	"0"	
"2:32:01::"	"girl"	"."	"the"	"∅"	"the_girl"	"girl_."	"._∅"	"?_the_girl"	"the_girl_."	"girl_._∅"	"._∅_∅"	"ε"	"DT"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not_much"	"of"	"a"	"meal"	"girl"	"cry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:03::"	"far"	"from"	"a"	"the"	"a_far"	"far_from"	"from_the"	"seem_a_far"	"a_far_from"	"far_from_the"	"from_the_individualism"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"socialism"	"implicit_in"	"the"	"slogan"	"of"	"the"	"roosevelt"	"revolution"	"from"	"want"	"and"	"fear"	"seem"	"a"	"far"	"cry"	"from"	"the"	"individualism"	"of"	"the"	"first_amendment"	"to"	"the"	"constitution"	"or"	"of"	"the"	"jacksonian"	"frontier"	"0"	
"1:10:04::"	"a"	"for"	"this"	"help"	"this_a"	"a_for"	"for_help"	"call_this_a"	"this_a_for"	"a_for_help"	"for_help_''"	"VB"	"DT"	"DT"	"NN"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"call"	"a"	"cry"	"for"	"help"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	","	"person"	"''"	"."	"''_,"	",_person"	"person_."	"wonderful_''_,"	"''_,_person"	",_person_."	"person_._∅"	"JJ"	"ε"	"ε"	"VB"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"oh"	"that"	"be"	"cry"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"!"	"the"	"''"	"lady"	"''_!"	"!_the"	"the_lady"	"heaven_forbid_''_!"	"''_!_the"	"!_the_lady"	"the_lady_,"	"VB"	"ε"	"ε"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"heaven_forbid"	"the"	"lady"	"enchant"	"by"	"his"	"music"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"they"	"."	"!"	"∅"	"!_they"	"they_."	"._∅"	"''_!_they"	"!_they_."	"they_._∅"	"._∅_∅"	"ε"	"ε"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"can"	"n't"	"go_in"	"way"	"they"	"cry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"person"	"and"	","	"stamp"	",_person"	"person_and"	"and_stamp"	"''_,_person"	",_person_and"	"person_and_stamp"	"and_stamp_her"	"ε"	"ε"	"NNP"	"VB"	"CC"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"could"	"scratch"	"her"	"out"	"person"	"cry"	"and"	"stamp"	"her"	"foot"	"when"	"i"	"come_back"	"from"	"the"	"phone_booth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
