"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"1:07:00::"	"given"	"of"	"any"	"morphophonemic"	"any_given"	"given_of"	"of_morphophonemic"	"for_any_given"	"any_given_of"	"given_of_morphophonemic"	"of_morphophonemic_complexity"	"IN"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"the"	"difficulty"	"of"	"analysis"	"of"	"any"	"subsystem"	"in"	"the"	"phonology"	"be"	"an"	"inverse_function"	"of"	"the"	"size"	"smaller"	"system"	"more"	"troublesome"	"for"	"given"	"degree"	"of"	"morphophonemic"	"complexity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"hundred-and-eighty"	"turn"	"perform"	"."	"perform_hundred-and-eighty"	"hundred-and-eighty_turn"	"turn_."	"properly_perform_hundred-and-eighty"	"perform_hundred-and-eighty_turn"	"hundred-and-eighty_turn_."	"turn_._∅"	"RB"	"VB"	"JJ"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"valley"	"be"	"only"	"a_few"	"hundred"	"yard"	"wide"	"just_about"	"room"	"enough"	"for"	"a"	"properly"	"perform"	"hundred-and-eighty"	"degree"	"turn"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"some"	"that"	"to"	"national"	"to_some"	"some_that"	"that_national"	"assure_to_some"	"to_some_that"	"some_that_national"	"that_national_and"	"VB"	"RB"	"JJ"	"NN"	"IN"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"continuation"	"and"	"expansion"	"of"	"the"	"development"	"program"	"will"	"assure"	"to"	"some"	"degree"	"that"	"national"	"and"	"community"	"leaders"	"will"	"be"	"make"	"aware"	"of"	"the"	"ever"	"growing"	"need"	"for"	"shooting"	"facility"	"and"	"activity"	"for"	"hunting"	"and"	"shooting"	"in"	"answer"	"to"	"public"	"demand"	
"1:07:00::"	"slight"	"''"	"a"	","	"a_slight"	"slight_''"	"''_,"	"in_a_slight"	"a_slight_''"	"slight_''_,"	"''_,_to_be_sure"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"only"	"eighteen"	"year"	"of"	"noninterference"	"there"	"were"	"already"	"of"	"melioration"	"though"	"in"	"a"	"slight"	"degree"	"to_be_sure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"any"	"of"	"with"	"realism"	"with_any"	"any_of"	"of_realism"	",_with_any"	"with_any_of"	"any_of_realism"	"of_realism_,"	"ε"	"IN"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"enormity"	"of"	"what"	"person"	"had"	"tell"	"him"	"it"	"impossible"	"for"	"person"	"to"	"accept"	"with"	"any"	"degree"	"of"	"realism"	"the"	"actuality"	"of"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"the"	"of"	":"	"structure"	":_the"	"the_of"	"of_structure"	"investigate_:_the"	":_the_of"	"the_of_structure"	"of_structure_in"	"VB"	"ε"	"DT"	"NN"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"would"	"have"	"been"	"desirable"	"for"	"the"	"two"	"community"	"to"	"have"	"differ"	"only"	"in"	"respect"	"the"	"variable"	"being"	"investigate"	"the"	"degree"	"of"	"structure"	"in"	"teaching_method"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"first"	"polynomial"	"of"	","	"of_first"	"first_polynomial"	"polynomial_,"	"product_of_first"	"of_first_polynomial"	"first_polynomial_,"	"polynomial_,_i.e."	"NN"	"IN"	"JJ"	"NN"	"NN"	"ε"	"RB"	"notation"	"of"	"the"	"proof"	"of"	"theorem"	"let"	"us"	"take_a_look"	"at"	"the"	"special"	"case"	"in"	"which"	"the"	"minimal"	"polynomial"	"for"	"t"	"be"	"a"	"product"	"first"	"polynomial"	"i.e."	"the"	"case"	"in"	"which"	"each"	"f"	"be"	"of"	"the"	"form"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"significant"	"."	"a"	"∅"	"a_significant"	"significant_."	"._∅"	"to_a_significant"	"a_significant_."	"significant_._∅"	"._∅_∅"	"TO"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"general"	"intellectual"	"outlook"	"which"	"had"	"appear"	"in"	"eleventh"	"century"	"was"	"now"	"consolidate"	"to"	"a"	"significant"	"degree"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"doctor_of_education"	"from"	"earned"	"the"	"earned_doctor_of_education"	"doctor_of_education_from"	"from_the"	"an_earned_doctor_of_education"	"earned_doctor_of_education_from"	"doctor_of_education_from_the"	"from_the_group"	"DT"	"JJ"	"NN"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"hold"	"earned"	"doctor_of_education"	"degree"	"from"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:03::"	"-"	"weather"	"45"	"the"	"45_-"	"-_weather"	"weather_the"	"the_45_-"	"45_-_weather"	"-_weather_the"	"weather_the_game"	"DT"	"CD"	"ε"	"NN"	"NN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"degree"	"weather"	"the"	"game"	"was"	"click_off"	"in"	"thanks"	"to"	"only"	"three"	"base_on_balls"	"and"	"some"	"good"	"infield"	"play"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
