"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"
"2:38:00::"	","	"the"	"johnston"	"petitions"	"johnston_,"	",_the"	"the_petitions"	"of_johnston_,"	"johnston_,_the"	",_the_petitions"	"the_petitions_from"	"IN"	"NNP"	"ε"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"william_a._martinelli"	"chairman"	"of"	"the"	"group"	"of"	"johnston"	"transfer"	"the"	"petitions"	"from"	"his"	"left_hand"	"to"	"his"	"right_hand"	"after"	"the"	"council"	"vote"	"to"	"accept"	"them"	"at"	"the"	"suggestion"	"of"	"council_president_raymond_fortin_sr."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"the"	"trip"	"gear"	"trip_to"	"to_the"	"the_gear"	"after_trip_to"	"trip_to_the"	"to_the_gear"	"the_gear_to"	"IN"	"NN"	"TO"	"VB"	"DT"	"NN"	"TO"	"enough"	"to"	"have"	"facilities"	"for"	"year"	"round"	"anchorage"	"for"	"their"	"craft"	"will"	"recall"	"the"	"tedious"	"procedure"	"of"	"load"	"their"	"gear"	"into"	"the"	"car"	"drive"	"to"	"the"	"water"	"and"	"make"	"trip"	"after"	"trip"	"to"	"the"	"gear"	"to"	"the"	"boat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"been"	"to"	"has"	"an"	"has_been"	"been_to"	"to_an"	",_has_been"	"has_been_to"	"been_to_an"	"to_an_original"	"ε"	"VBZ"	"VBN"	"VB"	"TO"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"norman_paris"	"has"	"provide"	"them"	"with"	"extremely"	"effective"	"orchestral"	"accompaniment"	"turn_to"	"the"	"current"	"musical"	"season"	"on"	"broadway"	"the_most"	"widely"	"acclaimed"	"the"	"new"	"arrivals"	"how_to_succeed_in_business_without_really_trying"	"has"	"been"	"transfer"	"to"	"an"	"original"	"cast"	"album"	"r._c._a._victor_loc"	"stereo"	"lso"	"that"	"have"	"some"	"entertaining"	"moments"	"although"	"it"	"be"	"scarcely"	"as"	"inventive"	"as"	"the"	"praise"	"elicit"	"by"	"the"	"show"	"might"	"lead"	"one"	"to"	"expect"	
"2:40:01::"	"but"	"to"	"agencies"	"the"	"agencies_but"	"but_to"	"to_the"	"the_agencies_but"	"agencies_but_to"	"but_to_the"	"to_the_rotary"	"DT"	"NNS"	"CC"	"VB"	"TO"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_that"	"ownership"	"of"	"all"	"vehicles"	"rest_on"	"with"	"the"	"state"	"motor_pool"	"are"	"pay"	"for"	"with"	"funds"	"appropriate"	"to"	"the"	"agencies"	"but"	"transfer"	"to"	"the"	"rotary"	"fund"	"mention"	"earlier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"to"	"to"	"effort"	"mr._mitchell"	"effort_to"	"to_to"	"to_mr._mitchell"	"an_effort_to"	"effort_to_to"	"to_to_mr._mitchell"	"to_mr._mitchell_some"	"DT"	"NN"	"TO"	"VB"	"TO"	"NNP"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"are"	"now"	"an"	"effort"	"to"	"transfer"	"to"	"mr._mitchell"	"some"	"of"	"the"	"glow"	"of"	"sen._case"	"candidacy"	"of"	"last"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"were"	"from"	"operations"	"administrative"	"operations_were"	"were_from"	"from_administrative"	"field_operations_were"	"operations_were_from"	"were_from_administrative"	"from_administrative_personnel"	"NN"	"NNS"	"VBD"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"field"	"were"	"transfer"	"from"	"administrative"	"personnel"	"primarily"	"engage"	"in"	"tasks"	"to"	"specially"	"trained"	"teams"	"of"	"full-time"	"african"	"investigators"	"three"	"teams"	"each"	"work"	"in"	"two"	"provinces"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"heat"	"rate"	"high"	"at"	"high_heat"	"heat_rate"	"rate_at"	"the_high_heat"	"high_heat_rate"	"heat_rate_at"	"rate_at_the"	"DT"	"JJ"	"NN"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"heat"	"transfer"	"rate"	"at"	"the"	"anode"	"compare"	"with"	"those"	"at"	"the"	"cathode"	"can"	"be"	"explain"	"by"	"the"	"physical_phenomenon"	"occur"	"in"	"free_burning"	"arc"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"heat"	"to"	"the"	"the"	"the_heat"	"heat_to"	"to_the"	"∅_the_heat"	"the_heat_to"	"heat_to_the"	"to_the_anode"	"ε"	"DT"	"NN"	"NN"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"heat"	"transfer"	"to"	"the"	"anode"	"in"	"free_burning"	"arc"	"is"	"enhance"	"by"	"a"	"hot"	"gas_jet"	"flow"	"from"	"the"	"cathode"	"towards"	"the"	"anode"	"with"	"velocity"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"oxygen"	"relationship"	"the"	"of"	"the_oxygen"	"oxygen_relationship"	"relationship_of"	"determine_the_oxygen"	"the_oxygen_relationship"	"oxygen_relationship_of"	"relationship_of_the"	"VB"	"DT"	"NN"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"important"	"aspect"	"study"	"was"	"to"	"determine"	"the"	"oxygen"	"transfer"	"relationship"	"of"	"the"	"mechanical"	"aerator"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"oxygen"	"rate"	"the"	"."	"the_oxygen"	"oxygen_rate"	"rate_."	"determine_the_oxygen"	"the_oxygen_rate"	"oxygen_rate_."	"rate_._∅"	"VB"	"DT"	"NN"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"series"	"of"	"eight"	"special"	"test"	"were"	"at"	"different"	"rotor"	"speed"	"to"	"determine"	"the"	"oxygen"	"transfer"	"rate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
