"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"2:40:03::"	"can"	"their"	"they"	"control"	"they_can"	"can_their"	"their_control"	"that_they_can"	"they_can_their"	"can_their_control"	"their_control_and"	"IN"	"PRP"	"MD"	"VB"	"PRP$"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"our"	"hypothesis"	"that"	"kohnstamm-positive"	"subjects"	"be"	"less"	"hesitant"	"relinquish"	"control"	"than"	"be"	"kohnstamm-negative"	"subjects"	"that"	"they"	"can"	"give_up"	"their"	"control"	"and"	"allow"	"themselves"	"to"	"be"	"reactors"	"rather_than"	"actors"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"must_not"	"''"	"we"	"."	"we_must_not"	"must_not_''"	"''_."	",_we_must_not"	"we_must_not_''"	"must_not_''_."	"''_._∅"	"ε"	"PRP"	"VB"	"VB"	"ε"	"ε"	"ε"	"cite"	"east_germany"	"where"	"after"	"years"	"of"	"soviet"	"rule"	"it"	"has"	"become"	"necessary"	"to"	"build"	"a"	"wall"	"to"	"keep"	"the"	"people"	"in"	"and"	"add"	"so_long"	"as"	"people"	"rebel"	"we"	"must_not"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:01::"	"and"	"his"	"-"	"program"	"-_and"	"and_his"	"his_program"	"sacrifice_-_and"	"-_and_his"	"and_his_program"	"his_program_."	"VB"	"ε"	"CC"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"congressmen"	"return"	"from"	"recess"	"say"	"the"	"people"	"admire"	"president_kennedy"	"so_much"	"they"	"even"	"willing"	"to"	"heed"	"his"	"call"	"to"	"sacrifice"	"and"	"give_up"	"his"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	","	"a"	"seven"	"brilliant"	"seven_,"	",_a"	"a_brilliant"	"the_seven_,"	"seven_,_a"	",_a_brilliant"	"a_brilliant_law_practice"	"DT"	"CD"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hamilton"	"poorest"	"of"	"seven"	"give_up"	"a"	"brilliant"	"law_practice"	"to"	"enter"	"washington"	"cabinet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"these"	"``"	"notions"	"``_to"	"to_these"	"these_notions"	"∅_``_to"	"``_to_these"	"to_these_notions"	"these_notions_require"	"ε"	"ε"	"TO"	"VB"	"DT"	"NNS"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"give_up"	"these"	"notions"	"require"	"a"	"revolution"	"in"	"thought"	"mr._clark"	"say"	"in"	"reminisce"	"about"	"the"	"abrupt_changes"	"in"	"ideas"	"he"	"experience"	"when"	"he"	"begin"	"read"	"organic_gardening"	"and"	"modern_nutrition"	"in"	"a"	"search"	"for"	"help"	"with"	"his"	"problems"	
"2:42:00::"	"to"	"their"	"refuse"	"weeping"	"refuse_to"	"to_their"	"their_weeping"	"heavens_refuse_to"	"refuse_to_their"	"to_their_weeping"	"their_weeping_."	"NNS"	"VB"	"TO"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"refuse"	"to"	"give_up"	"their"	"weeping"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"∅"	"the"	"∅"	"violin"	"∅_∅"	"∅_the"	"the_violin"	"∅_∅_∅"	"∅_∅_the"	"∅_the_violin"	"the_violin_open_up"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"violin"	"open_up"	"a"	"whole"	"new"	"career"	"for"	"ilona_schmidl-seeberg"	"a"	"tiny"	"hungarian"	"who"	"fritz_kreisler"	"had"	"predict"	"would"	"have"	"a"	"promising"	"career"	"on"	"the"	"concert"	"stage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"person"	"ask"	"so"	","	"so_person"	"person_ask"	"ask_,"	"∅_so_person"	"so_person_ask"	"person_ask_,"	"ask_,_and"	"ε"	"RB"	"NNP"	"VB"	"VB"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"give_up"	"ask"	"and"	"accept"	"her"	"reprieve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"and"	"the"	"ninth"	"a"	"ninth_and"	"and_the"	"the_a"	"the_ninth_and"	"ninth_and_the"	"and_the_a"	"the_a_'s"	"DT"	"JJ"	"CC"	"VB"	"DT"	"DT"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rookie"	"southpaw"	"person"	"relieve"	"at_the_start"	"of"	"the"	"ninth"	"and"	"give_up"	"the"	"a"	"fifth"	"tally"	"on"	"a"	"walk"	"to"	"second_baseman"	"person"	"a"	"wild_pitch"	"and"	"person"	"single"	"under"	"shortstop"	"person"	"glove"	"into"	"center"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	","	"the"	"pounder"	"group"	"pounder_,"	",_the"	"the_group"	"-_pounder_,"	"pounder_,_the"	",_the_group"	"the_group_'"	"ε"	"NN"	"ε"	"VB"	"DT"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"a"	"foot"	"inch"	"pounder"	"give_up"	"group"	"last"	"two"	"safety"	"over"	"the"	"final"	"three"	"frame"	"escape"	"a"	"load"	"of"	"trouble"	"in"	"the"	"ninth"	"when"	"the"	"group"	"threaten"	"but"	"fail"	"to"	"tally"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
