"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"2:40:05::"	"and"	"their"	"allocate"	"own"	"allocate_and"	"and_their"	"their_own"	"to_allocate_and"	"allocate_and_their"	"and_their_own"	"their_own_resources"	"TO"	"VB"	"CC"	"VB"	"PRP$"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"most"	"important"	"of"	"all"	"the"	"less"	"developed"	"countries"	"must"	"persuade"	"to"	"take"	"the"	"necessary"	"steps"	"to"	"allocate"	"and"	"commit"	"their"	"own"	"resources"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"would"	"them"	"program"	"to"	"program_would"	"would_them"	"them_to"	"a_program_would"	"program_would_them"	"would_them_to"	"them_to_."	"DT"	"NN"	"MD"	"VB"	"PRP"	"TO"	"ε"	"me"	"to"	"commend"	"your"	"editorial"	"in_which"	"you"	"stress"	"the"	"fact"	"that"	"a"	"program"	"of"	"county"	"colleges"	"will"	"substantially"	"increase"	"local"	"tax"	"burdens"	"and"	"that"	"taxpayers"	"have"	"a"	"right"	"to"	"a"	"clear"	"idea"	"of_what"	"such"	"a"	"program"	"them"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"was"	"to"	"and"	"the"	"and_was"	"was_to"	"to_the"	"bail_and_was"	"and_was_to"	"was_to_the"	"to_the_women"	"NN"	"CC"	"VBD"	"VB"	"TO"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hold"	"as"	"a"	"material"	"witness"	"in"	"the"	"compulsory"	"prostitution"	"trial"	"of"	"the"	"comely"	"courtesan"	"be"	"unable"	"to"	"raise"	"bail"	"and"	"was"	"commit"	"to"	"the"	"women"	"house"	"of"	"detention"	"a"	"terribly"	"overcrowded"	"prison"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"rather_than"	"national"	"war"	"suicide"	"war_rather_than"	"rather_than_national"	"national_suicide"	"a_war_rather_than"	"war_rather_than_national"	"rather_than_national_suicide"	"national_suicide_,"	"DT"	"NN"	"RB"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"our"	"national"	"interest"	"lie_in"	"be"	"fight"	"and"	"win"	"a"	"war"	"rather_than"	"commit"	"national"	"suicide"	"then"	"we"	"must"	"take"	"a"	"much"	"more"	"penetrating"	"look"	"at"	"ballistic_missiles"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"c._p._snow"	"the"	"book"	"errors"	"book_c._p._snow"	"c._p._snow_the"	"the_errors"	"forthcoming_book_c._p._snow"	"book_c._p._snow_the"	"c._p._snow_the_errors"	"the_errors_of"	"JJ"	"NN"	"NNP"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whether"	"in"	"forthcoming"	"book"	"c._p._snow"	"commit"	"the"	"errors"	"of"	"judgment"	"and"	"of"	"fact"	"with"	"which"	"your"	"heavily"	"autobiographical"	"critic"	"charge"	"him"	"be"	"important"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"not"	"sin"	"does"	"["	"does_not"	"not_sin"	"sin_["	"god_does_not"	"does_not_sin"	"not_sin_["	"sin_[_that_is"	"NNP"	"VBZ"	"RB"	"VB"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whoever"	"be_born"	"god"	"does"	"not"	"commit"	"sin"	"that_is"	"he"	"does"	"not"	"practice"	"sin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"god"	"sin"	"of"	"."	"of_god"	"god_sin"	"sin_."	"be_born_of_god"	"of_god_sin"	"god_sin_."	"sin_._∅"	"VB"	"IN"	"NNP"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"know"	"that"	"no"	"who"	"be_born"	"of"	"god"	"commit"	"sin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"already"	"to"	"are"	"establish"	"are_already"	"already_to"	"to_establish"	"we_are_already"	"are_already_to"	"already_to_establish"	"to_establish_man"	"PRP"	"VBP"	"RB"	"VB"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"already"	"commit"	"to"	"establish"	"man"	"supremacy"	"over"	"nature"	"and"	"everywhere"	"on"	"earth"	"not"	"merely"	"in"	"the"	"limited"	"social"	"political"	"economical"	"context"	"we"	"be"	"fond"	"of"	"today"	
"2:40:02::"	"was"	"to"	"he"	"group"	"he_was"	"was_to"	"to_group"	"when_he_was"	"he_was_to"	"was_to_group"	"to_group_for"	"WRB"	"PRP"	"VBD"	"VB"	"TO"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"first"	"conflict"	"with"	"the"	"police"	"come"	"in"	"seventeen"	"when"	"he"	"was"	"commit"	"to"	"group"	"for"	"three"	"month"	"for"	"burglary"	"two"	"year"	"later"	"he"	"serve"	"another"	"three"	"month"	"for"	"assault"	"0"	"0"	"0"	"0"	
"2:32:01::"	"ourselves"	"to"	"find"	"an"	"find_ourselves"	"ourselves_to"	"to_an"	"we_find_ourselves"	"find_ourselves_to"	"ourselves_to_an"	"to_an_important"	"PRP"	"VB"	"PRP"	"VB"	"TO"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"we"	"assert"	"the"	"value"	"such"	"study"	"we"	"find"	"ourselves"	"commit"	"to"	"an"	"important"	"assumption"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
