"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"1:18:02::"	"the"	"in"	"catch_up_with"	"the"	"catch_up_with_the"	"the_in"	"in_the"	"he_catch_up_with_the"	"catch_up_with_the_in"	"the_in_the"	"in_the_living_room"	"PRP"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"the"	"old_man"	"in"	"the"	"living_room"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"the"	"laugh"	"think_of"	"under"	"think_of_the"	"the_laugh"	"laugh_under"	"he_think_of_the"	"think_of_the_laugh"	"the_laugh_under"	"laugh_under_the"	"PRP"	"VB"	"DT"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"the"	"old_man"	"laugh"	"under"	"the"	"glitter"	"of"	"the"	"great"	"chandelier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"the"	"."	"dislike"	"∅"	"dislike_the"	"the_."	"._∅"	"nor_dislike_the"	"dislike_the_."	"the_._∅"	"._∅_∅"	"CC"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"neither"	"nor"	"dislike"	"the"	"old_man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"the"	"had"	"about"	"long_since"	"about_the"	"the_had"	"had_long_since"	"unusual_about_the"	"about_the_had"	"the_had_long_since"	"had_long_since_happen"	"JJ"	"IN"	"DT"	"NN"	"VBD"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"only"	"unusual"	"about"	"the"	"old_man"	"had"	"long_since"	"happen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"the"	"even"	"if"	"think_about"	"if_the"	"the_even"	"even_think_about"	"but_if_the"	"if_the_even"	"the_even_think_about"	"even_think_about_his"	"CC"	"IN"	"DT"	"NN"	"RB"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"the"	"old_man"	"even"	"think_about"	"his"	"wife"	"now"	"nobody"	"cared_a_fig"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"the"	"was"	"for"	"frame_in"	"for_the"	"the_was"	"was_frame_in"	"sameness_for_the"	"for_the_was"	"the_was_frame_in"	"was_frame_in_by"	"NN"	"IN"	"DT"	"NN"	"VBD"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sameness"	"the"	"old_man"	"was"	"frame_in"	"by"	"a"	"wall"	"of"	"ginkgo"	"tree"	"which"	"divide"	"these"	"quarter"	"from"	"the"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"the"	"silently"	"∅"	"feed_upon"	"∅_the"	"the_silently"	"silently_feed_upon"	"∅_∅_the"	"∅_the_silently"	"the_silently_feed_upon"	"silently_feed_upon_these"	"ε"	"ε"	"DT"	"NN"	"RB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"old_man"	"silently"	"feed_upon"	"these"	"street"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"the"	"'s"	"∅"	"son"	"∅_the"	"the_'s"	"'s_son"	"∅_∅_the"	"∅_the_'s"	"the_'s_son"	"'s_son_throw"	"ε"	"ε"	"DT"	"NN"	"POS"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"old_man"	"son"	"throw"	"himself"	"down"	"belly"	"first"	"upon"	"a"	"concrete"	"step"	"take_in"	"the"	"coolness"	"of"	"it"	"and"	"dream"	"of"	"the"	"day"	"he"	"would"	"be"	"rich"	
"1:18:02::"	"the"	"near"	"∅"	"the"	"∅_the"	"the_near"	"near_the"	"∅_∅_the"	"∅_the_near"	"the_near_the"	"near_the_corner"	"ε"	"ε"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"old_man"	"near"	"the"	"corner"	"let"	"the"	"shadow"	"pass_over"	"him"	"sense"	"something"	"portentous"	"in"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"angry"	"about"	"an"	"the"	"an_angry"	"angry_about"	"about_the"	"become_an_angry"	"an_angry_about"	"angry_about_the"	"about_the_state"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"the"	"afternoon"	"on"	"my"	"old"	"friend"	"person"	"the"	"anglo-american"	"literary"	"critic"	"his"	"mother"	"be_born"	"in"	"ohio"	"who"	"live"	"alone"	"in"	"a"	"fairytale"	"cottage"	"on"	"the"	"location"	"raise_hell"	"and"	"peacock"	"the"	"former"	"only"	"when"	"venerable"	"gentleman"	"become"	"an"	"angry"	"about"	"the"	"state"	"of"	"literature"	"or"	"something"	"else"	"that"	"is"	"dwindle"	"and"	"diminish"	"such_as"	"human"	"stature"	"hope"	"and"	"humor"	"0"	"0"	"0"	"0"	"0"	"0"	
