"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"
"4:02:00::"	"∅"	","	"∅"	"the"	"∅_∅"	"∅_,"	",_the"	"∅_∅_∅"	"∅_∅_,"	"∅_,_the"	",_the_need"	"ε"	"ε"	"ε"	"RB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"need"	"for"	"the"	"b-70"	"as"	"a"	"strategic"	"weapon_system"	"be"	"doubtful"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	","	"∅"	"man"	"∅_∅"	"∅_,"	",_man"	"∅_∅_∅"	"∅_∅_,"	"∅_,_man"	",_man_can"	"ε"	"ε"	"ε"	"RB"	"ε"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"man"	"can"	"readily"	"deduce"	"that"	"the"	"primary"	"objective"	"end"	"of"	"the"	"conjugal"	"act"	"be"	"procreation"	"the"	"propagation"	"of"	"the"	"human_race"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"mind"	"begin"	"'s"	"to"	"'s_mind"	"mind_begin"	"begin_to"	"officer_'s_mind"	"'s_mind_begin"	"mind_begin_to"	"begin_to_take_shape"	"NN"	"POS"	"NN"	"RB"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"problem"	"in"	"policy"	"officer"	"mind"	"thus"	"begin"	"to"	"take_shape"	"as"	"a"	"galaxy"	"of"	"utterly"	"complicated"	"factor"	"political"	"military"	"economic"	"financial"	"legal"	"legislative"	"procedural"	"administrative"	"to"	"be"	"sort_out"	"and"	"handle"	"within"	"a"	"political_system"	"which"	"move"	"by"	"consent"	"in_relation_to"	"an"	"external"	"environment"	"which"	"cannot"	"be"	"under_control"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"was"	"explain"	"provision"	"in"	"provision_was"	"was_explain"	"explain_in"	"of_this_provision_was"	"provision_was_explain"	"was_explain_in"	"explain_in_the"	"RB"	"NN"	"VBD"	"RB"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"purpose"	"provision"	"was"	"thus"	"explain"	"in"	"the"	"court"	"opinion"	"section"	"is"	"design"	"to"	"arrest"	"in"	"its"	"incipiency"	"not_only"	"the"	"substantial"	"lessening"	"of"	"competition"	"from"	"the"	"acquisition"	"by"	"one"	"corporation"	"of"	"the"	"whole"	"or"	"any"	"part"	"of"	"the"	"stock"	"of"	"a"	"competing"	"corporation"	"but"	"also"	"to"	"arrest"	"in"	"their"	"incipiency"	"restraint"	"or"	"monopoly"	"in"	"a"	"relevant"	"market"	"which"	"as"	"a"	"reasonable"	"probability"	"appear"	"at"	"the"	"time"	"of"	"suit"	"likely"	"to"	"result"	"from"	"the"	"acquisition"	"by"	"one"	"corporation"	"of"	"all"	"or"	"any"	"part"	"of"	"the"	"stock"	"of"	"any"	"corporation"	
"4:02:00::"	"∅"	","	"∅"	"a"	"∅_∅"	"∅_,"	",_a"	"∅_∅_∅"	"∅_∅_,"	"∅_,_a"	",_a_finding"	"ε"	"ε"	"ε"	"RB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"finding"	"of"	"conspiracy"	"to"	"restrain"	"trade"	"or"	"attempt"	"to"	"monopolize"	"was"	"exclude"	"from"	"the"	"court"	"decision"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	"in"	"∅"	"person"	"∅_∅"	"∅_in"	"in_person"	"∅_∅_∅"	"∅_∅_in"	"∅_in_person"	"in_person_the"	"ε"	"ε"	"ε"	"RB"	"IN"	"NNP"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"person"	"the"	"union_of_soviet_socialist_republics"	"produce"	"one"	"of"	"the"	"great"	"composer"	"of"	"the"	"twentieth"	"century"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	"a"	"∅"	"new"	"∅_∅"	"∅_a"	"a_new"	"∅_∅_∅"	"∅_∅_a"	"∅_a_new"	"a_new_pattern"	"ε"	"ε"	"ε"	"RB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"new"	"pattern"	"of"	"day"	"begin"	"to"	"develop"	"for"	"person"	"did"	"not"	"die"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"and"	"eliminate"	"enter"	"a"	"enter_and"	"and_eliminate"	"eliminate_a"	"they_enter_and"	"enter_and_eliminate"	"and_eliminate_a"	"eliminate_a_large_number"	"PRP"	"VB"	"CC"	"RB"	"VB"	"DT"	"NN"	"nation"	"wish"	"to"	"get"	"a"	"head_start"	"in"	"physical"	"fitness"	"over"	"all"	"nation"	"it"	"would"	"start"	"its"	"kindergarten"	"student"	"on"	"a"	"program"	"of"	"gymnastics"	"the"	"day"	"they"	"enter"	"eliminate"	"a"	"large_number"	"of"	"the"	"problem"	"that"	"plague"	"american"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	","	"∅"	"in"	"∅_∅"	"∅_,"	",_in"	"∅_∅_∅"	"∅_∅_,"	"∅_,_in"	",_in_``"	"ε"	"ε"	"ε"	"RB"	"ε"	"IN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the_story_of_ruth"	"we"	"have"	"person"	"person"	"and"	"person"	"and"	"set"	"that"	"be"	"meticulously"	"authentic"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	","	"create"	"string"	"a"	"string_,"	",_create"	"create_a"	"taut_string_,"	"string_,_create"	",_create_a"	"create_a_sequence"	"JJ"	"NN"	"ε"	"RB"	"VB"	"DT"	"NN"	"0"	"0"	"some"	"time"	"in"	"person"	"cut_out"	"and"	"fold"	"a"	"piece_of_paper"	"in"	"the"	"shape"	"of"	"a"	"guitar"	"to"	"this"	"he"	"glue"	"and"	"fit"	"piece_of_paper"	"four"	"taut"	"string"	"create"	"a"	"sequence"	"of"	"flat"	"surface"	"in"	"real"	"and"	"sculptural"	"space"	"to"	"which"	"there"	"cling"	"only"	"the"	"vestige"	"of"	"a"	"picture_plane"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"be"	"an"	"argument"	"ideal"	"argument_be"	"be_an"	"an_ideal"	"first_argument_be"	"argument_be_an"	"be_an_ideal"	"an_ideal_experiment"	"JJ"	"NN"	"VB"	"RB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"argument"	"be"	"thus"	"an"	"ideal"	"experiment"	"in"	"which"	"we"	"use"	"the"	"method"	"of"	"difference"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
