"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"
"3:00:02::;5:00:00:unpunctual:00"	"too"	"for"	"be"	"that"	"be_too"	"too_for"	"for_that"	"it_be_too"	"be_too_for"	"too_for_that"	"for_that_''"	"PRP"	"VB"	"RB"	"JJ"	"IN"	"IN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"say"	"i"	"have"	"some"	"antiseptic"	"salve"	"me"	"but"	"it"	"be"	"too"	"late"	"for"	"that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:unpunctual:00"	"be"	"''"	"'ll"	"."	"'ll_be"	"be_''"	"''_."	"you_'ll_be"	"'ll_be_''"	"be_''_."	"''_._∅"	"PRP"	"MD"	"VB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"come_on"	"you"	"late"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"mass"	"go_to"	"."	"go_to_a"	"a_mass"	"mass_."	"were_go_to_a"	"go_to_a_mass"	"a_mass_."	"mass_._∅"	"VBD"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"half-hour"	"later"	"he"	"get_up"	"her"	"up"	"to"	"go_out"	"for"	"breakfast"	"so"	"the"	"hear"	"them"	"hurry"	"down"	"the"	"stairs"	"would"	"think"	"they"	"were"	"go_to"	"a"	"late"	"mass"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"not"	"than"	"yugoslav_claims_agreement_of_1948"	"december_31"	"yugoslav_claims_agreement_of_1948_not"	"not_than"	"than_december_31"	"the_yugoslav_claims_agreement_of_1948_not"	"yugoslav_claims_agreement_of_1948_not_than"	"not_than_december_31"	"than_december_31_,"	"DT"	"CD"	"RB"	"JJ"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"commission"	"shall"	"complete"	"its"	"affairs"	"in"	"connection"	"settlement"	"of"	"group"	"claim"	"arise"	"under"	"the"	"yugoslav_claims_agreement_of_1948"	"not"	"late"	"than"	"december_31"	"provided"	"that"	"nothing"	"in_this"	"provision"	"shall"	"be"	"construe"	"to"	"limit"	"the"	"life"	"of"	"the"	"commission"	"or"	"its"	"authority"	"to"	"act_on"	"future"	"agreement"	"which"	"may"	"be"	"effect"	"under"	"the"	"provision"	"of_this"	"legislation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"their"	"twenties"	"in"	","	"in_their"	"their_twenties"	"twenties_,"	"man_in_their"	"in_their_twenties"	"their_twenties_,"	"twenties_,_neither"	"NN"	"IN"	"PRP$"	"JJ"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"company"	"grow"	"out"	"of"	"effort"	"two"	"completely"	"inexperienced"	"man"	"in"	"their"	"late"	"twenties"	"neither"	"have"	"a"	"formal"	"education"	"applicable"	"to"	"or"	"experience"	"in"	"manufacturing"	"or"	"selling"	"our"	"type"	"of"	"article"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"urbanized"	"19"	"more"	"th"	"more_urbanized"	"urbanized_19"	"19_th"	"the_more_urbanized"	"more_urbanized_19"	"urbanized_19_th"	"19_th_and"	"DT"	"RB"	"JJ"	"JJ"	"JJ"	"DT"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"carry_over"	"the"	"more"	"urbanized"	"late"	"th"	"and"	"early"	"th"	"century"	"when"	"the"	"man"	"rule"	"the"	"roost"	"in"	"the"	"best"	"bull_roaring"	"life_with_father"	"manner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:dead:01"	"the"	"person"	"∅"	","	"∅_the"	"the_person"	"person_,"	"∅_∅_the"	"∅_the_person"	"the_person_,"	"person_,_a"	"ε"	"ε"	"DT"	"JJ"	"NNP"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"late"	"person"	"a"	"philosopher"	"whose"	"work"	"has"	"prove"	"helpful"	"to"	"many"	"student"	"of"	"literature"	"once"	"write"	"we"	"be"	"all"	"though"	"many_of"	"us"	"be"	"snobbish"	"enough"	"to"	"wish"	"to"	"deny"	"it"	"in"	"far"	"close"	"sympathy"	"with"	"the"	"art"	"of"	"the"	"music_hall"	"and"	"picture_palace"	"than"	"with"	"person"	"and"	"person"	"or"	"even"	"shakespeare"	"and"	"person"	
"3:00:00::"	"and"	"onset"	"early"	"and"	"early_and"	"and_onset"	"onset_and"	"of_early_and"	"early_and_onset"	"and_onset_and"	"onset_and_completion"	"IN"	"JJ"	"CC"	"JJ"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"seem"	"clear"	"from"	"the"	"counterbalanced"	"shape"	"of"	"the"	"series"	"of"	"arrow"	"figure"	"that"	"there"	"was"	"about"	"an"	"equal"	"number"	"of"	"early"	"and"	"late"	"onset"	"and"	"completion"	"for"	"the"	"girl"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"eighth"	"in"	"century"	"in_the"	"the_eighth"	"eighth_century"	"only_in_the"	"in_the_eighth"	"the_eighth_century"	"eighth_century_."	"RB"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"indeed"	"turn_to"	"actual"	"representation"	"or"	"mold"	"three-dimensional_figure"	"which"	"be"	"rare"	"down"	"to"	"bc"	"they"	"tend"	"to"	"reflect"	"reality"	"see"	"plate"	"a"	"schematic"	"abstract"	"treatment"	"man"	"and"	"animal"	"by"	"intent"	"rise"	"only"	"in"	"the"	"late"	"eighth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"ninth"	"of"	"century"	"of_the"	"the_ninth"	"ninth_century"	"work_of_the"	"of_the_ninth"	"the_ninth_century"	"ninth_century_a"	"NN"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"throughout"	"the"	"of"	"the"	"late"	"ninth"	"century"	"a"	"calm"	"severe"	"serenity"	"display"	"itself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
