"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"
"2:32:00::"	"∅"	"class"	"∅"	"members"	"∅_∅"	"∅_class"	"class_members"	"∅_∅_∅"	"∅_∅_class"	"∅_class_members"	"class_members_to"	"ε"	"ε"	"ε"	"VB"	"NN"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"class"	"members"	"to"	"share_in"	"an"	"extra"	"period"	"of"	"bible"	"study"	"each_week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"∅"	"sponsors"	"∅"	"or"	"∅_∅"	"∅_sponsors"	"sponsors_or"	"∅_∅_∅"	"∅_∅_sponsors"	"∅_sponsors_or"	"sponsors_or_fellowship"	"ε"	"ε"	"ε"	"VB"	"NNS"	"CC"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sponsors"	"or"	"fellowship"	"friends"	"to"	"stand"	"back"	"of"	"the"	"new"	"members"	"in"	"the"	"reception"	"service"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"builders"	"to"	"the"	"the"	"the_builders"	"builders_to"	"to_the"	"that_the_builders"	"the_builders_to"	"builders_to_the"	"to_the_intentions"	"IN"	"DT"	"NNS"	"VB"	"TO"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"reason"	"say"	"the"	"housing_center"	"that"	"the"	"builders"	"invite"	"to"	"the"	"intentions"	"conference"	"be"	"generally"	"among"	"the"	"more"	"successful"	"businessmen"	"and"	"usually"	"do"	"somewhat"	"better"	"than"	"their"	"fellow"	"builders"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"and"	"two"	","	"speakers"	",_and"	"and_two"	"two_speakers"	"class_,_and"	",_and_two"	"and_two_speakers"	"two_speakers_from"	"NNP"	"ε"	"CC"	"VB"	"CD"	"NNS"	"IN"	"0"	"0"	"as"	"has"	"be"	"the"	"custom"	"for"	"the"	"past"	"several"	"years"	"john_cross"	"jr."	"bench_show_chmn."	"of"	"westminster"	"arrange"	"for"	"the"	"juniors"	"meeting"	"before"	"the"	"class"	"and"	"two"	"speakers"	"from"	"the"	"dog"	"world"	"to"	"address"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"been"	"to"	"has"	"judge"	"has_been"	"been_to"	"to_judge"	"he_has_been"	"has_been_to"	"been_to_judge"	"to_judge_in"	"PRP"	"VBZ"	"VBN"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"percy_roberts"	"a"	"leading"	"judge"	"will"	"not"	"be"	"at"	"the"	"international_show"	"this"	"for"	"the"	"junior"	"judging"	"contest"	"as"	"he"	"has"	"been"	"invite"	"to"	"judge"	"in"	"australia"	"in"	"march"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"he"	"mr._case"	"∅"	"to"	"∅_he"	"he_mr._case"	"mr._case_to"	"∅_∅_he"	"∅_he_mr._case"	"he_mr._case_to"	"mr._case_to_stop"	"ε"	"ε"	"PRP"	"VB"	"NNP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"invite"	"mr._case"	"to"	"stop"	"by"	"to"	"say"	"hello"	"if"	"he"	"ever"	"visit"	"the"	"academy"	"and_then"	"add"	"that"	"he"	"be"	"on"	"the"	"managerial"	"staff"	"of"	"the"	"freshman"	"football_team"	"we"	"have"	"just"	"return"	"from"	"roswell"	"n._m."	"where"	"we"	"were"	"defeat"	"to"	"the"	"young_man"	"note"	
"2:32:01::"	"is"	"financial"	","	"contributions"	",_is"	"is_financial"	"financial_contributions"	"proudly_,_is"	",_is_financial"	"is_financial_contributions"	"financial_contributions_in"	"RB"	"ε"	"VBZ"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"league"	"of"	"women"	"voters"	"now"	"admit"	"it"	"proudly"	"is"	"invite"	"financial"	"contributions"	"in"	"the"	"windup"	"of"	"its"	"fund"	"drive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"children"	"to"	"the"	"the"	"the_children"	"children_to"	"to_the"	"of_the_children"	"the_children_to"	"children_to_the"	"to_the_concert"	"IN"	"DT"	"NNS"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"the"	"children"	"invite"	"to"	"the"	"concert"	"wear"	"a"	"name_tag"	"marked"	"with"	"a"	"red"	"white"	"and"	"blue_ribbon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:01::"	"he"	","	"treatment"	"they"	"treatment_he"	"he_,"	",_they"	"the_treatment_he"	"treatment_he_,"	"he_,_they"	",_they_betray"	"DT"	"NN"	"PRP"	"VB"	"ε"	"PRP"	"VB"	"this"	"still"	"when"	"modern"	"unitarianism"	"and"	"the"	"harvard_divinity_school"	"recall"	"with"	"humorous"	"affection"	"the"	"insults"	"parker"	"lavish"	"upon"	"them"	"or_else"	"argue"	"that"	"after_all"	"parker"	"receive"	"treatment"	"he"	"they"	"betray"	"an"	"uneasy"	"conscience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"were"	"to"	"candidate"	"a"	"candidate_were"	"were_to"	"to_a"	"all_candidate_were"	"candidate_were_to"	"were_to_a"	"to_a_hotel"	"DT"	"NN"	"VBD"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"roleplaying"	"was"	"offer"	"as"	"a"	"solution"	"and"	"procedure"	"work"	"as_follows"	"all"	"candidate"	"were"	"invite"	"to"	"a"	"hotel"	"conference_room"	"where"	"the"	"president"	"explain"	"the"	"difficulty"	"he"	"have"	"and"	"how"	"unnecessary"	"it"	"seem"	"to"	"him"	"to"	"hire"	"people"	"who"	"just"	"did"	"not"	"work_out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
