"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"
"2:35:01::"	"things"	"to"	"those"	"make"	"those_things"	"things_to"	"to_make"	"all_those_things"	"those_things_to"	"things_to_make"	"to_make_the"	"PDT"	"DT"	"NNS"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"things"	"combine"	"to"	"make"	"the"	"morton"	"foods_stock"	"the"	"hot_issue"	"that"	"it"	"be"	"and"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"proposals"	"the"	"his"	"``"	"his_proposals"	"proposals_the"	"the_``"	"say_his_proposals"	"his_proposals_the"	"proposals_the_``"	"the_``_indispensable"	"VB"	"PRP$"	"NNS"	"VB"	"DT"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"president"	"his"	"proposals"	"combine"	"the"	"indispensable"	"elements"	"in"	"a"	"sound"	"health"	"program"	"people"	"knowledge"	"services"	"facilities"	"and"	"the"	"means"	"to"	"pay"	"for"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"economic_policies"	"with"	"inappropriate"	"retrenching"	"inappropriate_economic_policies"	"economic_policies_with"	"with_retrenching"	"of_inappropriate_economic_policies"	"inappropriate_economic_policies_with"	"economic_policies_with_retrenching"	"with_retrenching_decisions"	"IN"	"JJ"	"NN"	"VB"	"IN"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"unsatisfactory"	"expansion"	"he"	"say"	"be"	"not_due"	"to"	"inadequate"	"growth"	"forces"	"inherent"	"in"	"our"	"but"	"rather"	"to"	"the"	"adverse"	"effect"	"of"	"inappropriate"	"economic_policies"	"combine"	"with"	"retrenching"	"decisions"	"result"	"from"	"the"	"steel"	"strike"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"seven"	"ardent"	"all"	"devotion"	"all_seven"	"seven_ardent"	"ardent_devotion"	"∅_all_seven"	"all_seven_ardent"	"seven_ardent_devotion"	"ardent_devotion_to"	"ε"	"DT"	"CD"	"VB"	"JJ"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"seven"	"combine"	"ardent"	"devotion"	"to"	"the"	"cause"	"of"	"revolution"	"with"	"a"	"profound"	"respect"	"for"	"legality"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"heated"	"first"	","	"4"	",_heated"	"heated_first"	"first_4"	"buns_,_heated"	",_heated_first"	"heated_first_4"	"first_4_ingredients"	"NNS"	"ε"	"JJ"	"VB"	"JJ"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cup"	"chili_sauce"	"cup"	"water"	"tablespoon"	"barbecue_sauce"	"teaspoons"	"prepared"	"mustard"	"pound"	"chipped"	"spiced"	"sandwich"	"buns"	"heated"	"combine"	"first"	"ingredients"	"in"	"saucepan"	"heat"	"thoroughly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"frankfurters"	"first"	"8"	"9"	"8_frankfurters"	"frankfurters_first"	"first_9"	"salt_8_frankfurters"	"8_frankfurters_first"	"frankfurters_first_9"	"first_9_ingredients"	"NN"	"CD"	"NNS"	"VB"	"JJ"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cup"	"minced"	"celery"	"cup"	"minced"	"onion"	"cup"	"tomato"	"ketchup"	"cup"	"water"	"cup"	"vinegar"	"tablespoons"	"brown_sugar"	"tablespoon"	"worcestershire_sauce"	"tablespoon"	"prepared"	"mustard"	"teaspoon"	"salt"	"combine"	"first"	"ingredients"	"in"	"skillet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"bourbon"	"ingredients"	"cold"	";"	"cold_bourbon"	"bourbon_ingredients"	"ingredients_;"	"ice_cold_bourbon"	"cold_bourbon_ingredients"	"bourbon_ingredients_;"	"ingredients_;_form"	"NN"	"JJ"	"NN"	"VB"	"NNS"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pound"	"ground_beef"	"teaspoons"	"grated"	"onion"	"dash"	"of"	"pepper"	"teaspoon"	"salt"	"cup"	"chopped"	"cup"	"ice"	"cold"	"bourbon"	"combine"	"ingredients"	"form"	"into"	"patties"	"and"	"barbecue"	"minutes"	"on"	"each"	"side"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"with"	"rumor"	"malice"	"rumor_,"	",_with"	"with_malice"	"of_rumor_,"	"rumor_,_with"	",_with_malice"	"with_malice_,"	"IN"	"NN"	"ε"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"charge"	"that"	"the"	"federal"	"indictment"	"of"	"three"	"chicago"	"detail"	"detectives"	"be"	"the"	"product"	"of"	"rumor"	"combine"	"with"	"malice"	"and"	"individual"	"enmity"	"on"	"the"	"part"	"of"	"the"	"federal"	"narcotics"	"unit"	"here"	"was"	"made"	"yesterday"	"in"	"their"	"conspiracy"	"trial"	"before"	"judge_joseph_sam_perry"	"in"	"federal_district"	"court"	
"2:42:00::"	"of"	"cooling"	"problems"	"with"	"problems_of"	"of_cooling"	"cooling_with"	"the_problems_of"	"problems_of_cooling"	"of_cooling_with"	"cooling_with_your"	"DT"	"NNS"	"IN"	"VB"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"problems"	"of"	"combine"	"cooling"	"with"	"your"	"heating"	"be"	"knotty"	"it"	"may"	"be"	"cheaper"	"to"	"plan"	"on"	"a"	"completely"	"cooling_system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"has"	"the"	"author"	"vivid"	"author_has"	"has_the"	"the_vivid"	"the_author_has"	"author_has_the"	"has_the_vivid"	"the_vivid_realism"	"DT"	"NN"	"VBZ"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"carry_out"	"this"	"conception"	"the"	"author"	"has"	"combine"	"the"	"vivid"	"realism"	"and"	"imaginative"	"power"	"we"	"have"	"notice"	"in"	"his"	"early"	"poetry"	"and"	"carry_out"	"them"	"out"	"on"	"a"	"grand"	"scale"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
