"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"
"3:00:00::"	"in"	"or"	","	"in"	",_in"	"in_or"	"or_in"	"satisfaction_,_in"	",_in_or"	"in_or_in"	"or_in_part"	"NN"	"ε"	"IN"	"JJ"	"CC"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nothing"	"in"	"the"	"title"	"shall"	"be"	"construe"	"as"	"the"	"assumption"	"of"	"liability"	"by"	"the"	"united_states"	"for"	"the"	"payment"	"or"	"satisfaction"	"in"	"whole"	"or"	"in"	"part"	"of"	"any"	"claim"	"on"	"behalf"	"of"	"any"	"national"	"of"	"the"	"united_states"	"against"	"any"	"foreign"	"government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"into"	"translate"	"profit_and_loss"	"translate_the"	"the_into"	"into_profit_and_loss"	"and_translate_the"	"translate_the_into"	"the_into_profit_and_loss"	"into_profit_and_loss_and"	"CC"	"VB"	"DT"	"NN"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"there"	"individual"	"in"	"your"	"organization"	"who"	"can"	"shepherd"	"a"	"new"	"product"	"through"	"to"	"commercialization"	"who"	"can"	"develop"	"reliable"	"estimate"	"of"	"sale"	"production"	"and"	"distribution_cost"	"and"	"translate"	"the"	"whole"	"into"	"profit_and_loss"	"and"	"balance_sheet"	"figure"	"which"	"management"	"can"	"act_on"	"with"	"some"	"assurance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"world"	"to"	"of"	"to_the"	"the_world"	"world_of"	"revelation_to_the"	"to_the_world"	"the_world_of"	"world_of_the"	"NN"	"TO"	"DT"	"JJ"	"NN"	"IN"	"DT"	"whatever"	"may"	"have"	"been"	"the"	"setback"	"result"	"from"	"the"	"unsuccessful"	"attempt"	"of"	"the"	"cuban"	"rebel"	"to"	"establish"	"a"	"beachhead"	"on"	"the"	"person"	"held"	"mainland"	"last"	"week"	"there"	"was"	"at_least"	"one"	"benefit"	"and"	"that"	"be"	"the"	"clear-cut"	"revelation"	"to"	"the"	"world"	"of"	"the"	"complete"	"conversion"	"of"	"cuba"	"into"	"a"	"russian"	"dominated"	"military"	"base"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"a"	"new"	"practically"	"bunch"	"practically_a"	"a_new"	"new_bunch"	"with_practically_a"	"practically_a_new"	"a_new_bunch"	"new_bunch_of"	"IN"	"RB"	"DT"	"RB"	"JJ"	"NN"	"IN"	"0"	"and"	"person"	"did"	"n't"	"like"	"person"	"but"	"what"	"with"	"person"	"and"	"three"	"of"	"his"	"boy"	"inside"	"and"	"not"	"likely"	"to"	"come_out"	"and"	"person"	"such"	"a"	"valuable"	"salesman"	"person"	"say"	"all"	"the"	"nuisance"	"and"	"danger"	"get_in_touch"	"with"	"practically"	"a"	"new"	"bunch"	"of"	"boy"	"why"	"did"	"everything"	"have"	"to"	"happen"	"at_once"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"camp"	"with"	"exposed"	"with_the"	"the_camp"	"camp_exposed"	"∅_with_the"	"with_the_camp"	"the_camp_exposed"	"camp_exposed_to"	"ε"	"IN"	"DT"	"JJ"	"NN"	"JJ"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"whole"	"camp"	"exposed"	"to"	"view"	"we"	"could"	"see"	"the"	"variety"	"of"	"canvas"	"shelter"	"in"	"which"	"american"	"are"	"camp"	"now"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"their"	"relationship"	"on"	","	"on_their"	"their_relationship"	"relationship_,"	"effect_on_their"	"on_their_relationship"	"their_relationship_,"	"relationship_,_sexual"	"NN"	"IN"	"PRP$"	"JJ"	"NN"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"role"	"husband"	"and"	"wife"	"are"	"reverse"	"so"	"that"	"the"	"wife"	"become"	"leader"	"and"	"the"	"follower"	"person"	"say"	"the"	"effect"	"on"	"their"	"whole"	"relationship"	"sexual"	"and"	"otherwise"	"be"	"disastrous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"end"	"panel"	"of"	"panel_the"	"the_end"	"end_of"	"about_panel_the"	"panel_the_end"	"the_end_of"	"end_of_the"	"IN"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"person"	"was"	"put_up"	"the"	"pegboard"	"and"	"start"	"the"	"person"	"tell"	"him"	"of"	"this"	"idea"	"about"	"panel"	"the"	"whole"	"end"	"of"	"the"	"cellar"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"duration"	"for"	"of"	"for_the"	"the_duration"	"duration_of"	"even_for_the"	"for_the_duration"	"the_duration_of"	"duration_of_married"	"RB"	"IN"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"declare"	"in"	"that"	"it"	"be"	"possible"	"be"	"exempt"	"from"	"the"	"obligation"	"of"	"parenthood"	"for"	"a"	"long_time"	"and"	"even"	"for"	"the"	"whole"	"duration"	"of"	"married"	"life"	"if"	"there"	"be"	"serious"	"reason"	"such_as"	"those"	"often"	"mention"	"in"	"the"	"so-called"	"medical"	"eugenic"	"economic"	"and"	"social"	"indication"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"building"	"own"	","	"own_the"	"the_building"	"building_,"	"she_own_the"	"own_the_building"	"the_building_,"	"building_,_as"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"patient"	"a"	"paranoid"	"woman"	"for"	"many"	"month"	"infuriate"	"not_only"	"me"	"but"	"the"	"ward"	"and"	"her"	"fellow"	"patient"	"by"	"arrogantly"	"behave"	"as"	"though"	"she"	"own"	"the"	"whole"	"building"	"as"	"though"	"she"	"be"	"the"	"only"	"person"	"in"	"it"	"whose"	"need"	"be"	"to"	"be"	"meet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"or"	"of"	"any"	"of_the"	"the_or"	"or_any"	"corporation_of_the"	"of_the_or"	"the_or_any"	"or_any_part"	"NN"	"IN"	"DT"	"NN"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"purpose"	"of_this"	"provision"	"was"	"thus"	"explain"	"in"	"the"	"court"	"opinion"	"section"	"is"	"design"	"to"	"arrest"	"in"	"its"	"incipiency"	"not_only"	"the"	"substantial"	"lessening"	"of"	"competition"	"from"	"acquisition"	"by"	"one"	"corporation"	"of"	"the"	"whole"	"or"	"any"	"part"	"of"	"the"	"stock"	"of"	"a"	"competing"	"corporation"	"but"	"also"	"to"	"arrest"	"in"	"their"	"incipiency"	"restraint"	"or"	"monopoly"	"in"	"a"	"relevant"	"market"	"which"	"as"	"a"	"reasonable"	"probability"	"appear"	"at"	"the"	"time"	"of"	"suit"	"likely"	"to"	"result"	"from"	"the"	"acquisition"	"by"	"one"	"corporation"	"of"	"all"	"or"	"any"	"part"	"of"	"the"	"stock"	"of"	"any"	"corporation"	
