"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"
"2:39:02::"	"to"	"''"	"have"	"."	"have_to"	"to_''"	"''_."	"they_have_to"	"have_to_''"	"to_''_."	"''_._∅"	"PRP"	"VB"	"VB"	"VB"	"ε"	"ε"	"ε"	"she"	"say"	"look"	"past"	"him"	"into"	"the"	"room"	"where"	"the"	"highball"	"glasses"	"sparkle"	"dully"	"in"	"the"	"bright"	"light"	"you"	"and"	"i"	"can"	"n't"	"understand"	"the"	"many"	"hardships"	"they"	"have"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"been"	"this"	"has"	"phenomenal"	"has_been"	"been_this"	"this_phenomenal"	"south_has_been"	"has_been_this"	"been_this_phenomenal"	"this_phenomenal_modernization"	"NNP"	"VBZ"	"VBN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_the_meantime"	"while"	"the"	"has"	"been"	"undergo"	"this"	"phenomenal"	"modernization"	"that"	"be"	"so"	"disappointing"	"to"	"the"	"curious"	"yankee"	"southern"	"writers"	"have"	"certainly"	"do"	"little"	"to"	"reflect"	"and"	"promote"	"their"	"region"	"progress"	
"2:39:00::"	"who"	"artificial_insemination"	"woman"	"against"	"woman_who"	"who_artificial_insemination"	"artificial_insemination_against"	"a_woman_who"	"woman_who_artificial_insemination"	"who_artificial_insemination_against"	"artificial_insemination_against_the"	"DT"	"NN"	"WP"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"who"	"undergo"	"artificial_insemination"	"against"	"the"	"wishes"	"of"	"her"	"husband"	"be"	"the"	"unlikely"	"heroine"	"of"	"a"	"question"	"of"	"adultery"	"yesterday"	"new"	"british"	"import"	"at"	"the"	"apollo"	"0"	"0"	
"2:39:02::"	"to"	"arduous"	"have"	"schooling"	"have_to"	"to_arduous"	"arduous_schooling"	"will_have_to"	"have_to_arduous"	"to_arduous_schooling"	"arduous_schooling_."	"MD"	"VB"	"VB"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"first_of_all"	"the"	"recruits"	"have"	"to"	"undergo"	"arduous"	"schooling"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:02::"	"had"	"several"	"it"	"changes"	"it_had"	"had_several"	"several_changes"	"which_it_had"	"it_had_several"	"had_several_changes"	"several_changes_in"	"WDT"	"PRP"	"VBD"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"aug."	"nearly"	"a"	"century"	"after"	"benjamin_franklin"	"found"	"the"	"pennsylvania_gazette"	"century"	"during"	"which"	"it"	"had"	"undergo"	"several"	"changes"	"in"	"ownership"	"and"	"a_few"	"brief"	"suspensions"	"in"	"publication"	"this"	"paper"	"made"	"its"	"first_appearance"	"as"	"the"	"saturday_evening_post"	"0"	"0"	"0"	
"2:39:00::"	"has"	"a"	"kitchen"	"remodel"	"kitchen_has"	"has_a"	"a_remodel"	"the_kitchen_has"	"kitchen_has_a"	"has_a_remodel"	"a_remodel_job"	"DT"	"NN"	"VBZ"	"VB"	"DT"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"spot"	"retain"	"the"	"same"	"decor"	"although"	"crystal"	"chandeliers"	"have"	"install"	"above"	"the"	"terrace"	"dining_area"	"and"	"the"	"kitchen"	"has"	"undergo"	"a"	"remodel"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:02::"	"now"	"one"	"are"	"of"	"are_now"	"now_one"	"one_of"	"military_force_are_now"	"are_now_one"	"now_one_of"	"one_of_the"	"NN"	"VBP"	"RB"	"VB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"strategy"	"and"	"tactics"	"of"	"u.s."	"military_force"	"are"	"now"	"undergo"	"one"	"of"	"the"	"greatest"	"transition"	"in"	"history"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"have"	"somewhat"	"language"	"more"	"language_have"	"have_somewhat"	"somewhat_more"	"athabascan_language_have"	"language_have_somewhat"	"have_somewhat_more"	"somewhat_more_change"	"NN"	"NN"	"VBP"	"VB"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"more"	"stem"	"per"	"item"	"in"	"athabascan"	"express"	"the"	"fact"	"that"	"the"	"athabascan"	"language"	"have"	"undergo"	"somewhat"	"more"	"change"	"in"	"diverge"	"from"	"proto"	"athabascan"	"than"	"the"	"yokuts"	"language"	"from"	"proto"	"yokuts"	"0"	"0"	"0"	
"2:39:00::"	"to"	"."	"force"	"∅"	"force_to"	"to_."	"._∅"	"been_force_to"	"force_to_."	"to_._∅"	"._∅_∅"	"VBN"	"VB"	"TO"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"this"	"moment"	"all"	"he"	"could"	"think_of"	"what"	"he"	"been"	"force"	"to"	"undergo"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"has"	"a"	","	"change"	",_has"	"has_a"	"a_change"	"too_,_has"	",_has_a"	"has_a_change"	"a_change_."	"RB"	"ε"	"VBZ"	"VB"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"careful"	"of"	"the"	"word"	"gay"	"for"	"too"	"has"	"undergo"	"a"	"change"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
