"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"
"1:14:00::"	"great"	","	"a"	"the"	"a_great"	"great_,"	",_the"	"to_a_great"	"a_great_,"	"great_,_the"	",_the_group"	"TO"	"DT"	"JJ"	"NN"	"ε"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"i"	"rise"	"today"	"to"	"tribute"	"to"	"a"	"great"	"newspaper"	"the"	"group"	"on"	"the"	"occasion"	"of"	"a"	"major"	"change"	"in"	"its"	"top_executive"	"command"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"distinguished"	"and"	"this"	"it"	"this_distinguished"	"distinguished_and"	"and_it"	"of_this_distinguished"	"this_distinguished_and"	"distinguished_and_it"	"and_it_be"	"RB"	"RB"	"JJ"	"NN"	"CC"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"has"	"be"	"a"	"publisher"	"of"	"this"	"distinguished"	"newspaper"	"and"	"it"	"be"	"fitting"	"that"	"we"	"take_notice"	"due"	"notice"	"of"	"his"	"major"	"contribution"	"to"	"american"	"journalism"	"on"	"the"	"occasion"	"of"	"his"	"retirement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::;1:10:00::"	"authoritative"	"of"	"and"	"the"	"and_authoritative"	"authoritative_of"	"of_the"	"great_and_authoritative"	"and_authoritative_of"	"authoritative_of_the"	"of_the_world"	"JJ"	"CC"	"JJ"	"NN"	"IN"	"DT"	"NN"	"of"	"the"	"district"	"of"	"new_york"	"and"	"i"	"as"	"their"	"representative"	"in"	"congress"	"take_pride"	"great"	"pride"	"in"	"the"	"group"	"as"	"one"	"of"	"the"	"great"	"and"	"authoritative"	"of"	"the"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	","	","	"station"	"and"	"station_,"	",_,"	",_and"	"tv_station_,"	"station_,_,"	",_,_and"	",_and_organization"	"NN"	"NN"	"ε"	"NN"	"ε"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"activity"	"follow"	"conduct"	"by"	"shopping_center"	"department_store"	"recreation"	"equipment"	"radio"	"tv"	"station"	"newspaper"	"and"	"organization"	"interested"	"in"	"the"	"need"	"exist"	"to"	"acquaint"	"youngster"	"with"	"the"	"proper"	"use"	"of"	"sporting"	"firearm"	"and"	"the"	"development"	"of"	"correct"	"attitude"	"and"	"appreciation"	"related_to"	"hunting"	"and"	"wise"	"use"	"of"	"our"	"natural_resources"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"inaccurate"	"reporting"	"and"	"-"	"and_inaccurate"	"inaccurate_reporting"	"reporting_-"	"emotionalism_and_inaccurate"	"and_inaccurate_reporting"	"inaccurate_reporting_-"	"reporting_-_already"	"NN"	"CC"	"JJ"	"NN"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"second"	"step"	"be"	"to"	"recognize"	"the"	"agreement"	"frequently"	"blur"	"by"	"emotionalism"	"and"	"inaccurate"	"newspaper"	"reporting"	"already"	"exist"	"between"	"catholic"	"and"	"non-catholic"	"concern"	"the"	"overall"	"objective"	"of"	"family_planning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"had"	"``"	"make"	"``_the"	"the_had"	"had_make"	"tell_``_the"	"``_the_had"	"the_had_make"	"had_make_a"	"VB"	"ε"	"DT"	"NN"	"VBD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a_couple_of"	"day"	"later"	"a"	"balletomane"	"tell"	"me"	"he"	"had"	"group"	"for"	"ticket"	"information"	"and"	"was"	"tell"	"the"	"newspaper"	"had"	"make"	"a"	"mistake"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"the"	"see"	"next"	"see_the"	"the_the"	"the_next"	"not_see_the"	"see_the_the"	"the_the_next"	"the_next_day"	"RB"	"VB"	"DT"	"NN"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"did"	"see"	"the"	"newspaper"	"the"	"next"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"'"	"state"	"reaction"	"state_the"	"the_'"	"'_reaction"	"the_state_the"	"state_the_'"	"the_'_reaction"	"'_reaction_to"	"DT"	"NN"	"DT"	"NN"	"ε"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"eastern"	"of"	"the"	"state"	"the"	"newspaper"	"reaction"	"to"	"person"	"trial"	"and"	"sentence"	"be"	"basically"	"identical"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"rhode_island"	"."	"the"	"∅"	"the_rhode_island"	"rhode_island_."	"._∅"	"in_the_rhode_island"	"the_rhode_island_."	"rhode_island_._∅"	"._∅_∅"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"the"	"month"	"of"	"november"	"hardly_a"	"day"	"pass"	"when"	"be"	"not"	"some"	"mention"	"of"	"person"	"in"	"the"	"rhode_island"	"newspaper"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"city"	","	"the"	"the"	"the_city"	"city_,"	",_the"	"of_the_city"	"the_city_,"	"city_,_the"	",_the_location"	"IN"	"DT"	"NN"	"NN"	"ε"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"the"	"of"	"the"	"city"	"newspaper"	"the"	"location"	"meeting"	"bring_together"	"a"	"very"	"respectable"	"audience"	"compose"	"in"	"part"	"of"	"those"	"who"	"had"	"been"	"distinguish"	"for"	"year"	"for"	"their"	"radical"	"view"	"upon"	"the"	"subject"	"of"	"slavery"	"of"	"many_of"	"our"	"colored"	"citizen"	"and"	"of"	"those"	"who"	"were"	"attract"	"to"	"the"	"place"	"by"	"the"	"novelty"	"of"	"such"	"a"	"gathering"	
