"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"3:00:00::"	"from"	"the"	","	"shelter"	",_from"	"from_the"	"the_shelter"	"beam_,_from"	",_from_the"	"from_the_shelter"	"the_shelter_."	"NN"	"ε"	"IN"	"JJ"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"one"	"or"	"two"	"roof"	"board"	"mark"	"e"	"in"	"fig"	"are"	"into"	"place"	"across"	"the"	"roof"	"beam"	"from"	"outside"	"the"	"shelter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"stay"	"."	"may"	"∅"	"may_stay"	"stay_."	"._∅"	"you_may_stay"	"may_stay_."	"stay_._∅"	"._∅_∅"	"PRP"	"MD"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"long"	"may"	"stay"	"outside"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:04::"	"the"	"level"	"of"	"."	"of_the"	"the_level"	"level_."	"tenth_of_the"	"of_the_level"	"the_level_."	"level_._∅"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"belowground"	"basement"	"can"	"cut"	"the"	"radiation"	"to"	"one"	"tenth"	"of"	"the"	"outside"	"level"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:foreign:02"	"place"	"thereof"	"any"	","	"any_place"	"place_thereof"	"thereof_,"	"and_any_place"	"any_place_thereof"	"place_thereof_,"	"thereof_,_or"	"CC"	"JJ"	"NN"	"JJ"	"RB"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"term"	"state"	"include"	"the"	"commonwealth"	"of"	"puerto_rico"	"and"	"any"	"possession"	"the"	"united_states"	"and"	"term"	"commerce"	"mean"	"commerce"	"between"	"any"	"state"	"and"	"any"	"place"	"outside"	"thereof"	"or"	"between"	"point"	"within"	"the"	"same"	"state"	"but"	"through"	"any"	"place"	"outside"	"thereof"	
"5:00:00:foreign:02"	"place"	"thereof"	"any"	"."	"any_place"	"place_thereof"	"thereof_."	"through_any_place"	"any_place_thereof"	"place_thereof_."	"thereof_._∅"	"IN"	"JJ"	"NN"	"JJ"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"the"	"term"	"state"	"include"	"the"	"commonwealth"	"of"	"puerto_rico"	"and"	"any"	"possession"	"the"	"united_states"	"and"	"the"	"term"	"commerce"	"mean"	"commerce"	"between"	"any"	"state"	"and"	"any"	"place"	"outside"	"thereof"	"or"	"point"	"within"	"the"	"same"	"state"	"but"	"through"	"place"	"outside"	"thereof"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:extramural:00"	"∅"	"salesman"	"∅"	"deduct"	"∅_∅"	"∅_salesman"	"salesman_deduct"	"∅_∅_∅"	"∅_∅_salesman"	"∅_salesman_deduct"	"salesman_deduct_all"	"ε"	"ε"	"ε"	"JJ"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"salesman"	"deduct"	"all"	"expense"	"attributable"	"to"	"earn"	"a"	"salary"	"commission"	"or"	"compensation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	","	"∅"	"only"	"∅_∅"	"∅_,"	",_only"	"∅_∅_∅"	"∅_∅_,"	"∅_,_only"	",_only_a"	"ε"	"ε"	"ε"	"RB"	"ε"	"RB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"only"	"a"	"handful"	"of"	"reporter"	"remain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:04::"	"go"	"to"	"he"	"inspect"	"he_go"	"go_to"	"to_inspect"	"then_he_go"	"he_go_to"	"go_to_inspect"	"to_inspect_the"	"RB"	"PRP"	"VB"	"JJ"	"TO"	"VB"	"DT"	"had"	"give"	"the"	"call"	"a_few"	"moment"	"thought"	"he"	"go_into"	"the"	"kitchen"	"to"	"ask"	"person"	"to"	"prepare"	"tea"	"and"	"sushi"	"for"	"the"	"visitor"	"use"	"the"	"formal"	"english"	"china"	"and"	"the"	"silver"	"tea_service"	"which"	"had"	"been"	"donate"	"to"	"the"	"mission"	"he"	"go"	"to"	"inspect"	"the"	"grounds"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"rig_up"	"."	"be"	"∅"	"be_rig_up"	"rig_up_."	"._∅"	"can_be_rig_up"	"be_rig_up_."	"rig_up_._∅"	"._∅_∅"	"MD"	"VB"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"tell"	"him"	"person"	"i"	"wish"	"you"	"talk"	"to"	"person"	"see"	"some"	"kind"	"of"	"pa_system"	"can"	"be"	"rig_up"	"outside"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"hall"	"the"	"the"	"murdered"	"the_hall"	"hall_the"	"the_murdered"	"up_and_down_the_hall"	"the_hall_the"	"hall_the_murdered"	"the_murdered_woman"	"RB"	"DT"	"NN"	"NN"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"if"	"person"	"had"	"first"	"come_upon"	"us"	"when"	"boy"	"was"	"not"	"cavort"	"so"	"gaily"	"up_and_down"	"the"	"hall"	"outside"	"the"	"murdered"	"woman"	"apartment"	"we"	"might"	"have"	"have"	"less"	"trouble"	"convince"	"person"	"of"	"our"	"seriousness"	
"4:02:00::"	"man"	"with"	"a"	"a"	"a_man"	"man_with"	"with_a"	"'s_a_man"	"a_man_with"	"man_with_a"	"with_a_wooden_leg"	"VBZ"	"DT"	"NN"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"a"	"outside"	"with"	"a"	"wooden_leg"	"named"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:external:00"	"world"	"location"	"the"	"will"	"the_world"	"world_location"	"location_will"	"that_the_world"	"the_world_location"	"world_location_will"	"location_will_care"	"IN"	"DT"	"NN"	"JJ"	"NNP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"do"	"you"	"really"	"that"	"the"	"world"	"outside"	"location"	"will"	"care"	"any"	"more"	"than"	"we"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
