"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"
"2:35:00::"	"to"	"the"	"enough"	"car"	"enough_to"	"to_the"	"the_car"	"long_enough_to"	"enough_to_the"	"to_the_car"	"the_car_."	"JJ"	"RB"	"TO"	"VB"	"DT"	"NN"	"ε"	"another"	"sidelong"	"glance"	"at"	"the"	"registration"	"card"	"then"	"take"	"the"	"key"	"to"	"unit"	"that"	"she"	"had"	"give"	"me"	"and"	"go_down"	"long"	"enough"	"park"	"the"	"car"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"had"	"his"	"rourke"	"coupe"	"rourke_had"	"had_his"	"his_coupe"	"that_rourke_had"	"rourke_had_his"	"had_his_coupe"	"his_coupe_directly"	"IN"	"NNP"	"VBD"	"VB"	"PRP$"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"outside"	"shayne"	"hesitate"	"when"	"see"	"that"	"rourke"	"had"	"park"	"his"	"coupe"	"directly"	"in_front"	"of"	"the"	"bar"	"headed"	"south"	"0"	"0"	"0"	
"2:38:00::"	"while"	"in_front"	"ill"	"of"	"ill_while"	"while_in_front"	"in_front_of"	"become_ill_while"	"ill_while_in_front"	"while_in_front_of"	"in_front_of_a"	"VB"	"JJ"	"IN"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"police"	"say"	"become"	"ill"	"while"	"park"	"in_front"	"of"	"a"	"barber"	"shop"	"at"	"west_pratt"	"street"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"in_front"	"location"	","	"location_,"	",_in_front"	"in_front_,"	"on_location_,"	"location_,_in_front"	",_in_front_,"	"in_front_,_and"	"IN"	"NNP"	"ε"	"VB"	"JJ"	"ε"	"CC"	"0"	"she"	"drive_around"	"for_a_while"	"person"	"say"	"then"	"think"	"person"	"would"	"have"	"calm_down"	"by"	"that"	"time"	"she"	"go_back"	"his"	"home"	"on"	"location"	"park"	"and"	"walk"	"toward"	"the"	"pool"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"shoot"	","	"financed"	"trap"	"financed_shoot"	"shoot_,"	",_trap"	"privately_financed_shoot"	"financed_shoot_,"	"shoot_,_trap"	",_trap_and"	"RB"	"JJ"	"VB"	"NN"	"ε"	"NN"	"CC"	"the"	"effort"	"of"	"group"	"shooting"	"development"	"program"	"these"	"shooting"	"activity"	"and"	"many"	"include"	"assist"	"in"	"the"	"development"	"of"	"public"	"and"	"privately"	"financed"	"park"	"trap"	"and"	"skeet"	"league"	"rifle"	"and"	"pistol"	"marksmanship"	"program"	"have"	"been"	"promote"	"to"	"mention"	"only"	"a_few"	
"1:15:00::"	"state"	"official"	"harassed"	"often"	"harassed_state"	"state_official"	"official_often"	"∅_harassed_state"	"harassed_state_official"	"state_official_often"	"official_often_have"	"ε"	"JJ"	"JJ"	"NN"	"NN"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"state"	"park"	"official"	"often"	"have"	"more"	"camper"	"than"	"they"	"know"	"what"	"to"	"do"	"with"	"0"	"0"	"0"	
"1:15:01::"	"the"	"with"	"go_to"	"this"	"go_to_the"	"the_with"	"with_this"	"we_go_to_the"	"go_to_the_with"	"the_with_this"	"with_this_nice"	"PRP"	"VB"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"the"	"park"	"with"	"this"	"nice"	"lady"	"one"	"of"	"them"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"'s"	"."	"milwaukee"	"∅"	"milwaukee_'s"	"'s_."	"._∅"	"in_milwaukee_'s"	"milwaukee_'s_."	"'s_._∅"	"._∅_∅"	"IN"	"NN"	"POS"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"who"	"had"	"anemic"	"with"	"the"	"bat"	"in"	"their"	"windy"	"suddenly"	"find"	"the"	"formula"	"in"	"milwaukee"	"park"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"baseball"	"and"	"in"	"therefore"	"in_baseball"	"baseball_and"	"and_therefore"	"play_in_baseball"	"in_baseball_and"	"baseball_and_therefore"	"and_therefore_face"	"VB"	"IN"	"NN"	"NN"	"CC"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nine"	"of"	"the"	"league"	"play"	"in"	"baseball"	"park"	"and"	"therefore"	"face"	"an"	"early"	"season"	"conflict"	"in"	"date"	"0"	"0"	"0"	"0"	
"1:15:00::"	"experienced"	"planner"	"and"	"to"	"and_experienced"	"experienced_planner"	"planner_to"	"qualified_and_experienced"	"and_experienced_planner"	"experienced_planner_to"	"planner_to_carry_through"	"JJ"	"CC"	"JJ"	"NN"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"site"	"planning"	"work"	"it"	"be"	"to"	"have"	"a"	"qualified"	"and"	"experienced"	"park"	"planner"	"to"	"carry_through"	"the"	"study"	"0"	"0"	"0"	"0"	"0"	
