"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"
"2:35:00::"	"and"	"an"	"car"	"electric"	"car_and"	"and_an"	"an_electric"	"agency_car_and"	"car_and_an"	"and_an_electric"	"an_electric_bug"	"NN"	"NN"	"CC"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"go_back"	"to"	"agency"	"car"	"and"	"get_out"	"an"	"electric"	"bug"	"one"	"of"	"the"	"newest"	"devices"	"for"	"electronic"	"shadowing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"or"	"''"	"competitive"	"."	"competitive_or"	"or_''"	"''_."	"get_competitive_or"	"competitive_or_''"	"or_''_."	"''_._∅"	"VB"	"JJ"	"CC"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"get"	"or"	"get_out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"man"	"of"	"negro"	"the"	"negro_man"	"man_of"	"of_the"	"the_negro_man"	"negro_man_of"	"man_of_the"	"of_the_cab"	"DT"	"NNP"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"driver"	"tell"	"police"	"follow"	"as"	"the"	"negro"	"man"	"get_out"	"of"	"the"	"cab"	"with"	"his"	"money"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"i"	"of"	"when"	"hanover"	"when_i"	"i_of"	"of_hanover"	"me_when_i"	"when_i_of"	"i_of_hanover"	"of_hanover_,"	"PRP"	"WRB"	"PRP"	"VB"	"IN"	"NNP"	"ε"	"are"	"things"	"about"	"me"	"that"	"i"	"can"	"n't"	"tell"	"you"	"now"	"mary_jane"	"i"	"say"	"but"	"if"	"you"	"go_out"	"to"	"dinner"	"with"	"me"	"when"	"i"	"of"	"hanover"	"i"	"like"	"to"	"tell"	"you"	"the"	"whole"	"story"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"and"	"."	"door"	"∅"	"door_and"	"and_."	"._∅"	"the_door_and"	"door_and_."	"and_._∅"	"._∅_∅"	"DT"	"NN"	"CC"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"open"	"door"	"and"	"get_out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"'d"	"fresh"	"he"	"liver"	"he_'d"	"'d_fresh"	"fresh_liver"	"after_he_'d"	"he_'d_fresh"	"'d_fresh_liver"	"fresh_liver_for"	"RB"	"PRP"	"MD"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"get_out"	"fresh"	"liver"	"for"	"bast"	"he"	"pause"	"to"	"look"	"at"	"her"	"crouch"	"daintily"	"over"	"her"	"dish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	","	"of"	"person"	"that"	"person_,"	",_of"	"of_that"	"``_person_,"	"person_,_of"	",_of_that"	"of_that_creek"	"ε"	"NNP"	"ε"	"VB"	"RB"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"of"	"that"	"creek"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"``"	"it"	"∅"	"out"	"∅_``"	"``_it"	"it_out"	"∅_∅_``"	"∅_``_it"	"``_it_out"	"it_out_''"	"ε"	"ε"	"ε"	"VB"	"VB"	"IN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"out"	"person"	"order"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"``"	"of"	"∅"	"here"	"∅_``"	"``_of"	"of_here"	"∅_∅_``"	"∅_``_of"	"``_of_here"	"of_here_."	"ε"	"ε"	"ε"	"VB"	"IN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"and"	","	"garage"	"slam"	"garage_and"	"and_,"	",_slam"	"the_garage_and"	"garage_and_,"	"and_,_slam"	",_slam_the"	"DT"	"NN"	"CC"	"VB"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"drive"	"into"	"the"	"space"	"before"	"the"	"garage"	"and"	"get_out"	"slam"	"the"	"car_door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"to"	"of"	"when"	"a"	"when_to"	"to_of"	"of_a"	"be_when_to"	"when_to_of"	"to_of_a"	"of_a_place"	"VB"	"WRB"	"TO"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"good_heavens"	"person"	"he"	"say"	"i"	"think"	"one"	"thing"	"you"	"have"	"no"	"trouble"	"be"	"when"	"to"	"get_out"	"of"	"a"	"place"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"'s"	"of"	"let"	"here"	"let_'s"	"'s_of"	"of_here"	"-_let_'s"	"let_'s_of"	"'s_of_here"	"of_here_."	"ε"	"VB"	"POS"	"VB"	"IN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"let"	"of"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"this"	"effort"	"religious"	"effort_to"	"to_this"	"this_religious"	"an_effort_to"	"effort_to_this"	"to_this_religious"	"this_religious_center"	"DT"	"NN"	"TO"	"VB"	"DT"	"JJ"	"NN"	"the"	"fact"	"that"	"clear"	"as"	"this"	"be"	"they"	"must"	"have"	"a"	"better"	"church"	"a"	"more"	"businesslike"	"conduct"	"of"	"the"	"church"	"organization"	"and"	"an"	"effort"	"get_out"	"this"	"religious"	"center"	"out_of"	"its"	"rut"	"of"	"wild"	"worship"	"into"	"a"	"modern"	"church"	"organization"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"``"	"the"	"∅"	"hell"	"∅_``"	"``_the"	"the_hell"	"∅_∅_``"	"∅_``_the"	"``_the_hell"	"the_hell_out"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"hell"	"out"	"of"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"``"	"the"	"∅"	"hell"	"∅_``"	"``_the"	"the_hell"	"∅_∅_``"	"∅_``_the"	"``_the_hell"	"the_hell_out"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"hell"	"out"	"of"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"``"	"the"	"∅"	"hell"	"∅_``"	"``_the"	"the_hell"	"∅_∅_``"	"∅_``_the"	"``_the_hell"	"the_hell_out"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"hell"	"out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
