"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"
"2:35:00::"	","	"clay"	"lid"	"piece"	"lid_,"	",_clay"	"clay_piece"	"assemble_lid_,"	"lid_,_clay"	",_clay_piece"	"clay_piece_c"	"VB"	"NN"	"ε"	"VB"	"NN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"lid"	"press"	"clay"	"piece"	"c"	"in"	"cavity"	"of"	"wooden"	"design"	"head"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"he"	"his"	"∅"	"face"	"∅_he"	"he_his"	"his_face"	"∅_∅_he"	"∅_he_his"	"he_his_face"	"his_face_against"	"ε"	"ε"	"PRP"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"press"	"his"	"face"	"against"	"the"	"grille"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"forward"	"like"	"with"	"like_to"	"to_forward"	"forward_with"	"would_like_to"	"like_to_forward"	"to_forward_with"	"forward_with_economic"	"VB"	"VB"	"TO"	"VB"	"RB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"countries"	"where"	"with"	"skillful"	"diplomacy"	"we"	"may"	"be"	"able"	"by"	"our"	"aid"	"to"	"encouragement"	"to"	"those"	"groups"	"in"	"government"	"which"	"would"	"like"	"to"	"press"	"forward"	"with"	"economic"	"and"	"social"	"reform"	"measures"	"to"	"promote"	"growth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"russia"	"plans"	"for"	"plans_to"	"to_russia"	"russia_for"	"'s_plans_to"	"plans_to_russia"	"to_russia_for"	"russia_for_a"	"POS"	"NNS"	"TO"	"VB"	"NNP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"britain"	"to"	"press"	"russia"	"for"	"a"	"definite"	"cease-fire"	"timetable"	"was"	"announce"	"in"	"london"	"by"	"foreign_secretary_lord_home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"he"	"against"	"if"	"it"	"if_he"	"he_against"	"against_it"	"flesh_if_he"	"if_he_against"	"he_against_it"	"against_it_."	"NN"	"IN"	"PRP"	"VB"	"IN"	"PRP"	"ε"	"his"	"only"	"refuge"	"when"	"the"	"metal"	"death"	"come"	"roar"	"at"	"him"	"was"	"make"	"of"	"rails"	"all_right"	"but"	"the"	"rails"	"were"	"protect"	"by"	"a"	"thick"	"screening"	"of"	"barbed_wire"	"that"	"would"	"rip"	"flesh"	"if"	"he"	"against"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"almost"	"against"	"organ"	"his"	"organ_almost"	"almost_against"	"against_his"	"the_organ_almost"	"organ_almost_against"	"almost_against_his"	"against_his_spine"	"DT"	"NN"	"RB"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"slug"	"him"	"in"	"the"	"stomach"	"hard"	"that"	"the"	"organ"	"almost"	"press"	"against"	"his"	"spine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"also"	"upon"	"requirement"	"her"	"requirement_also"	"also_upon"	"upon_her"	"domestic_requirement_also"	"requirement_also_upon"	"also_upon_her"	"upon_her_with"	"JJ"	"NN"	"RB"	"VB"	"IN"	"PRP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"homely"	"everyday"	"detail"	"living"	"and"	"domestic"	"requirement"	"also"	"press"	"upon"	"her"	"with"	"their"	"immediate"	"urgency"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:02::"	"to"	"his"	"shinbone"	"knee"	"shinbone_to"	"to_his"	"his_knee"	"the_shinbone_to"	"shinbone_to_his"	"to_his_knee"	"his_knee_into"	"DT"	"NN"	"TO"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"pull"	"one"	"thin"	"leg"	"up"	"his"	"arm"	"around"	"the"	"shinbone"	"to"	"press"	"his"	"knee"	"into"	"an"	"incredibly"	"scrawny"	"gut"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"democratic"	"condemn"	"the"	"the"	"the_democratic"	"democratic_condemn"	"condemn_the"	"trial_the_democratic"	"the_democratic_condemn"	"democratic_condemn_the"	"condemn_the_proceeding"	"NN"	"DT"	"JJ"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"the"	"trial"	"the"	"democratic"	"press"	"condemn"	"the"	"proceeding"	"and"	"herald"	"person"	"as"	"a"	"martyr"	"to"	"the"	"principle"	"of"	"the"	"declaration_of_independence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"of"	"in"	"more"	"in_the"	"the_of"	"of_more"	"circumstance_in_the"	"in_the_of"	"the_of_more"	"of_more_recent"	"NN"	"IN"	"DT"	"NN"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"you"	"doubtless"	"forget"	"circumstance"	"in"	"the"	"press"	"of"	"more"	"recent"	"depredation"	"permit"	"me"	"to"	"recapitulate"	"them"	"briefly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
