"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"
"5:00:00:unhurried:00"	"within"	"commuting"	"location"	"distance"	"location_within"	"within_commuting"	"commuting_distance"	"a_location_within"	"location_within_commuting"	"within_commuting_distance"	"commuting_distance_of"	"DT"	"NN"	"IN"	"JJ"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"choose"	"location"	"within"	"easy"	"commuting"	"distance"	"of"	"both"	"the"	"regular"	"job"	"and"	"employment"	"opportunity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"be"	"to"	"it"	"confirm"	"it_be"	"be_to"	"to_confirm"	"wasteland_it_be"	"it_be_to"	"be_to_confirm"	"to_confirm_her"	"NN"	"PRP"	"VB"	"JJ"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"study"	"him"	"hopefully"	"yearningly"	"against"	"the"	"limitless"	"of"	"sky"	"and"	"wasteland"	"it"	"be"	"easy"	"to"	"confirm"	"her"	"analysis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"within"	"reach"	"boy"	"of"	"boy_within"	"within_reach"	"reach_of"	"for_boy_within"	"boy_within_reach"	"within_reach_of"	"reach_of_every"	"IN"	"NN"	"IN"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"my"	"view"	"there"	"should"	"be"	"a"	"which"	"offer"	"significant"	"vocational_program"	"for"	"boy"	"within"	"easy"	"reach"	"of"	"every"	"family"	"in"	"a"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"always"	"to"	"not"	"develop"	"not_always"	"always_to"	"to_develop"	"be_not_always"	"not_always_to"	"always_to_develop"	"to_develop_theory"	"VB"	"RB"	"RB"	"JJ"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"not"	"always"	"easy"	"to"	"develop"	"theory"	"and"	"doctrine"	"which"	"would"	"square"	"the"	"two"	"condition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"be"	"for"	"have"	"her"	"have_be"	"be_for"	"for_her"	"might_have_be"	"have_be_for"	"be_for_her"	"for_her_if"	"MD"	"VB"	"VB"	"JJ"	"IN"	"PRP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"have"	"be"	"easy"	"for"	"her"	"if"	"person"	"had"	"n't"	"be"	"everything"	"that"	"person"	"be"	"not"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"not"	"for"	"is"	"the"	"is_not"	"not_for"	"for_the"	"it_is_not"	"is_not_for"	"not_for_the"	"for_the_therapist"	"PRP"	"VB"	"RB"	"JJ"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"not"	"easy"	"for"	"the"	"therapist"	"to"	"discern"	"when"	"in"	"the"	"patient"	"communicating"	"an"	"introject"	"has"	"appear"	"and"	"is"	"hold_sway"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"any"	","	"it"	"coward"	"it_any"	"any_,"	",_coward"	"make_it_any"	"it_any_,"	"any_,_coward"	",_coward_''"	"VB"	"VB"	"RB"	"JJ"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"does"	"this"	"it"	"any"	"easy"	"coward"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"and"	"enthusiasm"	"quick"	"."	"quick_and"	"and_enthusiasm"	"enthusiasm_."	"such_quick_and"	"quick_and_enthusiasm"	"and_enthusiasm_."	"enthusiasm_._∅"	"RB"	"JJ"	"CC"	"JJ"	"NN"	"ε"	"ε"	"was"	"much"	"influence"	"by"	"paris"	"during"	"the"	"twenties"	"the"	"paris"	"which"	"be"	"the"	"artistic"	"center"	"of"	"the"	"western"	"world"	"the"	"social"	"paris"	"to"	"which"	"russian"	"aristocracy"	"migrate"	"the"	"chic"	"paris"	"which"	"attract"	"the"	"tourist"	"dollar"	"of"	"rich"	"america"	"the"	"avant-garde"	"paris"	"of"	"person"	"stravinsky"	"person"	"person"	"picasso"	"the"	"laissez-faire"	"paris"	"of"	"dadaism"	"and"	"ultramodern"	"art"	"the"	"paris"	"sympathique"	"take"	"young"	"composer"	"to"	"her"	"bosom"	"with"	"such"	"quick"	"and"	"enthusiasm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"be"	"to"	"nothing"	"grow"	"nothing_be"	"be_to"	"to_grow"	"∅_nothing_be"	"nothing_be_to"	"be_to_grow"	"to_grow_from"	"ε"	"NN"	"VB"	"JJ"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"easy"	"to"	"grow"	"from"	"seed"	"than"	"pansy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"so"	"to"	"be"	"falsify"	"be_so"	"so_to"	"to_falsify"	"it_be_so"	"be_so_to"	"so_to_falsify"	"to_falsify_sentiment"	"PRP"	"VB"	"RB"	"JJ"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"so"	"easy"	"to"	"falsify"	"sentiment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
