"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"
"3:00:00::"	"of"	"movement"	"ribbon"	"through"	"ribbon_of"	"of_movement"	"movement_through"	"oily_ribbon_of"	"ribbon_of_movement"	"of_movement_through"	"movement_through_muddy"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"there"	"was"	"no"	"real"	"sign"	"of"	"the"	"river"	"now"	"just"	"a"	"roiling"	"oily"	"ribbon"	"liquid"	"movement"	"through"	"muddy"	"water"	"that"	"reach"	"everywhere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"much"	","	"so"	"transmission"	"so_much"	"much_,"	",_transmission"	"contain_so_much"	"so_much_,"	"much_,_transmission"	",_transmission_of"	"VB"	"RB"	"JJ"	"NN"	"ε"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"because"	"the"	"contain"	"so"	"much"	"liquid"	"transmission"	"of"	"ultrasonic"	"signal"	"proceed"	"fairly"	"well"	"in"	"muscle"	"and"	"blood_vessel"	"0"	"0"	
"3:00:00::"	"the"	"helium"	"in"	"temperature"	"in_the"	"the_helium"	"helium_temperature"	"thermometer_in_the"	"in_the_helium"	"the_helium_temperature"	"helium_temperature_region"	"NN"	"IN"	"DT"	"JJ"	"NN"	"NN"	"NN"	"and"	"impurity"	"doped"	"germanium"	"resistor"	"have"	"been"	"investigate"	"for"	"use"	"as"	"precision"	"secondary"	"thermometer"	"in"	"the"	"helium"	"temperature"	"region"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"''"	"helium"	"temperature"	"bath"	"temperature_''"	"''_helium"	"helium_bath"	"constant_temperature_''"	"temperature_''_helium"	"''_helium_bath"	"helium_bath_from"	"JJ"	"NN"	"ε"	"JJ"	"NN"	"NN"	"IN"	"0"	"the"	"reproducibility"	"of"	"helium"	"vapor_pressure"	"thermometer"	"have"	"been"	"investigate"	"in"	"conjunction"	"with"	"a"	"constant"	"temperature"	"helium"	"bath"	"from"	"to"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:04::"	"colorless"	"which"	"and"	"evaporate"	"and_colorless"	"colorless_which"	"which_evaporate"	"substance_and_colorless"	"and_colorless_which"	"colorless_which_evaporate"	"which_evaporate_to"	"NN"	"CC"	"JJ"	"NN"	"WDT"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"miscellaneous"	"soil"	"which"	"primarily"	"sticky"	"substance"	"and"	"colorless"	"liquid"	"which"	"evaporate"	"to"	"leave"	"a"	"residue"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"and"	"*"	"f"	"*"	"f_and"	"and_*"	"*_*"	"*_f_and"	"f_and_*"	"and_*_*"	"*_*_f"	"ε"	"NN"	"CC"	"JJ"	"ε"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"thermal"	"exchange"	"of"	"between"	"f"	"and"	"liquid"	"f"	"be"	"readily"	"measurable"	"at"	"temperature"	"in"	"the"	"range"	"of"	"and"	"above"	"0"	
"1:26:00::"	"for"	"phase"	"sample"	"thermal"	"sample_for"	"for_phase"	"phase_thermal"	"the_sample_for"	"sample_for_phase"	"for_phase_thermal"	"phase_thermal_reaction"	"DT"	"NN"	"IN"	"NN"	"NN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"for"	"liquid"	"phase"	"thermal"	"reaction"	"study"	"were"	"prepare"	"in"	"pyrex"	"capillary_tubing"	"mm"	"i.d."	"and"	"about"	"cm"	"long"	
"1:27:00::"	"the"	"phase"	"study"	"thermal"	"study_the"	"the_phase"	"phase_thermal"	"in_study_the"	"study_the_phase"	"the_phase_thermal"	"phase_thermal_reaction"	"IN"	"VB"	"DT"	"NN"	"NN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"liquid"	"phase"	"thermal"	"reaction"	"some"	"tube"	"from"	"different"	"manifold"	"filling"	"were"	"prepare"	"and"	"analyze"	"0"	"0"	
"1:26:00::"	"the"	"phase"	"∅"	"photochemical_exchange"	"∅_the"	"the_phase"	"phase_photochemical_exchange"	"∅_∅_the"	"∅_the_phase"	"the_phase_photochemical_exchange"	"phase_photochemical_exchange_between"	"ε"	"ε"	"DT"	"NN"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"liquid"	"phase"	"photochemical_exchange"	"between"	"chlorine"	"and"	"carbon_tetrachloride"	"be"	"more"	"reproducible"	"than"	"the"	"thermal"	"exchange"	"although"	"still"	"erratic"	
"3:00:00::"	","	"eruption"	"deep"	"."	"deep_,"	",_eruption"	"eruption_."	"a_deep_,"	"deep_,_eruption"	",_eruption_."	"eruption_._∅"	"DT"	"JJ"	"ε"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"figure"	"in"	"the"	"corner"	"loudly"	"a"	"deep"	"liquid"	"eruption"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
