"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"
"1:26:01::"	"∅"	"alter"	"∅"	"case"	"∅_∅"	"∅_alter"	"alter_case"	"∅_∅_∅"	"∅_∅_alter"	"∅_alter_case"	"alter_case_."	"ε"	"ε"	"ε"	"NN"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"alter"	"case"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"normal"	"person"	"under"	"be"	"under_normal"	"normal_person"	"person_be"	"∅_under_normal"	"under_normal_person"	"normal_person_be"	"person_be_a_little"	"ε"	"IN"	"JJ"	"NN"	"NNP"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"normal"	"circumstance"	"person"	"be"	"a_little"	"fussy"	"when"	"people"	"tell"	"him"	"what"	"to"	"do"	"with"	"picture"	"he"	"had"	"take"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:02::"	"limited"	","	"certain"	"contraception"	"certain_limited"	"limited_,"	",_contraception"	"in_certain_limited"	"certain_limited_,"	"limited_,_contraception"	",_contraception_might"	"IN"	"JJ"	"JJ"	"NN"	"ε"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"lambeth_conference"	"again"	"affirm"	"the"	"primary"	"purpose"	"of"	"marriage"	"to"	"be"	"procreation"	"of"	"child"	"but"	"concede"	"that"	"in"	"certain"	"limited"	"circumstance"	"contraception"	"might"	"be"	"morally"	"legitimate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"unusual"	"a"	"under"	"resident"	"under_unusual"	"unusual_a"	"a_resident"	"∅_under_unusual"	"under_unusual_a"	"unusual_a_resident"	"a_resident_individual"	"ε"	"IN"	"JJ"	"NN"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"unusual"	"circumstance"	"a"	"resident"	"individual"	"may"	"be"	"grant"	"an"	"extension"	"of"	"time"	"to"	"file"	"a"	"return"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"adverse"	"."	"under"	"∅"	"under_adverse"	"adverse_."	"._∅"	"write_under_adverse"	"under_adverse_."	"adverse_._∅"	"._∅_∅"	"VB"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"letter"	"which"	"pour"	"forth"	"camp"	"were"	"usually"	"write"	"under"	"adverse"	"circumstance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"similar"	")"	"under"	","	"under_similar"	"similar_)"	")_,"	"off_under_similar"	"under_similar_)"	"similar_)_,"	")_,_person"	"VB"	"IN"	"JJ"	"NN"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"instead"	"of"	"quell"	"the"	"dissension"	"as"	"many"	"captain"	"of"	"the"	"era"	"would"	"do"	"person"	"lop_off"	"a"	"man"	"head"	"off"	"under"	"similar"	"circumstance"	"person"	"decide"	"to"	"be"	"reasonable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"in"	"to"	","	"be"	",_in"	"in_to"	"to_be"	"may_,_in"	",_in_to"	"in_to_be"	"to_be_spell_out"	"MD"	"ε"	"IN"	"NN"	"TO"	"VB"	"VB"	"model"	"then"	"the"	"industry"	"is"	"presume"	"to"	"realize"	"that"	"they"	"could"	"successfully"	"resist"	"a"	"change"	"in"	"the"	"basic"	"wage"	"rate"	"but"	"since"	"such"	"a"	"change"	"be"	"the"	"only"	"effective"	"means"	"to"	"raise"	"price"	"they"	"in"	"circumstance"	"be"	"spell_out"	"in"	"part"	"below"	"find"	"it"	"to"	"their"	"advantage"	"to"	"allow"	"the"	"wage"	"rise"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"this"	"account_for"	"and"	"in"	"and_this"	"this_account_for"	"account_for_in"	",_and_this"	"and_this_account_for"	"this_account_for_in"	"account_for_in_part"	"ε"	"CC"	"DT"	"NN"	"VB"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"paint"	"person"	"physical"	"eye"	"be"	"half"	"closed"	"while"	"mind's_eye"	"be"	"wide-open"	"and"	"this"	"circumstance"	"account_for"	"in"	"part"	"for"	"the"	"impression"	"he"	"wish"	"to"	"convey"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:02::"	"certain"	","	"under"	"and"	"under_certain"	"certain_,"	",_and"	"consonantal_under_certain"	"under_certain_,"	"certain_,_and"	",_and_which"	"JJ"	"IN"	"JJ"	"NN"	"ε"	"CC"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"syllable"	"be"	"linguistic_unit"	"center"	"in"	"peak"	"which"	"be"	"usually"	"vocalic"	"as"	"has"	"been"	"note"	"be"	"consonantal"	"under"	"certain"	"circumstance"	"and"	"which"	"may"	"or"	"may"	"not"	"be"	"combine"	"with"	"preceding"	"and"	"or"	"following"	"consonant"	"or"	"combination"	"of"	"consonant"	"0"	
"1:26:02::"	"the"	"are"	"otherwise"	"face"	"otherwise_the"	"the_are"	"are_face"	"∅_otherwise_the"	"otherwise_the_are"	"the_are_face"	"are_face_frankly"	"ε"	"IN"	"DT"	"NN"	"VBP"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"circumstance"	"are"	"face"	"frankly"	"it"	"be"	"not"	"reasonable"	"to"	"expect"	"this"	"to"	"be"	"true"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"or"	"at"	"condition"	"their"	"condition_or"	"or_at"	"at_their"	"present_condition_or"	"condition_or_at"	"or_at_their"	"at_their_sole"	"JJ"	"NN"	"CC"	"NN"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"help"	"is"	"offer"	"to"	"applicant"	"who"	"ordinarily"	"not"	"undertake"	"the"	"exploration"	"under"	"present"	"condition"	"or"	"circumstance"	"at"	"their"	"sole"	"expense"	"and"	"who"	"be"	"unable"	"to"	"obtain"	"funds"	"from"	"commercial"	"source"	"on"	"reasonable"	"term"	"0"	"0"	
"1:26:01::"	"of"	","	"degree"	"the"	"degree_of"	"of_,"	",_the"	"the_degree_of"	"degree_of_,"	"of_,_the"	",_the_ratio"	"DT"	"NN"	"IN"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"circumstance"	"the"	"ratio"	"of"	"memory"	"to"	"forgetfulness"	"determine"	"whether"	"a"	"dream"	"will"	"be"	"a"	"recognized"	"fulfill"	"prevision"	"or"	"the"	"vaguely"	"effective"	"source"	"of"	"the"	"weird"	"deja_vu"	"feeling"	
