"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"
"1:04:03::"	"the"	"."	"of"	"∅"	"of_the"	"the_."	"._∅"	"brazenness_of_the"	"of_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"jealous"	"bitterness"	"was"	"engender"	"by"	"the"	"person"	"gang"	"seizure"	"from"	"a"	"location"	"marshalling_yard"	"of"	"a"	"freight_car"	"load"	"of"	"canadian"	"whisky"	"worth"	"and"	"by"	"one"	"of"	"the"	"big"	"coup"	"of"	"the"	"prohibition_era"	"the"	"location"	"warehouse"	"robbery"	"which"	"become"	"famous"	"for"	"cool"	"brazenness"	"of"	"the"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:22:00::"	"lookup"	"."	"the"	"∅"	"the_lookup"	"lookup_."	"._∅"	"complete_the_lookup"	"the_lookup_."	"lookup_._∅"	"._∅_∅"	"VB"	"DT"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"two"	"step"	"complete"	"the"	"lookup"	"operation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:22:00::"	"lookup"	"be"	"text"	"that"	"text_lookup"	"lookup_be"	"be_that"	"the_text_lookup"	"text_lookup_be"	"lookup_be_that"	"be_that_each"	"DT"	"NN"	"NN"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"only"	"requirement"	"on"	"dictionary"	"make"	"by"	"the"	"text"	"lookup"	"operation"	"be"	"that"	"each"	"form"	"represent"	"by"	"the"	"dictionary"	"be"	"available"	"for"	"lookup"	"in"	"the"	"text"	"form"	"list"	"and"	"that"	"information"	"for"	"each"	"form"	"be"	"available"	"in"	"a"	"sequence"	"identical"	"with"	"the"	"sequence"	"of"	"the"	"form"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"week"	"in_order"	"day"	"to"	"day_week"	"week_in_order"	"in_order_to"	"-_day_week"	"day_week_in_order"	"week_in_order_to"	"in_order_to_minimize"	"ε"	"NN"	"NN"	"NN"	"RB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"you"	"watch"	"work"	"schedule"	"for"	"boiler"	"operator"	"guard"	"and"	"day"	"day"	"week"	"operation"	"in_order"	"to"	"minimize"	"overtime"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:06::"	"shift"	"?"	"third"	"∅"	"third_shift"	"shift_?"	"?_∅"	"and_third_shift"	"third_shift_?"	"shift_?_∅"	"?_∅_∅"	"CC"	"JJ"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"be"	"the"	"possibility"	"operate"	"your"	"cafeteria"	"for"	"a"	"single"	"shift"	"only"	"rely_upon"	"vending_machine"	"or"	"prepackaged"	"sandwich"	"for"	"the"	"second"	"and"	"third"	"shift"	"operation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:06::"	"cafeteria"	"in_order"	"your"	"to"	"your_cafeteria"	"cafeteria_in_order"	"in_order_to"	"subcontract_your_cafeteria"	"your_cafeteria_in_order"	"cafeteria_in_order_to"	"in_order_to_save"	"VB"	"PRP$"	"NN"	"NN"	"RB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"you"	"check"	"the"	"of"	"subcontract"	"your"	"cafeteria"	"operation"	"in_order"	"to"	"save"	"administrative"	"cost"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:06::"	"feeding"	"?"	"plant"	"∅"	"plant_feeding"	"feeding_?"	"?_∅"	"in_plant_feeding"	"plant_feeding_?"	"feeding_?_∅"	"?_∅_∅"	"JJ"	"NN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"you"	"consider"	"gradual"	"withdrawal"	"subsidy"	"to"	"your"	"in"	"plant"	"feeding"	"operation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"of"	"to"	"the"	"to_the"	"the_of"	"of_the"	"inconvenience_to_the"	"to_the_of"	"the_of_the"	"of_the_plant"	"NN"	"TO"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"consider"	"adopt"	"a"	"system"	"of"	"holiday"	"in"	"which"	"time_off"	"grant"	"with"	"an"	"eye"	"to"	"minimum"	"inconvenience"	"to"	"the"	"operation"	"of"	"the"	"plant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"continued"	"of"	"the"	"the"	"the_continued"	"continued_of"	"of_the"	"to_the_continued"	"the_continued_of"	"continued_of_the"	"of_the_group"	"TO"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"this"	"time"	"of"	"crisis"	"in"	"our"	"nation"	"railroad"	"a"	"new"	"threat"	"to"	"the"	"continued"	"operation"	"of"	"the"	"group"	"has"	"appear"	"in"	"the"	"form"	"of"	"the"	"group"	"proposal"	"for"	"control"	"of"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:06::"	"and"	","	"construction"	"or"	"construction_and"	"and_,"	",_or"	"for_construction_and"	"construction_and_,"	"and_,_or"	",_or_for"	"IN"	"NN"	"CC"	"NN"	"ε"	"CC"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"recommend"	"to"	"the"	"congress"	"authorization"	"for"	"construction"	"and"	"operation"	"or"	"for"	"participation"	"in"	"the"	"construction"	"and"	"operation"	"of"	"a"	"demonstration"	"plant"	"for"	"any"	"process"	"which"	"he"	"determine"	"on"	"the"	"basis"	"of"	"subsection"	"a"	"and"	"b"	"above"	"have"	"great"	"promise"	"of"	"accomplish"	"the"	"purpose"	"of_this"	"act"	"such"	"recommendation"	"to"	"be"	"accompany"	"by"	"a"	"report"	"on"	"the"	"size"	"location"	"and"	"cost"	"of"	"the"	"proposed"	"plant"	"and"	"the"	"engineering"	"and"	"economic"	"detail"	"with_respect_thereto"	
