"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"1:09:00::"	"one"	"."	"suggest"	"∅"	"suggest_one"	"one_."	"._∅"	"has_suggest_one"	"suggest_one_."	"one_._∅"	"._∅_∅"	"VBZ"	"VB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"suggest"	"one"	"explanation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"second"	"is"	"a"	"suggest"	"a_second"	"second_is"	"is_suggest"	"∅_a_second"	"a_second_is"	"second_is_suggest"	"is_suggest_by"	"ε"	"DT"	"JJ"	"NN"	"VBZ"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"second"	"explanation"	"is"	"suggest"	"by"	"the"	"material"	"describe"	"in"	"person"	"paper"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"third"	"is"	"a"	"suggest"	"a_third"	"third_is"	"is_suggest"	"∅_a_third"	"a_third_is"	"third_is_suggest"	"is_suggest_by"	"ε"	"DT"	"JJ"	"NN"	"VBZ"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"third"	"explanation"	"is"	"suggest"	"by"	"person"	"analysis"	"of"	"sukuma"	"tone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"an"	"of"	"for"	"why"	"for_an"	"an_of"	"of_why"	"person_for_an"	"for_an_of"	"an_of_why"	"of_why_he"	"NNP"	"IN"	"DT"	"NN"	"IN"	"WRB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"person"	"hear"	"of"	"the"	"he"	"summon"	"person"	"for"	"an"	"explanation"	"of"	"why"	"he"	"had"	"been"	"dishonour"	"the"	"police_department"	"by"	"consort"	"with"	"these"	"felon"	"and"	"fixer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"an"	"of"	"as"	"why"	"as_an"	"an_of"	"of_why"	"book_as_an"	"as_an_of"	"an_of_why"	"of_why_there"	"NN"	"IN"	"DT"	"NN"	"IN"	"WRB"	"EX"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"offer"	"book"	"as"	"an"	"explanation"	"of"	"why"	"there"	"was"	"no"	"clue"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"single"	"has"	"no"	"been"	"no_single"	"single_has"	"has_been"	"-_no_single"	"no_single_has"	"single_has_been"	"has_been_find"	"ε"	"DT"	"JJ"	"NN"	"VBZ"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wage"	"price"	"policy"	"of"	"industry"	"be"	"the"	"of"	"a"	"complex"	"of"	"force"	"no"	"single"	"explanation"	"has"	"been"	"find"	"which"	"apply"	"to"	"all"	"case"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"their"	"."	"and"	"∅"	"and_their"	"their_."	"._∅"	"inquiry_and_their"	"and_their_."	"their_._∅"	"._∅_∅"	"NN"	"CC"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"the"	"woman"	"get_up"	"and"	"offer"	"chair"	"and"	"when"	"they"	"were"	"all"	"seated"	"again"	"guest"	"make"	"their"	"inquiry"	"and"	"their"	"explanation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"detailed"	"of"	"and"	"this"	"and_detailed"	"detailed_of"	"of_this"	"technical_and_detailed"	"and_detailed_of"	"detailed_of_this"	"of_this_new"	"JJ"	"CC"	"JJ"	"NN"	"RB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all_of"	"the"	"jacket"	"carry"	"fairly"	"technical"	"and"	"detailed"	"explanation"	"of"	"this"	"new"	"recording"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"an"	"but"	"for"	"he"	"for_an"	"an_but"	"but_he"	"person_for_an"	"for_an_but"	"an_but_he"	"but_he_,"	"NNP"	"IN"	"DT"	"NN"	"CC"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"comment"	"ejaculate"	"the"	"surprised"	"woman"	"look"	"person"	"for"	"an"	"explanation"	"but"	"he"	"part"	"from"	"her"	"without"	"ceremony"	"only"	"offer"	"a_few"	"words"	"about"	"the"	"doctor"	"provincial"	"american"	"speech"	"and"	"a"	"state"	"of"	"nerves"	"bring_on"	"by"	"the"	"demand"	"of"	"his"	"work"	
"1:09:00::"	"no"	"be"	"which"	"available"	"which_no"	"no_be"	"be_available"	"for_which_no"	"which_no_be"	"no_be_available"	"be_available_."	"IN"	"WDT"	"DT"	"NN"	"VB"	"JJ"	"ε"	"and"	"this"	"be"	"true"	"of"	"a"	"mental_image"	"of"	"any"	"type"	"even"	"though"	"it"	"may"	"be"	"readily"	"interpret"	"into"	"its"	"equivalent"	"of"	"wakeful"	"thought"	"be"	"a"	"psychic_phenomenon"	"for"	"no"	"be"	"available"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
