"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"2:32:00::"	"to"	"publicly"	"congregation"	"their"	"congregation_to"	"to_publicly"	"publicly_their"	"the_congregation_to"	"congregation_to_publicly"	"to_publicly_their"	"publicly_their_faith"	"DT"	"NN"	"TO"	"VB"	"RB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"total"	"process"	"of"	"evangelism"	"reach"	"the"	"crescendo"	"when"	"group"	"of"	"new"	"members"	"before"	"the"	"congregation"	"to"	"declare"	"publicly"	"their"	"faith"	"and"	"to"	"be"	"receive"	"into"	"the"	"fellowship"	"of"	"the"	"church"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"he"	"."	","	"∅"	",_he"	"he_."	"._∅"	"''_,_he"	",_he_."	"he_._∅"	"._∅_∅"	"ε"	"ε"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"inspire"	"this"	"i"	"think"	"we"	"should"	"follow_through"	"on"	"it"	"he"	"declare"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	","	"that"	"growth"	"this"	"growth_,"	",_that"	"that_this"	"slow_growth_,"	"growth_,_that"	",_that_this"	"that_this_pessimism"	"JJ"	"NN"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"sprinkel"	"strongly"	"refute"	"the"	"current"	"neo-stagnationist"	"thesis"	"that"	"we"	"face"	"a"	"future"	"of"	"and"	"slow"	"growth"	"declare"	"that"	"this"	"pessimism"	"is"	"base"	"on"	"very"	"limited"	"and"	"questionable"	"evidence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"draper"	","	"∅"	"``"	"∅_draper"	"draper_,"	",_``"	"∅_∅_draper"	"∅_draper_,"	"draper_,_``"	",_``_as"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"declare"	"as"	"i"	"see"	"it"	"this"	"country"	"has"	"never"	"face"	"such"	"great"	"dangers"	"as"	"threaten"	"us"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:04::"	"talk"	"it"	"could"	"to"	"could_talk"	"talk_it"	"it_to"	"who_could_talk"	"could_talk_it"	"talk_it_to"	"it_to_be"	"WP"	"MD"	"VB"	"VB"	"PRP"	"TO"	"VB"	"0"	"sometimes"	"the"	"bubbling"	"sound"	"of"	"geysers"	"come"	"faintly"	"across"	"the"	"plain"	"to"	"the"	"herd"	"of"	"men"	"those"	"who"	"talk"	"declare"	"it"	"to"	"be"	"the"	"breathing"	"of"	"captain_alvarez"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"judge_powell"	"this"	"but"	"be"	"but_judge_powell"	"judge_powell_this"	"this_be"	",_but_judge_powell"	"but_judge_powell_this"	"judge_powell_this_be"	"this_be_a"	"ε"	"CC"	"NNP"	"VB"	"DT"	"VB"	"DT"	"0"	"0"	"0"	"attorney_dwight_l._schwab"	"in"	"behalf"	"of"	"defendant"	"philip_weinstein"	"argue"	"there"	"be"	"no"	"evidence"	"link"	"weinstein"	"to"	"the"	"conspiracy"	"judge_powell"	"declare"	"this"	"be"	"a"	"matter"	"for"	"the"	"jury"	"to"	"decide"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"also"	"there"	"schwab"	"be"	"schwab_also"	"also_there"	"there_be"	"∅_schwab_also"	"schwab_also_there"	"also_there_be"	"there_be_no"	"ε"	"NNP"	"RB"	"VB"	"EX"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"also"	"declare"	"there"	"be"	"no"	"proof"	"of"	"weinstein"	"enter"	"a"	"conspiracy"	"to"	"use"	"the"	"u._s."	"mails"	"to"	"defraud"	"to_which"	"federal"	"prosecutor"	"a._lawrence_burbank"	"reply"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"mr._eisenhower"	"to"	"statement"	"be"	"statement_mr._eisenhower"	"mr._eisenhower_to"	"to_be"	"a_statement_mr._eisenhower"	"statement_mr._eisenhower_to"	"mr._eisenhower_to_be"	"to_be_entirely"	"DT"	"NN"	"NNP"	"VB"	"VB"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"senator_mundt"	"gross"	"distortion"	"of"	"president_eisenhower"	"conversation"	"into"	"a"	"denunciation"	"of"	"president_kennedy"	"as"	"too"	"left_wing"	"statement"	"mr._eisenhower"	"declare"	"to"	"be"	"entirely"	"false"	"be"	"another"	"case_in_point"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:04::"	"to"	"slavery"	"some"	"wrong"	"some_to"	"to_slavery"	"slavery_wrong"	"lead_some_to"	"some_to_slavery"	"to_slavery_wrong"	"slavery_wrong_and"	"VB"	"DT"	"TO"	"VB"	"NN"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"long"	"before"	"the"	"christian"	"was"	"lead"	"some"	"to"	"declare"	"slavery"	"wrong"	"and"	"to"	"act"	"accordingly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:05::"	"administration"	"itself"	"the"	"in"	"the_administration"	"administration_itself"	"itself_in"	"∅_the_administration"	"the_administration_itself"	"administration_itself_in"	"itself_in_favor"	"ε"	"DT"	"NN"	"VB"	"PRP"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"administration"	"declare"	"itself"	"in"	"favor"	"of"	"a"	"neutralized"	"laos"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
