"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"
"2:36:01::"	"and"	"here"	"saws"	"14"	"saws_and"	"and_here"	"here_14"	"gin_saws_and"	"saws_and_here"	"and_here_14"	"here_14_years"	"NN"	"NNS"	"CC"	"VB"	"RB"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cotton_belt_gin_service"	"inc."	"of"	"dallas"	"gin"	"saws"	"and"	"start"	"here"	"years"	"ago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"he"	"to"	"∅"	"say"	"∅_he"	"he_to"	"to_say"	"∅_∅_he"	"∅_he_to"	"he_to_say"	"to_say_something"	"ε"	"ε"	"PRP"	"VB"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"start"	"to"	"say"	"something"	"as"	"i"	"walk"	"in"	"and_then"	"suddenly"	"grin"	"and"	"say"	"oh"	"yes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	","	"the"	"in"	"motor"	"in_,"	",_the"	"the_motor"	"jump_in_,"	"in_,_the"	",_the_motor"	"the_motor_and"	"VB"	"RB"	"ε"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"hurry"	"over"	"to"	"the"	"heap"	"jump"	"in"	"start"	"the"	"motor"	"and"	"be"	"just_in_time"	"to"	"see"	"the"	"car"	"i"	"want"	"to"	"shadow"	"turn"	"to"	"the"	"left"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"her"	"back"	"see"	"with"	"see_her"	"her_back"	"back_with"	"i_see_her"	"see_her_back"	"her_back_with"	"back_with_the"	"PRP"	"VB"	"PRP$"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"she"	"go_in"	"to"	"get"	"the"	"hamburgers"	"and"	"i"	"switch_on"	"the"	"device"	"again"	"and"	"keep"	"the"	"signal"	"from"	"dowling"	"car"	"come_in"	"steady"	"clear"	"until"	"i"	"her"	"start"	"back"	"with"	"the"	"hamburgers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"per_cent"	"jan."	"7.5"	"1"	"7.5_per_cent"	"per_cent_jan."	"jan._1"	"to_7.5_per_cent"	"7.5_per_cent_jan."	"per_cent_jan._1"	"jan._1_,"	"TO"	"CD"	"NN"	"VB"	"NNP"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"payroll"	"tax"	"would"	"rise"	"to"	"per_cent"	"start"	"jan."	"if"	"the"	"plan"	"is"	"approve"	"because"	"the"	"levy"	"is"	"already"	"scheduled"	"to"	"go_up"	"by"	"per_cent"	"on_that"	"date"	"to"	"pay"	"for"	"social_security"	"costs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"movement"	"to"	"home_rule"	"be"	"home_rule_movement"	"movement_to"	"to_be"	"the_home_rule_movement"	"home_rule_movement_to"	"movement_to_be"	"to_be_hear"	"DT"	"NN"	"NN"	"VB"	"TO"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"opposition"	"the"	"home_rule"	"movement"	"start"	"to"	"be"	"hear"	"yesterday"	"with"	"spokesmen"	"for"	"the"	"town"	"insurgent"	"democratic"	"leadership"	"speak"	"out"	"against"	"the"	"home_rule"	"charter"	"in"	"favor"	"of"	"the"	"model"	"municipal"	"league"	"charter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"hurriedly"	"to"	"and"	"angle"	"and_hurriedly"	"hurriedly_to"	"to_angle"	"lounge_and_hurriedly"	"and_hurriedly_to"	"hurriedly_to_angle"	"to_angle_across"	"NN"	"CC"	"RB"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"turn"	"then"	"to"	"look"	"toward"	"the"	"lighted"	"boulevard"	"and"	"rourke"	"tall"	"emaciated"	"figure"	"come_out"	"of"	"the"	"and"	"hurriedly"	"start"	"to"	"angle"	"across"	"the"	"street"	"toward"	"the"	"opposite"	"side"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"was"	"by"	"church"	"justinian"	"church_was"	"was_by"	"by_justinian"	"fourth_church_was"	"church_was_by"	"was_by_justinian"	"by_justinian_in"	"JJ"	"NN"	"VBD"	"VB"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"erect"	"on"	"the"	"site"	"of"	"pagan"	"temples"	"and"	"three"	"previous"	"st._sophias"	"the"	"first"	"of_which"	"was"	"begin"	"by"	"this"	"fourth"	"church"	"was"	"start"	"by"	"justinian"	"in"	"and"	"complete"	"twenty"	"years"	"later"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	","	"to"	"london"	"decline"	"london_,"	",_to"	"to_decline"	"of_london_,"	"london_,_to"	",_to_decline"	"to_decline_."	"IN"	"NNP"	"ε"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"early"	"eighteenth"	"century"	"this"	"fantastic"	"then"	"the"	"size"	"of"	"london"	"start"	"to"	"decline"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"is"	","	"treatment"	"the"	"treatment_is"	"is_,"	",_the"	"dental_treatment_is"	"treatment_is_,"	"is_,_the"	",_the_less"	"JJ"	"NN"	"VBZ"	"VB"	"ε"	"DT"	"RBR"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"a"	"rule"	"the"	"general"	"dental"	"treatment"	"is"	"start"	"the"	"less"	"expensive"	"and"	"more"	"satisfactory"	"it"	"be"	"likely"	"to"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
