"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"2:35:00::"	"go"	"mergers"	"they"	"with"	"they_go"	"go_mergers"	"mergers_with"	"so_they_go"	"they_go_mergers"	"go_mergers_with"	"mergers_with_firms"	"RB"	"PRP"	"VBP"	"VB"	"NNS"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"go"	"look_for"	"mergers"	"with"	"firms"	"that"	"have"	"publicly"	"quote"	"stock"	"and"	"almost"	"daily"	"they"	"pound"	"on"	"the"	"doors"	"of"	"firms"	"like"	"frito"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"in"	"things"	"a"	"things_to"	"to_in"	"in_a"	"general_things_to"	"things_to_in"	"to_in_a"	"in_a_site"	"JJ"	"NNS"	"TO"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"things"	"to"	"look_for"	"in"	"a"	"site"	"if"	"you"	"have"	"n't"	"already"	"buy"	"one"	"be"	"accessibility"	"water"	"drainage"	"and"	"orientation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"not"	"a"	"does"	"drastic"	"does_not"	"not_a"	"a_drastic"	"economist_does_not"	"does_not_a"	"not_a_drastic"	"a_drastic_switch"	"NN"	"VBZ"	"RB"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"does"	"not"	"look_for"	"a"	"drastic"	"switch"	"in"	"the"	"budget"	"during"	"this"	"recovery"	"and"	"believe"	"it"	"even"	"more"	"unlikely"	"that"	"the"	"federal_reserve"	"will"	"aggressively"	"tighten"	"monetary"	"policy"	"in"	"the"	"early"	"phases"	"of"	"the"	"upturn"	"as"	"be"	"the"	"case"	"in"	
"2:37:00::"	"∅"	"home"	"∅"	"building"	"∅_∅"	"∅_home"	"home_building"	"∅_∅_∅"	"∅_∅_home"	"∅_home_building"	"home_building_nationally"	"ε"	"ε"	"ε"	"VB"	"NN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"home"	"building"	"nationally"	"to"	"advance"	"less_than"	"percent"	"this"	"year"	"from"	"non-farm"	"housing"	"starts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"can"	"improvement"	"orioles"	"this"	"orioles_can"	"can_improvement"	"improvement_this"	"the_orioles_can"	"orioles_can_improvement"	"can_improvement_this"	"improvement_this_year"	"DT"	"NNP"	"MD"	"VB"	"NN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"angle"	"of"	"where"	"the"	"orioles"	"can"	"look_for"	"improvement"	"this"	"year"	"be"	"an"	"interesting"	"one"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"we"	"improvement"	"can"	"?"	"can_we"	"we_improvement"	"improvement_?"	",_can_we"	"can_we_improvement"	"we_improvement_?"	"improvement_?_∅"	"ε"	"MD"	"PRP"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"where"	"then"	"we"	"look_for"	"improvement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"half-acre"	"work"	"'s"	"''"	"'s_half-acre"	"half-acre_work"	"work_''"	"hell_'s_half-acre"	"'s_half-acre_work"	"half-acre_work_''"	"work_''_?"	"NN"	"POS"	"JJ"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"mean"	"you"	"drag"	"your"	"all_over"	"hell"	"half-acre"	"look_for"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"'m"	"some"	"i"	"information"	"i_'m"	"'m_some"	"some_information"	"``_i_'m"	"i_'m_some"	"'m_some_information"	"some_information_with"	"ε"	"PRP"	"VBP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"seated"	"in_front"	"of"	"the"	"desk"	"say"	"i"	"look_for"	"some"	"information"	"with"	"very"	"little"	"to"	"go_on"	"sheriff"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	","	"his"	"nw"	"wife"	"nw_,"	",_his"	"his_wife"	",_nw_,"	"nw_,_his"	",_his_wife"	"his_wife_,"	"ε"	"NNP"	"ε"	"VB"	"PRP$"	"NN"	"ε"	"0"	"thomas"	"early"	"sunday"	"go_to"	"the"	"home"	"of"	"his"	"uncle"	"and"	"aunt"	"mr."	"and"	"mrs._r._c._thomas"	"blanche_st."	"nw"	"look_for"	"wife"	"margaret_lou_thomas"	"and"	"their"	"month-old"	"baby"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"ever"	"christ"	"now"	"acording"	"now_ever"	"ever_christ"	"christ_acording"	"i_now_ever"	"now_ever_christ"	"ever_christ_acording"	"christ_acording_to"	"PRP"	"RB"	"RB"	"VB"	"NNP"	"VBG"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"ever"	"look_for"	"christ"	"acording"	"to"	"his"	"promises"	"and"	"those"	"of"	"the"	"old_testament"	"as_well"	"to"	"appear"	"again"	"in"	"glory"	"to"	"put_away"	"all"	"sin"	"and"	"to"	"reign"	"in"	"righteousness"	"over"	"the"	"whole"	"earth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
