"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"
"2:32:01::"	"that_is"	"neither"	"laws"	"by"	"laws_that_is"	"that_is_neither"	"neither_by"	"anti-trust_laws_that_is"	"laws_that_is_neither"	"that_is_neither_by"	"neither_by_their"	"JJ"	"NNS"	"RB"	"VB"	"DT"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"recent"	"publicity"	"attend"	"the"	"successful"	"federal"	"prosecution"	"of"	"a"	"conspiracy"	"indictment"	"against"	"a_number_of"	"manufacturers"	"has"	"evoke"	"a"	"new"	"respect"	"for"	"the"	"anti-trust"	"laws"	"that_is"	"justify"	"neither"	"by"	"their"	"rationale"	"nor"	"by"	"the"	"results"	"they"	"have"	"obtain"	
"2:32:01::"	"be"	"by"	"to"	"the_most"	"to_be"	"be_by"	"by_the_most"	"large_to_be"	"to_be_by"	"be_by_the_most"	"by_the_most_ardent"	"JJ"	"TO"	"VB"	"VB"	"IN"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_any_event"	"the"	"yearly"	"sacrifice"	"of"	"victims"	"be"	"hecatomb"	"too"	"large"	"to"	"be"	"justify"	"by"	"the_most"	"ardent"	"faith"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"to"	"such"	"reason"	"a"	"reason_to"	"to_such"	"such_a"	"grave_reason_to"	"reason_to_such"	"to_such_a"	"such_a_thing"	"JJ"	"NN"	"TO"	"VB"	"JJ"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"they"	"say"	"that"	"under"	"no"	"circumstances"	"would"	"it"	"ever"	"be"	"right"	"to"	"permit"	"the"	"termination"	"of"	"the"	"human_race"	"by"	"human_action"	"because"	"there"	"could"	"not"	"be"	"any"	"grave"	"reason"	"to"	"justify"	"such"	"a"	"thing"	"they"	"know"	"exactly"	"what"	"they"	"mean"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"to"	"like"	"use"	"tactics"	"use_to"	"to_like"	"like_tactics"	"been_use_to"	"use_to_like"	"to_like_tactics"	"like_tactics_on"	"VBN"	"VB"	"TO"	"VB"	"IN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"too"	"often"	"in_the_past"	"russian"	"have"	"been"	"use"	"to"	"justify"	"like"	"tactics"	"on"	"our"	"part"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"the"	"crisis"	"armaments"	"crisis_to"	"to_the"	"the_armaments"	"west_berlin_crisis_to"	"crisis_to_the"	"to_the_armaments"	"the_armaments_race"	"NN"	"NN"	"TO"	"VB"	"DT"	"NNS"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"u._s._president"	"has"	"show"	"once_again"	"that"	"the"	"united_states"	"the"	"fanning"	"of"	"the"	"west_berlin"	"crisis"	"to"	"justify"	"the"	"armaments"	"race"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"'"	"any"	"considerations"	"loss"	"considerations_'"	"'_any"	"any_loss"	"no_considerations_'"	"considerations_'_any"	"'_any_loss"	"any_loss_of"	"DT"	"NNS"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"your"	"editorial"	"say"	"now"	"the"	"write"	"that"	"no"	"considerations"	"justify"	"any"	"loss"	"of"	"revenue"	"of_this"	"proportion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"everything"	"come_along"	"."	"come_along_to"	"to_everything"	"everything_."	"had_come_along_to"	"come_along_to_everything"	"to_everything_."	"everything_._∅"	"VBD"	"VB"	"TO"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"come_along"	"to"	"justify"	"everything"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"``"	"''"	"manifestly"	"by"	"manifestly_``"	"``_''"	"''_by"	"is_manifestly_``"	"manifestly_``_''"	"``_''_by"	"''_by_rising"	"VBZ"	"RB"	"ε"	"VB"	"ε"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"such"	"an"	"industry"	"it"	"be"	"only"	"safe"	"to"	"raise"	"price"	"if"	"such"	"an"	"increase"	"is"	"manifestly"	"justify"	"by"	"rising"	"cost"	"due_to"	"rising"	"wage"	"etc"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"such"	"reason"	"a"	"reason_to"	"to_such"	"such_a"	"set_forth_reason_to"	"reason_to_such"	"to_such_a"	"such_a_conviction"	"VB"	"NN"	"TO"	"VB"	"JJ"	"DT"	"NN"	"in"	"this"	"way"	"we"	"are"	"obviously"	"take"	"for"	"granted"	"that"	"a"	"demythologized"	"restatement"	"of"	"the"	"kerygma"	"can"	"be"	"achieve"	"and"	"that"	"we"	"firmly"	"believe"	"this"	"will"	"presently"	"become"	"evident"	"when"	"we"	"set_forth"	"reason"	"to"	"such"	"a"	"conviction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"be"	"without"	"not"	"the"	"not_be"	"be_without"	"without_the"	"could_not_be"	"not_be_without"	"be_without_the"	"without_the_trimming"	"MD"	"RB"	"VB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"seem"	"to"	"be"	"an"	"unfortunate"	"assumption"	"that"	"an"	"hour"	"of"	"style"	"jazz"	"in"	"prime_time"	"evening"	"time"	"for_example"	"could"	"not"	"be"	"justify"	"without"	"the"	"trimming"	"of"	"a"	"portentous"	"documentary"	"0"	"0"	"0"	"0"	"0"	
