"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"
"2:38:00::"	"be"	"over"	"'ll"	"to"	"'ll_be"	"be_over"	"over_to"	"i_'ll_be"	"'ll_be_over"	"be_over_to"	"over_to_the"	"PRP"	"MD"	"VB"	"VB"	"RB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"better"	"keep_on"	"drive"	"yours"	"shayne"	"decide"	"because"	"be"	"go_on"	"over"	"to"	"the"	"beach"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	","	"little"	"sheriff"	"little_to"	"to_,"	",_sheriff"	"very_little_to"	"little_to_,"	"to_,_sheriff"	",_sheriff_''"	"RB"	"JJ"	"TO"	"VB"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"seated"	"in_front"	"of"	"the"	"desk"	"hank"	"say"	"i"	"look_for"	"information"	"with"	"very"	"little"	"to"	"go_on"	"sheriff"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"i"	"ruthlessly"	","	","	",_i"	"i_ruthlessly"	"ruthlessly_,"	"''_,_i"	",_i_ruthlessly"	"i_ruthlessly_,"	"ruthlessly_,_``"	"ε"	"ε"	"PRP"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"mean"	"go_on"	"ruthlessly"	"when"	"he"	"not"	"talk_about"	"you"	"or"	"himself"	"or"	"the"	"wonders"	"of"	"love"	"be"	"he"	"interesting"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"been"	"for"	"has"	"the"	"has_been"	"been_for"	"for_the"	"that_has_been"	"has_been_for"	"been_for_the"	"for_the_last"	"WDT"	"VBZ"	"VBN"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"anti-organization"	"democrats"	"see"	"in"	"the"	"program"	"an"	"opportunity"	"to"	"the"	"bitter"	"internal"	"fight"	"within"	"the"	"democratic_party"	"that"	"has"	"been"	"go_on"	"for"	"the"	"last"	"three"	"years"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"statement"	"."	"the"	"∅"	"the_statement"	"statement_."	"._∅"	",_the_statement"	"the_statement_."	"statement_._∅"	"._∅_∅"	"ε"	"DT"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"her"	"basic"	"hull"	"form"	"a"	"teardrop"	"and"	"her"	"nuclear_power"	"plant"	"will"	"be"	"use"	"for"	"almost"	"all"	"new"	"submarines"	"include"	"the"	"potent"	"polaris"	"missile"	"submarines"	"the"	"statement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"he"	"."	","	"∅"	",_he"	"he_."	"._∅"	"''_,_he"	",_he_."	"he_._∅"	"._∅_∅"	"ε"	"ε"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"have"	"to"	"get_back"	"jarrodsville"	"he"	"go_on"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"fiedler"	"to"	"∅"	"make"	"∅_fiedler"	"fiedler_to"	"to_make"	"∅_∅_fiedler"	"∅_fiedler_to"	"fiedler_to_make"	"to_make_several"	"ε"	"ε"	"NNP"	"VB"	"TO"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"go_on"	"to"	"make"	"several"	"test"	"flights"	"before"	"german"	"pilots"	"take_over"	"the"	"reichenberg"	"missiles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"to"	"wear"	"want"	"that"	"want_to"	"to_wear"	"wear_that"	"you_want_to"	"want_to_wear"	"to_wear_that"	"wear_that_outfit"	"PRP"	"VB"	"VB"	"VB"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"i"	"do"	"n't"	"why"	"you"	"want"	"to"	"go_on"	"wear"	"that"	"outfit"	"she"	"say"	"make"	"a"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"person"	","	"∅"	"``"	"∅_person"	"person_,"	",_``"	"∅_∅_person"	"∅_person_,"	"person_,_``"	",_``_when"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"go_on"	"when"	"we"	"finish"	"person"	"person"	"ask"	"me"	"to"	"stay"	"a_little"	"longer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"to"	"''"	"enough"	","	"enough_to"	"to_''"	"''_,"	"get_enough_to"	"enough_to_''"	"to_''_,"	"''_,_person"	"VB"	"NN"	"TO"	"VB"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"send_out"	"a"	"pickup"	"on"	"person"	"and"	"the"	"when"	"you"	"get"	"enough"	"to"	"go_on"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
