"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"
"2:36:00::"	"mr._sansom"	"of"	","	"foreign"	",_mr._sansom"	"mr._sansom_of"	"of_foreign"	"sacheverell_sitwell_,_mr._sansom"	",_mr._sansom_of"	"mr._sansom_of_foreign"	"of_foreign_parts"	"NNP"	"ε"	"NNP"	"VB"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"only"	"man"	"alive"	"who"	"seem"	"qualified"	"by"	"his"	"learning"	"his"	"disposition"	"and"	"his"	"addiction"	"a"	"baroque"	"luxuriance"	"of"	"language"	"to"	"inherit"	"literary"	"mantle"	"of"	"sacheverell_sitwell"	"mr._sansom"	"write"	"of"	"foreign"	"parts"	"with"	"a"	"dedication"	"to"	"decoration"	"worthy"	"of"	"a"	"pastry"	"chef"	"create"	"a"	"wedding_cake"	"for"	"the"	"marriage"	"of"	"a"	"hungarian"	"beauty"	"her"	"third"	"and"	"an"	"american"	"multimillionaire"	"his"	"fourth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"william_sansom"	"only"	"∅"	"about"	"∅_william_sansom"	"william_sansom_only"	"only_about"	"∅_∅_william_sansom"	"∅_william_sansom_only"	"william_sansom_only_about"	"only_about_europe"	"ε"	"ε"	"NNP"	"VB"	"RB"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"write"	"only"	"about"	"europe"	"in_this"	"book"	"and"	"frequently"	"of"	"such"	"familiar"	"places"	"as"	"london"	"vienna"	"the_french"	"riviera"	"and"	"the"	"norwegian"	"fjords"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"is"	"for"	"work"	"the"	"work_is"	"is_for"	"for_the"	"'s_work_is"	"work_is_for"	"is_for_the"	"for_the_stage"	"POS"	"NN"	"VBZ"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._reavey"	"is"	"write"	"for"	"the"	"stage"	"it"	"is"	"mention"	"for"	"an"	"off-broadway"	"production"	"in"	"the"	"fall"	"and"	"in_addition"	"employ"	"an"	"avant-garde"	"structure"	"that"	"particularly"	"need"	"to"	"be"	"see"	"if"	"comprehension"	"be"	"to"	"be"	"encourage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"had"	"out"	"he"	"the"	"he_had"	"had_out"	"out_the"	"∅_he_had"	"he_had_out"	"had_out_the"	"out_the_license_number"	"ε"	"PRP"	"VBD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"had"	"write"	"out"	"the"	"license_number"	"of"	"his"	"car"	"but"	"had"	"transpose"	"the"	"last"	"two"	"figures"	"an"	"old"	"dodge"	"which"	"be"	"still"	"good"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"have"	"anything"	"could"	"."	"could_have"	"have_anything"	"anything_."	"i_could_have"	"could_have_anything"	"have_anything_."	"anything_._∅"	"PRP"	"MD"	"VB"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"have"	"write"	"anything"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"cape_cod"	"the"	"on"	"first"	"on_cape_cod"	"cape_cod_the"	"the_first"	"home_on_cape_cod"	"on_cape_cod_the"	"cape_cod_the_first"	"the_first_drafts"	"NN"	"IN"	"NNP"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"president"	"spend"	"much"	"of"	"the"	"at"	"his"	"summer"	"home"	"on"	"cape_cod"	"write"	"the"	"first"	"drafts"	"of"	"portions"	"of"	"the"	"address"	"with"	"the"	"help"	"of"	"white_house"	"aids"	"in"	"washington"	"with"	"whom"	"he"	"talk"	"by"	"telephone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"pastor"	"a"	"the"	"personal_letter"	"the_pastor"	"pastor_a"	"a_personal_letter"	"∅_the_pastor"	"the_pastor_a"	"pastor_a_personal_letter"	"a_personal_letter_to"	"ε"	"DT"	"NN"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pastor"	"write"	"a"	"personal_letter"	"to"	"each"	"individual"	"express"	"his"	"joy"	"over"	"the"	"decision"	"assure"	"him"	"of"	"a"	"pastoral"	"call"	"at"	"the"	"earliest"	"convenient"	"time"	"and"	"outline"	"the"	"plan"	"for"	"membership"	"preparation"	"classes"	"and"	"membership_sunday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"a"	"member"	"statement"	"member_to"	"to_a"	"a_statement"	"each_member_to"	"member_to_a"	"to_a_statement"	"a_statement_on"	"DT"	"NN"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ask"	"member"	"to"	"write"	"a"	"statement"	"on"	"such"	"topics"	"as"	"what"	"christ"	"mean"	"to"	"me"	"what"	"the"	"church"	"mean"	"to"	"me"	"why"	"join"	"the"	"church"	"the"	"duties"	"of"	"church_members"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"governor"	"miss_grant"	"the"	"that"	"the_governor"	"governor_miss_grant"	"miss_grant_that"	"∅_the_governor"	"the_governor_miss_grant"	"governor_miss_grant_that"	"miss_grant_that_he"	"ε"	"DT"	"NN"	"VB"	"NNP"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"governor"	"write"	"miss_grant"	"that"	"he"	"has"	"be"	"concerned"	"for_some_time"	"with"	"the"	"continuous"	"problem"	"which"	"confront"	"our"	"local"	"and"	"state"	"law_enforcement"	"officers"	"as"	"a"	"result"	"of"	"the"	"laws"	"regulate"	"sunday"	"sales"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"this"	"compelled"	"because"	"compelled_to"	"to_this"	"this_because"	"feel_compelled_to"	"compelled_to_this"	"to_this_because"	"this_because_i"	"VB"	"JJ"	"TO"	"VB"	"DT"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"compelled"	"to"	"write"	"this"	"because"	"i"	"be"	"greatly"	"concerned"	"with"	"the"	"problem"	"of"	"community"	"growth_rate"	"and"	"the"	"relation"	"between"	"types"	"of"	"growth"	"in"	"a"	"town"	"such_as"	"east_greenwich"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
