"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"
"1:24:00::"	"the"	"of"	"of"	"this"	"of_the"	"the_of"	"of_this"	"what_of_the"	"of_the_of"	"the_of_this"	"of_this_natural"	"WP"	"IN"	"DT"	"NN"	"RB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"the"	"efficiency"	"of"	"this"	"natural"	"instrument"	"of"	"free"	"discussion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:24:00::"	"feed"	","	"improve"	"aid"	"improve_feed"	"feed_,"	",_aid"	"and_improve_feed"	"improve_feed_,"	"feed_,_aid"	",_aid_in"	"CC"	"VB"	"NN"	"NN"	"ε"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"increase"	"rate"	"of"	"and"	"improve"	"feed"	"efficiency"	"aid"	"in"	"the"	"prevention"	"or"	"treatment"	"depending_on"	"level"	"feed"	"of"	"the"	"early"	"stage"	"of"	"shipping_fever"	"prevent"	"or"	"treat"	"bacterial"	"diarrhea"	"and"	"aid"	"in"	"reduce"	"incidence"	"of"	"bloat"	"and"	"liver"	"abscess"	
"1:24:00::"	"feed"	","	"improve"	"feed"	"improve_feed"	"feed_,"	",_feed"	"and_improve_feed"	"improve_feed_,"	"feed_,_feed"	",_feed_75"	"CC"	"VB"	"NN"	"NN"	"ε"	"VB"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"increase"	"rate"	"gain"	"and"	"improve"	"feed"	"efficiency"	"feed"	"milligram"	"per"	"head"	"in"	"daily"	"supplement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:24:00::"	"feed"	","	"improve"	"feed"	"improve_feed"	"feed_,"	",_feed"	"and_improve_feed"	"improve_feed_,"	"feed_,_feed"	",_feed_10"	"CC"	"VB"	"NN"	"NN"	"ε"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"increase"	"rate"	"gain"	"and"	"improve"	"feed"	"efficiency"	"feed"	"to"	"gram"	"per"	"ton"	"of"	"complete"	"feed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:24:00::"	"feed"	","	"improve"	"feed"	"improve_feed"	"feed_,"	",_feed"	"and_improve_feed"	"improve_feed_,"	"feed_,_feed"	",_feed_10"	"CC"	"VB"	"NN"	"NN"	"ε"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"increase"	"rate"	"gain"	"and"	"improve"	"feed"	"efficiency"	"feed"	"to"	"gram"	"per"	"ton"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:24:00::"	"feed"	","	"improve"	"and"	"improve_feed"	"feed_,"	",_and"	",_improve_feed"	"improve_feed_,"	"feed_,_and"	",_and_reduce"	"ε"	"VB"	"NN"	"NN"	"ε"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"increase"	"gain"	"feed"	"efficiency"	"and"	"reduce"	"loss"	"from"	"bacterial"	"infection"	"list"	"under"	"how"	"to"	"feed"	"section"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:24:00::"	"feed"	"."	"improve"	"∅"	"improve_feed"	"feed_."	"._∅"	"and_improve_feed"	"improve_feed_."	"feed_._∅"	"._∅_∅"	"CC"	"VB"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"increase"	"rate"	"of"	"and"	"improve"	"feed"	"efficiency"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:24:00::"	"feed"	"of"	"and"	"fattening"	"and_feed"	"feed_of"	"of_fattening"	"growth_rate_and_feed"	"and_feed_of"	"feed_of_fattening"	"of_fattening_beef"	"NN"	"CC"	"NN"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"improve"	"and"	"feed"	"efficiency"	"of"	"fattening"	"beef"	"animal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"management"	"and"	"the"	"``"	"the_management"	"management_and"	"and_``"	"improve_the_management"	"the_management_and"	"management_and_``"	"and_``_know-how"	"VB"	"DT"	"NN"	"NN"	"CC"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sba"	"offer"	"administrative_management_courses"	"which"	"are"	"to"	"improve"	"the"	"management"	"efficiency"	"and"	"know-how"	"of"	"small"	"business_concern"	"within"	"a"	"community"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"great"	"and"	"achieve"	"reduce"	"achieve_great"	"great_and"	"and_reduce"	"to_achieve_great"	"achieve_great_and"	"great_and_reduce"	"and_reduce_the"	"TO"	"VB"	"JJ"	"NN"	"CC"	"VB"	"DT"	"jury"	"say"	"it"	"believe"	"these"	"two"	"office"	"should"	"be"	"combined"	"to"	"achieve"	"great"	"and"	"reduce"	"the"	"cost"	"of"	"administration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
