"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"
"2:34:00::"	"and"	"sovereignty"	"nationalism"	":"	"nationalism_and"	"and_sovereignty"	"sovereignty_:"	"of_nationalism_and"	"nationalism_and_sovereignty"	"and_sovereignty_:"	"sovereignty_:_supreme"	"IN"	"NN"	"CC"	"VB"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"nation-state"	"then"	"exemplify"	"the"	"of"	"nationalism"	"and"	"exercise"	"sovereignty"	"supreme"	"power"	"over"	"domestic"	"affairs"	"and"	"independence"	"from"	"outside"	"control"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"persians"	"their"	"in_which"	"extraordinary"	"in_which_persians"	"persians_their"	"their_extraordinary"	"settings_in_which_persians"	"in_which_persians_their"	"persians_their_extraordinary"	"their_extraordinary_aesthetic"	"NNS"	"RB"	"NNPS"	"VB"	"PRP$"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"more"	"important"	"and"	"the"	"thing"	"the"	"casual"	"traveler"	"and"	"the"	"blind"	"sojourner"	"often"	"do"	"not"	"see"	"be"	"these"	"places"	"and"	"activities"	"be"	"often"	"the"	"settings"	"in_which"	"persians"	"exercise"	"their"	"extraordinary"	"aesthetic"	"sensibilities"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"choices"	"by"	"that"	"realtors"	"that_choices"	"choices_by"	"by_realtors"	"us_that_choices"	"that_choices_by"	"choices_by_realtors"	"by_realtors_in"	"PRP"	"IN"	"NNS"	"VB"	"IN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"seem"	"us"	"that"	"choices"	"exercise"	"by"	"realtors"	"in"	"moral"	"situations"	"center"	"in"	"at_least"	"three"	"areas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"to"	"monopoly"	"ambition"	"power"	"ambition_to"	"to_monopoly"	"monopoly_power"	"their_ambition_to"	"ambition_to_monopoly"	"to_monopoly_power"	"monopoly_power_over"	"PRP$"	"NN"	"TO"	"VB"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"tortured"	"reasoning"	"that"	"unions"	"to"	"deny"	"their"	"ambition"	"to"	"exercise"	"monopoly"	"power"	"over"	"the"	"supply"	"and"	"price"	"of"	"labor"	"be"	"one"	"of"	"the"	"things"	"that"	"create"	"a"	"legal_profession"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"by"	"her"	"both"	"vaginal"	"both_by"	"by_her"	"her_vaginal"	"for_both_by"	"both_by_her"	"by_her_vaginal"	"her_vaginal_muscles"	"IN"	"DT"	"IN"	"VB"	"PRP$"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"pain"	"and"	"distress"	"associate"	"with"	"the"	"performance"	"may"	"easily"	"give"	"the"	"wife"	"a"	"deep-seated"	"dread"	"of"	"marital"	"relations"	"and"	"cause"	"her"	"unconsciously"	"to"	"make"	"the"	"unpleasant"	"and"	"difficult"	"for"	"both"	"by"	"exercise"	"her"	"vaginal"	"muscles"	"to"	"complicate"	"his"	"penetration"	"instead"	"of"	"relax"	"them"	"to"	"facilitate"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"states"	"their"	"southern"	"``"	"southern_states"	"states_their"	"their_``"	"the_southern_states"	"southern_states_their"	"states_their_``"	"their_``_right"	"DT"	"NNP"	"NNPS"	"VB"	"PRP$"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"southern"	"states"	"exercise"	"their"	"right"	"to"	"secede"	"they"	"form"	"what"	"they"	"officially"	"style"	"the"	"confederate_states_of_america"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"well"	"breast"	"'s"	"."	"'s_well"	"well_breast"	"breast_."	"person_'s_well"	"'s_well_breast"	"well_breast_."	"breast_._∅"	"NNP"	"POS"	"RB"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"clock"	"strike"	"seven-thirty"	"as"	"they"	"approach"	"the"	"hotel"	"entrance"	"and"	"hope"	"that"	"the"	"and"	"patronne"	"would"	"still"	"be"	"abed"	"begin"	"to"	"rise"	"in"	"person"	"well"	"exercise"	"breast"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"the"	"of"	"and"	"a"	"and_the"	"the_of"	"of_a"	"nature_and_the"	"and_the_of"	"the_of_a"	"of_a_spirit"	"NN"	"CC"	"DT"	"NN"	"IN"	"DT"	"NN"	"while"	"we"	"most"	"decidedly"	"disapprove"	"the"	"method"	"he"	"adopt"	"to"	"accomplish"	"his"	"object"	"yet"	"in"	"his"	"willingness"	"to"	"die"	"in"	"aid"	"of"	"the"	"great"	"cause"	"of"	"human"	"freedom"	"we"	"still"	"recognize"	"the"	"quality"	"of"	"a"	"noble"	"nature"	"and"	"the"	"of"	"a"	"spirit"	"which"	"true"	"man"	"have"	"always"	"admire"	"and"	"which"	"history"	"never"	"fail"	"to"	"honor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"usually"	"a"	"religion"	"stabilizing"	"religion_usually"	"usually_a"	"a_stabilizing"	"∅_religion_usually"	"religion_usually_a"	"usually_a_stabilizing"	"a_stabilizing_conserving"	"ε"	"NN"	"RB"	"VB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"usually"	"exercise"	"a"	"stabilizing"	"conserving"	"function"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"religion"	"a"	"that"	"conserving"	"that_religion"	"religion_a"	"a_conserving"	"at_the_same_time_that_religion"	"that_religion_a"	"religion_a_conserving"	"a_conserving_influence"	"RB"	"IN"	"NN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at_the_same_time"	"religion"	"exercise"	"a"	"conserving"	"influence"	"it"	"also"	"energize"	"and"	"motivate"	"both"	"individual"	"and"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"what"	"work"	"just"	"best"	"just_what"	"what_work"	"work_best"	"know_just_what"	"just_what_work"	"what_work_best"	"work_best_for"	"VB"	"RB"	"WP"	"NN"	"VB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"and"	"they"	"could"	"n't"	"have"	"entrust"	"person"	"to"	"better"	"hands"	"because"	"le_professeur"	"know"	"his"	"muscle"	"from"	"the"	"sternocleido_mastoideus"	"of"	"the"	"neck"	"right"	"down"	"to"	"the"	"tibialis_anticus"	"of"	"the"	"leg"	"and"	"better"	"still"	"he"	"know"	"what"	"exercise"	"work"	"best"	"for"	"them"	"and"	"what"	"person"	"principle"	"to"	"combine"	"them"	"with"	"for"	"fast"	"fast"	"muscle"	"growth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:01::"	"vigorously"	"in"	"is"	"alternate"	"is_vigorously"	"vigorously_in"	"in_alternate"	"area_is_vigorously"	"is_vigorously_in"	"vigorously_in_alternate"	"in_alternate_sector"	"NN"	"VBZ"	"RB"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"you"	"can"	"see"	"in"	"this"	"push-pull_super_set"	"entire"	"chest"	"back"	"shoulder"	"area"	"is"	"vigorously"	"exercise"	"in"	"alternate"	"sector"	"by"	"alternate"	"exercise"	"so"	"the"	"complete"	"torso"	"remain"	"pumped-up"	"all_the_time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"alternate"	","	"by"	"so"	"by_alternate"	"alternate_,"	",_so"	"sector_by_alternate"	"by_alternate_,"	"alternate_,_so"	",_so_the"	"NN"	"IN"	"JJ"	"NN"	"ε"	"RB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"you"	"can"	"see"	"in"	"this"	"push-pull_super_set"	"the"	"entire"	"chest"	"shoulder"	"area"	"is"	"vigorously"	"exercise"	"in"	"alternate"	"sector"	"by"	"alternate"	"exercise"	"so"	"the"	"complete"	"torso"	"remain"	"pumped-up"	"all_the_time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
