"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"2:31:00::"	"he"	"the"	"∅"	"order"	"∅_he"	"he_the"	"the_order"	"∅_∅_he"	"∅_he_the"	"he_the_order"	"the_order_."	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"forget"	"the"	"order"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:03::"	"i"	"to"	"∅"	"aim"	"∅_i"	"i_to"	"to_aim"	"∅_∅_i"	"∅_i_to"	"i_to_aim"	"to_aim_."	"ε"	"ε"	"PRP"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"forget"	"to"	"aim"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:03::"	"n't"	"to"	"do"	"buy"	"do_n't"	"n't_to"	"to_buy"	"∅_do_n't"	"do_n't_to"	"n't_to_buy"	"to_buy_a"	"ε"	"VBP"	"RB"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"n't"	"forget"	"to"	"buy"	"a"	"plastic"	"pastry"	"brush"	"for"	"baste"	"with"	"sauces"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:03::"	"n't"	"to"	"do"	"have"	"do_n't"	"n't_to"	"to_have"	"∅_do_n't"	"do_n't_to"	"n't_to_have"	"to_have_a"	"ε"	"VBP"	"RB"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"n't"	"forget"	"to"	"have"	"a"	"supply"	"of"	"melamine"	"plates"	"bowls"	"cups"	"saucers"	"and"	"platters"	"for"	"outdoor"	"use"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"n't"	"-"	"do"	"when"	"do_n't"	"n't_-"	"-_when"	"∅_do_n't"	"do_n't_-"	"n't_-_when"	"-_when_you"	"ε"	"VBP"	"RB"	"VB"	"ε"	"WRB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"n't"	"forget"	"when"	"you"	"take"	"to"	"the"	"hills"	"or"	"the"	"beach"	"that"	"your"	"cooler"	"which"	"you"	"might"	"have"	"use"	"for"	"wine"	"or"	"beer-cooling"	"on"	"your"	"terrace"	"or"	"back"	"yard"	"be"	"indispensable"	"for"	"carry"	"liquid"	"refreshments"	"0"	"0"	
"2:31:00::"	"n't"	"the"	"do"	"joys"	"do_n't"	"n't_the"	"the_joys"	"∅_do_n't"	"do_n't_the"	"n't_the_joys"	"the_joys_of"	"ε"	"VBP"	"RB"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"n't"	"forget"	"the"	"joys"	"of"	"a"	"meal"	"on_the_road"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"would"	"ann_turner"	"he"	"."	"he_would"	"would_ann_turner"	"ann_turner_."	"himself_he_would"	"he_would_ann_turner"	"would_ann_turner_."	"ann_turner_._∅"	"PRP"	"PRP"	"MD"	"VB"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dan_morgan"	"tell"	"he"	"would"	"forget"	"ann_turner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"never"	"bonham"	"sam_rayburn"	","	"sam_rayburn_never"	"never_bonham"	"bonham_,"	"for_sam_rayburn_never"	"sam_rayburn_never_bonham"	"never_bonham_,"	"bonham_,_his"	"IN"	"NNP"	"RB"	"VB"	"NNP"	"ε"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"never"	"forget"	"bonham"	"his"	"home"	"community"	"and"	"he"	"never"	"forget"	"texas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"never"	"texas"	"he"	"."	"he_never"	"never_texas"	"texas_."	"and_he_never"	"he_never_texas"	"never_texas_."	"texas_._∅"	"CC"	"PRP"	"RB"	"VB"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"sam_rayburn"	"never"	"forget"	"bonham"	"his"	"community"	"and"	"he"	"never"	"forget"	"texas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"to"	"about"	"try"	"it"	"try_to"	"to_about"	"about_it"	"now_try_to"	"try_to_about"	"to_about_it"	"about_it_in"	"RB"	"VB"	"VB"	"VB"	"IN"	"PRP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"the"	"tale"	"of"	"one"	"john_enright"	"an"	"american"	"who"	"accidentally"	"kill"	"a"	"man"	"in"	"the"	"and"	"is"	"now"	"try"	"to"	"forget"	"about"	"it"	"in"	"a"	"quiet"	"place"	"where"	"he"	"may"	"become"	"a"	"quiet"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"to"	"our"	"and"	"worries"	"and_to"	"to_our"	"our_worries"	"fears_and_to"	"and_to_our"	"to_our_worries"	"our_worries_."	"NNS"	"CC"	"TO"	"VB"	"PRP$"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"look_at"	"the"	"things"	"we"	"do"	"escape"	"our"	"fears"	"and"	"to"	"forget"	"our"	"worries"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"have"	"these"	"we"	"truth-packed"	"we_have"	"have_these"	"these_truth-packed"	",_we_have"	"we_have_these"	"have_these_truth-packed"	"these_truth-packed_words"	"ε"	"PRP"	"VBP"	"VB"	"DT"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"unfortunately"	"in"	"our"	"rush"	"to"	"the"	"russians"	"we"	"have"	"forget"	"these"	"truth-packed"	"words"	"of"	"jesus_christ"	"what"	"shall"	"it"	"profit"	"a"	"man"	"if"	"he"	"shall"	"gain"	"the"	"whole"	"world"	"that"	"include"	"outer_space"	"and"	"lose"	"his"	"own"	"soul"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"i"	"''"	","	","	",_i"	"i_''"	"''_,"	"oh_,_i"	",_i_''"	"i_''_,"	"''_,_and"	"UH"	"ε"	"PRP"	"VB"	"ε"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"oh"	"forget"	"and"	"helva"	"voice"	"be"	"really"	"contrite"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"almost"	"the"	"you"	"horrors"	"you_almost"	"almost_the"	"the_horrors"	"at_times_you_almost"	"you_almost_the"	"almost_the_horrors"	"the_horrors_the"	"RB"	"PRP"	"RB"	"VB"	"DT"	"NNS"	"DT"	"french"	"film"	"set"	"in"	"italy"	"be"	"a"	"summertime"	"splurge"	"in"	"shock"	"and"	"terror"	"all"	"shoot"	"in"	"lovely"	"sunny"	"scenery"	"so"	"breath-taking"	"that"	"at_times"	"you"	"forget"	"the"	"horrors"	"the"	"movie"	"is"	"deal"	"with"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
