"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"
"1:10:00::"	"swedish"	"."	"the"	"∅"	"the_swedish"	"swedish_."	"._∅"	"in_the_swedish"	"the_swedish_."	"swedish_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"the"	"long"	"piece"	"of"	"the"	"volume"	"none"	"be"	"so"	"memorable"	"as"	"nameless_and_immortal"	"at_once"	"took"	"rank"	"among"	"the"	"finest"	"poem"	"written"	"in"	"the"	"swedish"	"language"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"a"	"precede"	"in"	"and"	"in_a"	"a_precede"	"precede_and"	"appear_in_a"	"in_a_precede"	"a_precede_and"	"precede_and_follow"	"VB"	"IN"	"DT"	"NN"	"VB"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"form"	"any"	"unique"	"sequence"	"of"	"that"	"can"	"appear"	"in"	"a"	"language"	"precede"	"and"	"follow"	"by"	"a"	"space"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"extravagant"	","	"is"	"person"	"is_extravagant"	"extravagant_,"	",_person"	"that_is_extravagant"	"is_extravagant_,"	"extravagant_,_person"	",_person_."	"RB"	"RB"	"JJ"	"NN"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"extravagant"	"language"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"athabascan"	"have"	"the"	"undergo"	"the_athabascan"	"athabascan_have"	"have_undergo"	"that_the_athabascan"	"the_athabascan_have"	"athabascan_have_undergo"	"have_undergo_somewhat"	"IN"	"DT"	"NN"	"NN"	"VBP"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"more"	"stem"	"per"	"item"	"in"	"which"	"express"	"the"	"fact"	"that"	"the"	"athabascan"	"language"	"have"	"undergo"	"somewhat"	"more"	"change"	"in"	"diverge"	"from"	"proto"	"athabascan"	"than"	"the"	"yokuts"	"language"	"from"	"proto"	"yokuts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"yokuts"	"from"	"the"	"proto"	"the_yokuts"	"yokuts_from"	"from_proto"	"than_the_yokuts"	"the_yokuts_from"	"yokuts_from_proto"	"from_proto_yokuts"	"IN"	"DT"	"NN"	"NN"	"IN"	"JJ"	"NN"	"0"	"there"	"be"	"more"	"stem"	"per"	"item"	"in"	"athabascan"	"which"	"express"	"the"	"fact"	"that"	"the"	"athabascan"	"language"	"have"	"undergo"	"somewhat"	"more"	"change"	"in"	"diverge"	"from"	"proto"	"than"	"the"	"yokuts"	"language"	"from"	"proto"	"yokuts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"two"	"family"	"the"	"appear"	"the_two"	"two_family"	"family_appear"	"in_the_two"	"the_two_family"	"two_family_appear"	"family_appear_in"	"IN"	"JJ"	"JJ"	"NN"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"now"	"we"	"count"	"the"	"frequency"	"the"	"item"	"in"	"the"	"two"	"language"	"family"	"appear"	"in"	"the"	"same"	"column"	"or"	"grade"	"or"	"one"	"column"	"or"	"grade"	"apart"	"or"	"two"	"or"	"three"	"or"	"four"	"we"	"find"	"these"	"difference"	"f"	"this"	"distribution"	"can"	"be"	"summarize"	"by"	"average"	"the"	"distance"	"in"	"grade"	"apart"	"f"	"which"	"divide"	"by"	"f"	"give"	"a"	"mean"	"of"	"grade"	"apart"	
"1:10:00::"	"mon-khmer"	"al"	"some"	"2"	"some_mon-khmer"	"mon-khmer_al"	"al_2"	"in_some_mon-khmer"	"some_mon-khmer_al"	"mon-khmer_al_2"	"al_2_,"	"IN"	"DT"	"NN"	"NN"	"NNP"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"person"	"publish"	"basic"	"in"	"some"	"mon-khmer"	"language"	"al"	"no."	"pp."	"which"	"compare"	"mon-khmer"	"language"	"with"	"the"	"i-e"	"language"	"data"	"on"	"which"	"person"	"base"	"the"	"revised"	"retention"	"rate"	"f"	"in_place_of"	"original"	"f"	"and"	"his"	"revised"	"word"	"basic"	"glottochronological"	"list"	"in"	"towards_greater_accuracy"	"ijal_21_:_121_-_137"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"mon-khmer"	"with"	"8"	"the"	"8_mon-khmer"	"mon-khmer_with"	"with_the"	"compare_8_mon-khmer"	"8_mon-khmer_with"	"mon-khmer_with_the"	"with_the_i-e"	"VB"	"JJ"	"NN"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"person"	"publish"	"basic"	"vocabulary"	"in"	"some"	"mon-khmer"	"language"	"al"	"no."	"pp."	"which"	"compare"	"mon-khmer"	"language"	"with"	"the"	"language"	"data"	"on"	"which"	"person"	"base"	"the"	"revised"	"retention"	"rate"	"f"	"in_place_of"	"original"	"f"	"and"	"his"	"revised"	"word"	"basic"	"glottochronological"	"list"	"in"	"towards_greater_accuracy"	"ijal_21_:_121_-_137"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"i-e"	"data"	"the"	"on"	"the_i-e"	"i-e_data"	"data_on"	"with_the_i-e"	"the_i-e_data"	"i-e_data_on"	"data_on_which"	"IN"	"DT"	"NNP"	"NN"	"NN"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"in"	"person"	"publish"	"basic"	"vocabulary"	"in"	"some"	"mon-khmer"	"language"	"al"	"no."	"pp."	"which"	"compare"	"mon-khmer"	"language"	"with"	"the"	"i-e"	"language"	"data"	"which"	"person"	"base"	"the"	"revised"	"retention"	"rate"	"f"	"in_place_of"	"original"	"f"	"and"	"his"	"revised"	"word"	"basic"	"glottochronological"	"list"	"in"	"towards_greater_accuracy"	"ijal_21_:_121_-_137"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"many"	"but"	"in"	"has"	"in_many"	"many_but"	"but_has"	"vocabulary_in_many"	"in_many_but"	"many_but_has"	"but_has_acquire"	"NN"	"IN"	"JJ"	"NN"	"CC"	"VBZ"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"evident"	"that"	"person"	"has"	"not_only"	"much"	"experience"	"with"	"basic"	"vocabulary"	"in"	"many"	"language"	"but"	"has"	"acquire"	"great"	"tact"	"and"	"feeling"	"for"	"the"	"expectable"	"behavior"	"of"	"lexical"	"item"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
