"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"
"2:32:03::"	"note"	"efforts"	"moscow"	"of"	"moscow_note"	"note_efforts"	"efforts_of"	"to_that_moscow_note"	"moscow_note_efforts"	"note_efforts_of"	"efforts_of_the"	"RB"	"NNP"	"NN"	"VB"	"NNS"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the_british"	"and"	"to_that"	"moscow"	"note"	"point_out"	"efforts"	"of"	"the"	"communist"	"authorities"	"to"	"integrate"	"east_berlin"	"into"	"east_germany"	"by"	"isolate"	"it"	"from_the_outside"	"and"	"attempt"	"to"	"make"	"it"	"the"	"capital"	"of"	"east_germany"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"chairman_c._richard_mears"	"that"	"∅"	"perhaps"	"∅_chairman_c._richard_mears"	"chairman_c._richard_mears_that"	"that_perhaps"	"∅_∅_chairman_c._richard_mears"	"∅_chairman_c._richard_mears_that"	"chairman_c._richard_mears_that_perhaps"	"that_perhaps_this"	"ε"	"ε"	"NNP"	"VB"	"IN"	"RB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"point_out"	"that"	"perhaps"	"this"	"be"	"not"	"strictly"	"a"	"school_board"	"problem"	"in_case"	"of"	"atomic"	"attack"	"but"	"that"	"the"	"board"	"would"	"cooperate"	"so_far"	"as"	"to"	"get"	"the"	"children"	"to"	"where"	"the"	"parents"	"want"	"them"	"to"	"go"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"group"	","	"the"	"a"	"the_group"	"group_,"	",_a"	"in_the_group"	"the_group_,"	"group_,_a"	",_a_professional"	"IN"	"DT"	"NN"	"VB"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"a"	"in"	"the"	"group"	"point_out"	"a"	"professional"	"be"	"before"	"the"	"modern"	"period"	"of"	"technical"	"specialization"	"one"	"who"	"profess"	"to"	"be"	"a"	"bearer"	"and"	"critic"	"of"	"his"	"culture"	"in"	"the"	"use"	"of"	"his"	"particular"	"skills"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"to"	"that"	"except"	","	"except_to"	"to_that"	"that_,"	"teaching_except_to"	"except_to_that"	"to_that_,"	"that_,_at"	"NN"	"IN"	"TO"	"VB"	"RB"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"no"	"need"	"here"	"to"	"the"	"conditions"	"of"	"creative"	"teaching"	"except"	"to"	"point_out"	"that"	"at"	"the"	"college_level"	"the"	"sense"	"of"	"community"	"and"	"of"	"community"	"responsibility"	"be"	"even"	"more"	"necessary"	"than"	"it"	"be"	"at"	"levels"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"to"	"the"	"is"	"manner"	"is_to"	"to_the"	"the_manner"	"conclusions_is_to"	"is_to_the"	"to_the_manner"	"the_manner_in_which"	"NNS"	"VBZ"	"TO"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"we"	"can"	"attempt"	"with"	"hope"	"of"	"dependable"	"conclusions"	"is"	"to"	"point_out"	"the"	"manner"	"in_which"	"christianity"	"enter"	"into"	"particular"	"aspects"	"of"	"the"	"life"	"of"	"the"	"nation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"he"	"to"	"∅"	"the"	"∅_he"	"he_to"	"to_the"	"∅_∅_he"	"∅_he_to"	"he_to_the"	"to_the_commissioners"	"ε"	"ε"	"PRP"	"VB"	"TO"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"point_out"	"to"	"the"	"commissioners"	"that"	"the"	"agency"	"was"	"literally"	"dependent"	"now"	"on"	"the"	"machine"	"processing"	"and"	"the"	"whole"	"wheels"	"of"	"the"	"agency"	"would"	"stop"	"if"	"it"	"break_down"	"or"	"the"	"three"	"or"	"four"	"persons"	"direct"	"it"	"were"	"to"	"leave"	"0"	
"2:32:01::"	","	"recently"	"company"	"that"	"company_,"	",_recently"	"recently_that"	"manufacturing_company_,"	"company_,_recently"	",_recently_that"	"recently_that_many"	"NN"	"NN"	"ε"	"VB"	"RB"	"IN"	"JJ"	"and"	"personal"	"circumstances"	"vary"	"widely"	"among"	"those"	"now"	"choose"	"apartments"	"leo_j._pantas"	"vice_president"	"of"	"a"	"hardware"	"manufacturing"	"company"	"point_out"	"that"	"many"	"apartment"	"seekers"	"seem"	"to"	"have"	"one"	"characteristic"	"in"	"common"	"a"	"desire"	"for"	"greater"	"convenience"	"and"	"freedom"	"from"	"the"	"problems"	"involve"	"in"	"maintain"	"a"	"house"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"may"	"that"	"philosopher"	"the"	"philosopher_may"	"may_that"	"that_the"	"a_philosopher_may"	"philosopher_may_that"	"may_that_the"	"that_the_troubles"	"DT"	"NN"	"MD"	"VB"	"IN"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"may"	"point_out"	"that"	"the"	"troubles"	"of"	"the"	"congo"	"begin"	"with"	"the"	"old"	"adam"	"and"	"consequently"	"will"	"never"	"end"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"he"	"the"	","	"shocking"	",_he"	"he_the"	"the_shocking"	"hitler_,_he"	",_he_the"	"he_the_shocking"	"the_shocking_failure"	"NNP"	"ε"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"recognize"	"that"	"there"	"could"	"have"	"be"	"effective"	"negotiated"	"peace"	"with"	"hitler"	"he"	"point_out"	"the"	"shocking"	"failure"	"to"	"give"	"support"	"to"	"the"	"anti-nazi"	"underground"	"which"	"very_nearly"	"eliminate"	"hitler"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"churchmen"	","	"the"	"and"	"the_churchmen"	"churchmen_,"	",_and"	",_the_churchmen"	"the_churchmen_,"	"churchmen_,_and"	",_and_here"	"ε"	"DT"	"NNS"	"VB"	"ε"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"a_number_of"	"ways"	"could"	"happen"	"the"	"churchmen"	"point_out"	"and"	"here"	"be"	"an"	"example"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	","	"that"	"shelters"	"fallout"	"shelters_,"	",_that"	"that_fallout"	"of_shelters_,"	"shelters_,_that"	",_that_fallout"	"that_fallout_shelters"	"VB"	"NNS"	"ε"	"VB"	"IN"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"to"	"protection"	"the"	"disapprove"	"of"	"shelters"	"point_out"	"that"	"fallout"	"shelters"	"would"	"not"	"save"	"everyone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"he"	"that"	"although"	"mandatory"	"although_he"	"he_that"	"that_mandatory"	"∅_although_he"	"although_he_that"	"he_that_mandatory"	"that_mandatory_legislation"	"ε"	"IN"	"PRP"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"point_out"	"that"	"mandatory"	"legislation"	"impinge_on"	"home_rule"	"be"	"basically"	"distasteful"	"he"	"add"	"that"	"the"	"vital"	"interest"	"in"	"election"	"results"	"transcend"	"county_lines"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	","	"the"	"''"	"state"	"''_,"	",_the"	"the_state"	"it_''_,"	"''_,_the"	",_the_state"	"the_state_population"	"PRP"	"ε"	"ε"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"hughes"	"say"	"this"	"be"	"not"	"a"	"plan"	"to"	"conquer"	"space"	"but"	"to"	"conserve"	"it"	"the"	"state"	"population"	"has"	"increase"	"each_year"	"since"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"has"	"that"	"group"	"this"	"group_has"	"has_that"	"that_this"	"the_group_has"	"group_has_that"	"has_that_this"	"that_this_control"	"DT"	"NNP"	"VBZ"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"has"	"point_out"	"that"	"this"	"control"	"if"	"approve"	"by"	"the"	"group"	"would"	"give"	"the"	"combined"	"group"	"group"	"a"	"total"	"of"	"point"	"serve"	"in_common"	"with"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"has"	"."	"group"	"∅"	"group_has"	"has_."	"._∅"	"the_group_has"	"group_has_."	"has_._∅"	"._∅_∅"	"DT"	"NNP"	"VBZ"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"has"	"point_out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	","	"person"	"''"	","	"''_,"	",_person"	"person_,"	"frequently_''_,"	"''_,_person"	",_person_,"	"person_,_managing_editor"	"RB"	"ε"	"ε"	"VB"	"NNP"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all_too"	"frequently"	"person"	"managing_editor"	"of"	"commonweal"	"catholic"	"run_roughshod"	"over"	"protestant"	"sensibility"	"in"	"this"	"matter"	"by"	"failure"	"to"	"consider"	"the"	"reasoning"	"behind"	"the"	"protestant"	"position"	"particularly"	"by"	"their"	"jibe"	"at"	"the"	"fact"	"that"	"protestant"	"opinion"	"on"	"birth_control"	"has"	"change"	"in"	"recent"	"decade"	
"2:32:01::"	","	"to"	"historian"	"person"	"historian_,"	",_to"	"to_person"	"the_historian_,"	"historian_,_to"	",_to_person"	"to_person_that"	"DT"	"NN"	"ε"	"VB"	"TO"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"point_out"	"to"	"person"	"that"	"this"	"be"	"impossible"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"they"	"to"	"!"	"him"	"!_they"	"they_to"	"to_him"	"''_!_they"	"!_they_to"	"they_to_him"	"to_him_."	"ε"	"ε"	"PRP"	"VB"	"TO"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"have"	"n't"	"dress"	"for"	"occasion"	"they"	"point_out"	"to"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"person"	"."	","	"∅"	",_person"	"person_."	"._∅"	"''_,_person"	",_person_."	"person_._∅"	"._∅_∅"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"team"	"set"	"a"	"precedent"	"that"	"could"	"be"	"valuable"	"the"	"future"	"person"	"point_out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	","	":"	"commissioner"	"∅"	"commissioner_,"	",_:"	":_∅"	"league_commissioner_,"	"commissioner_,_:"	",_:_∅"	":_∅_∅"	"NN"	"NN"	"ε"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"commissioner"	"point_out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"person"	"that"	"∅"	"georgia"	"∅_person"	"person_that"	"that_georgia"	"∅_∅_person"	"∅_person_that"	"person_that_georgia"	"that_georgia_voter"	"ε"	"ε"	"NNP"	"VB"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"point_out"	"that"	"georgia"	"voter"	"last"	"november"	"reject"	"a"	"constitutional"	"amendment"	"to"	"allow"	"legislator"	"to"	"vote"	"on"	"pay"	"raise"	"for"	"future"	"legislature"	"session"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"bathing_suit"	","	"wet"	"be"	"wet_bathing_suit"	"bathing_suit_,"	",_be"	"the_wet_bathing_suit"	"wet_bathing_suit_,"	"bathing_suit_,_be"	",_be_that"	"DT"	"JJ"	"NN"	"VB"	"ε"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"the"	"thing"	"about"	"feelings"	"the"	"wet"	"bathing_suit"	"point_out"	"be"	"that"	"the"	"person"	"who"	"have"	"them"	"be"	"not"	"quite"	"the"	"innocent"	"party"	"he"	"believe"	"himself"	"to"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"person"	"that"	"∅"	"since"	"∅_person"	"person_that"	"that_since"	"∅_∅_person"	"∅_person_that"	"person_that_since"	"that_since_our"	"ε"	"ε"	"NNP"	"VB"	"IN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"point_out"	"that"	"since"	"our"	"country"	"is"	"more"	"urbanized"	"than"	"the"	"soviet_union"	"or"	"red_china"	"it"	"be"	"the"	"most"	"vulnerable"	"of"	"the"	"great_power"	"europe"	"of_course"	"must"	"be"	"write_off"	"out_of_hand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"was"	"by"	"it"	"person"	"it_was"	"was_by"	"by_person"	"1851_it_was"	"it_was_by"	"was_by_person"	"by_person_("	"CD"	"PRP"	"VBD"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"long_ago"	"it"	"was"	"point_out"	"by"	"person"	"that"	"there"	"be"	"a"	"connection"	"between"	"the"	"pituitary"	"and"	"the"	"thyroid"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
