"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"
"2:32:00::"	"notes"	"each"	"brief"	"work"	"brief_notes"	"notes_each"	"each_work"	"the_brief_notes"	"brief_notes_each"	"notes_each_work"	"each_work_offer"	"DT"	"JJ"	"NNS"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"notes"	"introduce"	"each"	"work"	"offer"	"salient"	"historical"	"or"	"technical"	"points"	"and"	"many"	"listeners"	"be"	"probably"	"grateful"	"for"	"being"	"intelligently"	"take"	"by"	"the"	"hand"	"through"	"an"	"often"	"difficult"	"maze"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"∅"	"each"	"∅"	"new"	"∅_∅"	"∅_each"	"each_new"	"∅_∅_∅"	"∅_∅_each"	"∅_each_new"	"each_new_member"	"ε"	"ε"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"new"	"member"	"to"	"the"	"congregation"	"ask"	"him"	"to"	"face"	"the"	"congregation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"who"	"an"	"manufacturer"	"all-automatic"	"manufacturer_who"	"who_an"	"an_all-automatic"	"the_manufacturer_who"	"manufacturer_who_an"	"who_an_all-automatic"	"an_all-automatic_camera"	"DT"	"NN"	"WP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"also"	"use"	"as"	"example"	"the"	"manufacturer"	"who"	"introduce"	"an"	"all-automatic"	"camera"	"in"	"germany"	"with"	"the"	"result"	"that"	"it"	"become"	"the"	"best"	"sell"	"camera"	"in"	"the"	"german"	"market"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:03::"	"in"	"into"	"instrumental"	"a"	"instrumental_in"	"in_into"	"into_a"	"be_instrumental_in"	"instrumental_in_into"	"in_into_a"	"into_a_neighborhood"	"VB"	"JJ"	"IN"	"VB"	"IN"	"DT"	"NN"	"such"	"factors"	"have"	"be"	"historically"	"be"	"evident"	"in"	"any"	"chronology"	"of"	"restrictive"	"covenant"	"cases"	"or"	"in"	"a"	"review"	"of"	"nareb"	"code"	"of"	"ethics"	"article"	"in"	"the"	"code"	"adopt"	"in"	"states"	"that"	"a"	"realtor"	"should"	"never"	"be"	"instrumental"	"in"	"into"	"a"	"neighborhood"	"a"	"character"	"of"	"property"	"or"	"occupancy"	"members"	"of"	"any"	"race"	"or"	"nationality"	"or"	"any"	"individuals"	"whose"	"presence"	"will"	"clearly"	"be"	"detrimental_to"	"property"	"values"	"in_that"	"neighborhood"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:03::"	"openly"	"non-white"	"who"	","	"who_openly"	"openly_non-white"	"non-white_,"	"realtor_who_openly"	"who_openly_non-white"	"openly_non-white_,"	"non-white_,_particularly"	"NN"	"WP"	"RB"	"VB"	"JJ"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"rationale"	"for"	"this"	"avoidance"	"was"	"most"	"frequently"	"express"	"in"	"economic"	"terms"	"all"	"the"	"supposed"	"stigma"	"they"	"believe"	"would"	"inevitably"	"attach_to"	"any"	"realtor"	"who"	"openly"	"introduce"	"non-white"	"particularly"	"negro"	"peoples"	"into"	"all-white"	"restricted"	"areas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"1953"	"a"	"in"	"new"	"in_1953"	"1953_a"	"a_new"	"sir_winston_churchill_in_1953"	"in_1953_a"	"1953_a_new"	"a_new_word"	"NNP"	"IN"	"CD"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"u._s."	"and"	"soviet"	"heads"	"of"	"have"	"meet"	"three_times"	"since"	"sir_winston_churchill"	"in"	"introduce"	"a"	"new"	"word"	"into"	"international"	"diplomacy"	"with"	"his"	"call_for"	"a"	"fresh"	"approach"	"to"	"the"	"problem"	"of"	"peace"	"at"	"the"	"summit"	"of"	"the"	"nations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"was"	"as"	"jr."	"the"	"jr._was"	"was_as"	"as_the"	",_jr._was"	"jr._was_as"	"was_as_the"	"as_the_first"	"ε"	"NNP"	"VBD"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"the"	"juniors"	"were"	"welcome"	"and"	"congratulate"	"for"	"qualify"	"the"	"finals"	"of"	"the"	"junior_class"	"mrs._william_h._long"	"jr."	"was"	"introduce"	"as"	"the"	"first"	"speaker"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"been"	"to"	"'ve"	"a"	"'ve_been"	"been_to"	"to_a"	"i_'ve_been"	"'ve_been_to"	"been_to_a"	"to_a_new"	"PRP"	"VBP"	"VBN"	"VB"	"TO"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"move"	"from"	"a"	"chicago"	"suburb"	"to"	"a_few"	"months"	"ago"	"i"	"been"	"introduce"	"to"	"a"	"new"	"game"	"called"	"lanesmanship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"he"	"so_much"	"since"	"modern"	"since_he"	"he_so_much"	"so_much_modern"	"∅_since_he"	"since_he_so_much"	"he_so_much_modern"	"so_much_modern_music"	"ε"	"IN"	"PRP"	"VB"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"introduce"	"so_much"	"modern"	"music"	"i"	"could"	"not"	"resist"	"ask"	"how"	"he"	"feel"	"about"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"be"	"to"	"thus"	"the"	"thus_be"	"be_to"	"to_the"	"can_thus_be"	"thus_be_to"	"be_to_the"	"to_the_water"	"MD"	"RB"	"VB"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"our"	"pools"	"also"	"have"	"wide"	"shallow"	"steps"	"for"	"the"	"of"	"the"	"littlest"	"swimmers"	"who"	"can"	"thus"	"be"	"introduce"	"to"	"the"	"water"	"with"	"far"	"greater"	"safety"	"than"	"a"	"ladder"	"afford"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
