"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"
"2:35:02::"	"∅"	"its"	"∅"	"own"	"∅_∅"	"∅_its"	"its_own"	"∅_∅_∅"	"∅_∅_its"	"∅_its_own"	"its_own_budget"	"ε"	"ε"	"ε"	"VB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"its"	"own"	"budget"	"of"	"with"	"a"	"state"	"grant"	"authorize"	"by"	"gov._vandiver"	"the"	"group"	"expect"	"to"	"sign"	"a"	"contract"	"in"	"march"	"with"	"georgia_tech."	"0"	"0"	"0"	"0"	
"2:35:02::"	"i"	"with"	"which"	"the"	"which_i"	"i_with"	"with_the"	"-_which_i"	"which_i_with"	"i_with_the"	"with_the_deerstalker"	"ε"	"WDT"	"PRP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"aside"	"from"	"the"	"which"	"i"	"couple"	"with"	"the"	"deerstalker"	"carbine"	"as"	"one"	"of"	"the"	"year"	"two"	"biggest"	"developments"	"few"	"significant"	"innovations"	"appear"	"among"	"handguns"	"0"	"0"	"0"	"0"	"0"	
"1:23:01::"	"a"	"minute"	"here"	"before"	"here_a"	"a_minute"	"minute_before"	"arrive_here_a"	"here_a_minute"	"a_minute_before"	"minute_before_nine"	"VB"	"RB"	"DT"	"NN"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"according"	"to"	"person"	"he"	"here"	"a"	"couple"	"minute"	"before"	"nine"	"and"	"spot"	"person"	"in"	"the"	"water"	"get"	"a"	"hooked"	"pole"	"from"	"the"	"pool"	"equipment"	"locker"	"and"	"start"	"haul"	"him"	"out"	
"1:14:00::"	"camping"	"do"	"the"	"to"	"the_camping"	"camping_do"	"do_to"	"does_the_camping"	"the_camping_do"	"camping_do_to"	"do_to_this"	"VBZ"	"DT"	"NN"	"NN"	"VB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"the"	"camping"	"couple"	"do"	"to"	"this"	"set"	"of"	"figure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"a"	"'s"	"be"	"own"	"be_a"	"a_'s"	"'s_own"	"problem_be_a"	"be_a_'s"	"a_'s_own"	"'s_own_affair"	"NN"	"VB"	"DT"	"NN"	"POS"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_any_case"	"person"	"remark"	"such"	"be"	"a"	"couple"	"own"	"affair"	"and"	"can"	"n't"	"always"	"be"	"measure"	"by"	"a"	"general"	"yardstick"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"last"	"of"	"the"	"year"	"the_last"	"last_of"	"of_year"	"∅_the_last"	"the_last_of"	"last_of_year"	"of_year_the"	"ε"	"DT"	"JJ"	"NN"	"IN"	"NN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"last"	"couple"	"of"	"year"	"the"	"group"	"management"	"got_the_business"	"from"	"the"	"group"	"when"	"game"	"were"	"cut_off"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"the"	"was"	"∅"	"marry"	"∅_the"	"the_was"	"was_marry"	"∅_∅_the"	"∅_the_was"	"the_was_marry"	"was_marry_aug"	"ε"	"ε"	"DT"	"NN"	"VBD"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"couple"	"was"	"marry"	"aug"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"the"	"has"	"that"	"not"	"that_the"	"the_has"	"has_not"	"say_that_the"	"that_the_has"	"the_has_not"	"has_not_live"	"VB"	"IN"	"DT"	"NN"	"VBZ"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"petition"	"that"	"the"	"couple"	"has"	"not"	"live"	"together"	"as"	"man_and_wife"	"for"	"more"	"than"	"a"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"the"	"would"	"that"	"have_to"	"that_the"	"the_would"	"would_have_to"	"insist_that_the"	"that_the_would"	"the_would_have_to"	"would_have_to_be"	"VB"	"IN"	"DT"	"NN"	"MD"	"VB"	"VB"	"morning"	"as"	"the"	"clock"	"strike"	"nine"	"he"	"appear"	"at"	"the"	"council"	"meeting"	"in"	"the"	"location"	"and"	"insist"	"the"	"would"	"have_to"	"be"	"punish"	"if"	"the"	"church"	"was"	"to"	"be"	"respect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"were"	"and"	"marry"	"and_the"	"the_were"	"were_marry"	"``_and_the"	"and_the_were"	"the_were_marry"	"were_marry_last"	"ε"	"CC"	"DT"	"NN"	"VBD"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"weekly"	"newspaper"	"report"	"a"	"romance"	"and"	"the"	"couple"	"were"	"marry"	"last"	"saturday"	"thus"	"end"	"a"	"friendship"	"which"	"begin"	"in"	"their"	"schooldays"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
