"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"
"1:04:01::"	"literary"	"of"	"earlier"	"those"	"earlier_literary"	"literary_of"	"of_those"	"also_earlier_literary"	"earlier_literary_of"	"literary_of_those"	"of_those_material"	"RB"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"early"	"humorist"	"already"	"mention"	"person"	"can"	"be"	"use"	"to"	"illustrate"	"another"	"point"	"where"	"touch"	"authentic"	"southern"	"material"	"and"	"also"	"earlier"	"literary"	"treatment"	"of"	"those"	"material"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"lamp"	","	"sun"	"etc."	"sun_lamp"	"lamp_,"	",_etc."	",_sun_lamp"	"sun_lamp_,"	"lamp_,_etc."	",_etc._?"	"ε"	"NN"	"NN"	"NN"	"ε"	"FW"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"you"	"indiscriminately"	"offer"	"unnecessary"	"medical"	"flu"	"shot"	"sun"	"lamp"	"treatment"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"refuse"	"."	"he"	"∅"	"he_refuse"	"refuse_."	"._∅"	"that_he_refuse"	"he_refuse_."	"refuse_._∅"	"._∅_∅"	"IN"	"PRP"	"VB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"may"	"say"	"that"	"his"	"was"	"diagnose"	"but"	"that"	"he"	"refuse"	"treatment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"or"	"("	"prevention"	"depending_on"	"prevention_or"	"or_("	"(_depending_on"	"the_prevention_or"	"prevention_or_("	"or_(_depending_on"	"(_depending_on_level"	"DT"	"NN"	"CC"	"NN"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"increase"	"rate"	"of"	"gain"	"and"	"improve"	"efficiency"	"aid"	"in"	"the"	"prevention"	"or"	"treatment"	"depending_on"	"level"	"feed"	"of"	"the"	"early"	"stage"	"of"	"shipping_fever"	"prevent"	"or"	"treat"	"bacterial"	"diarrhea"	"and"	"aid"	"in"	"reduce"	"incidence"	"of"	"bloat"	"and"	"liver"	"abscess"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"or"	"of"	"prevention"	"acetonemia"	"prevention_or"	"or_of"	"of_acetonemia"	"the_prevention_or"	"prevention_or_of"	"or_of_acetonemia"	"of_acetonemia_("	"DT"	"NN"	"CC"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"prevention"	"or"	"treatment"	"of"	"acetonemia"	"ketosis"	"in"	"dairy_cow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"accepting"	"from"	"and"	"the"	"and_accepting"	"accepting_from"	"from_the"	"supporting_and_accepting"	"and_accepting_from"	"accepting_from_the"	"from_the_teacher"	"JJ"	"CC"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"et_al."	"present"	"evidence"	"that"	"the"	"anxious"	"child"	"will"	"suffer"	"in"	"the"	"test"	"situation"	"and"	"that"	"his"	"performance"	"will"	"be"	"unless"	"he"	"receive"	"supporting"	"and"	"accepting"	"treatment"	"from"	"the"	"teacher"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"abstract"	"of"	","	"man"	",_abstract"	"abstract_of"	"of_man"	"schematic_,_abstract"	",_abstract_of"	"abstract_of_man"	"of_man_and"	"JJ"	"ε"	"JJ"	"NN"	"IN"	"NN"	"CC"	"indeed"	"turn_to"	"actual"	"representation"	"or"	"mold"	"three-dimensional_figure"	"which"	"be"	"rare"	"down"	"to"	"bc"	"they"	"tend"	"to"	"reflect"	"reality"	"see"	"plate"	"a"	"schematic"	"abstract"	"treatment"	"of"	"man"	"and"	"by"	"intent"	"rise"	"only"	"in"	"the"	"late"	"eighth"	"century"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"fugal"	"of"	"the"	"``"	"the_fugal"	"fugal_of"	"of_``"	"as_the_fugal"	"the_fugal_of"	"fugal_of_``"	"of_``_on_the_side_of_the_angels"	"IN"	"DT"	"JJ"	"NN"	"IN"	"ε"	"NNPS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"such"	"fascinating"	"novelty"	"in"	"score"	"as"	"the"	"fugal"	"treatment"	"of"	"on_the_side_of_the_angels"	"and"	"politics_and_poker"	"were"	"handle"	"splendidly"	"and"	"i"	"think"	"person"	"and"	"his"	"band"	"of"	"tuneful"	"ward-heeler"	"make"	"little_tin_box"	"even"	"better"	"than"	"it"	"was"	"do"	"by"	"the"	"new_york"	"cast"	"all"	"the"	"words"	"of"	"its"	"clever"	"lyric"	"come_through"	"with"	"perfect"	"clarity"	
"1:04:01::"	"different"	"."	"to"	"∅"	"to_different"	"different_."	"._∅"	"differently_to_different"	"to_different_."	"different_._∅"	"._∅_∅"	"RB"	"TO"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"truth"	"be"	"though"	"that"	"react"	"differently"	"to"	"different"	"treatment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"only"	"by"	"the"	"which"	"the_only"	"only_by"	"by_which"	"∅_the_only"	"the_only_by"	"only_by_which"	"by_which_nonspecific"	"ε"	"DT"	"JJ"	"NN"	"IN"	"WDT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"only"	"treatment"	"by"	"which"	"nonspecific"	"staining"	"could"	"be"	"satisfactorily"	"remove"	"be"	"by"	"pass_through"	"the"	"conjugate"	"through"	"a"	"deae_cellulose"	"column"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
