"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"1:18:00::"	"well-informed"	"of"	"a"	"literature"	"a_well-informed"	"well-informed_of"	"of_literature"	"with_a_well-informed"	"a_well-informed_of"	"well-informed_of_literature"	"of_literature_,"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"curiosity"	"was"	"sharpen"	"a"	"day"	"or"	"two"	"before"	"interview"	"by"	"a"	"conversation"	"i"	"have"	"with"	"a"	"well-informed"	"teacher"	"of"	"literature"	"a"	"jesuit"	"father"	"at"	"a"	"conference"	"on"	"religious"	"drama"	"near"	"paris"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"classroom"	","	"by"	"consist_of"	"by_classroom"	"classroom_,"	",_consist_of"	"administer_by_classroom"	"by_classroom_,"	"classroom_,_consist_of"	",_consist_of_a"	"VB"	"IN"	"NN"	"NN"	"ε"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"stanford_achievement_test"	"form_j"	"was"	"by"	"classroom"	"teacher"	"consist_of"	"a"	"battery"	"of"	"six"	"sub-test"	"paragraph"	"meaning"	"word"	"meaning"	"spelling"	"language"	"arithmetic"	"computation"	"and"	"arithmetic"	"reasoning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"."	"from"	"∅"	"from_the"	"the_."	"._∅"	"treatment_from_the"	"from_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"present"	"evidence"	"that"	"the"	"anxious"	"child"	"will"	"suffer"	"in"	"the"	"test"	"like"	"situation"	"and"	"that"	"his"	"performance"	"will"	"be"	"impair"	"unless"	"he"	"receive"	"supporting"	"and"	"accepting"	"treatment"	"from"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"dance"	"can"	"∅"	"respond"	"∅_dance"	"dance_can"	"can_respond"	"∅_∅_dance"	"∅_dance_can"	"dance_can_respond"	"can_respond_to"	"ε"	"ε"	"NN"	"NN"	"MD"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"teacher"	"can"	"respond"	"to"	"person"	"request"	"not_only"	"through"	"their"	"regular"	"dance"	"work"	"but"	"also"	"through"	"the"	"kind"	"of"	"basic"	"gymnastic"	"work"	"that"	"make_for"	"strength"	"and"	"flexibility"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"houston"	","	"a"	"now"	"a_houston"	"houston_,"	",_now"	"∅_a_houston"	"a_houston_,"	"houston_,_now"	",_now_serve"	"ε"	"DT"	"NN"	"NN"	"ε"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"houston"	"teacher"	"now"	"serve"	"in"	"the"	"legislature"	"propose"	"thursday"	"a"	"law"	"reduce"	"the"	"time"	"spend"	"learn"	"educational"	"method"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"senior_high"	"to"	"junior_high"	"have"	"junior_high_senior_high"	"senior_high_to"	"to_have"	"require_junior_high_senior_high"	"junior_high_senior_high_to"	"senior_high_to_have"	"to_have_at_least"	"VB"	"NN"	"NN"	"NN"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"also"	"require"	"junior_high"	"senior_high"	"teacher"	"to"	"have"	"at_least"	"semester_hour"	"credit"	"in"	"the"	"subject"	"they"	"are"	"teach"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"college"	"in"	"∅"	"texas"	"∅_college"	"college_in"	"in_texas"	"∅_∅_college"	"∅_college_in"	"college_in_texas"	"in_texas_are"	"ε"	"ε"	"NN"	"NN"	"IN"	"NN"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"teacher"	"in"	"texas"	"are"	"not"	"require"	"to"	"have"	"the"	"education"	"course"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"as"	"and"	"serve"	"principal"	"serve_as"	"as_and"	"and_principal"	"has_serve_as"	"serve_as_and"	"as_and_principal"	"and_principal_in"	"VBZ"	"VB"	"VB"	"NN"	"CC"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"serve"	"as"	"teacher"	"and"	"principal"	"in"	"oklahoma"	"high_school"	"as"	"teacher"	"and"	"athletic"	"director"	"at"	"group"	"as"	"an"	"instructor"	"at"	"the"	"group"	"and"	"as"	"an"	"associate_professor"	"of"	"education"	"at"	"group"	"0"	"0"	"0"	"0"	
"1:18:00::"	"as"	"and"	","	"athletic"	",_as"	"as_and"	"and_athletic"	"high_school_,_as"	",_as_and"	"as_and_athletic"	"and_athletic_director"	"NN"	"ε"	"IN"	"NN"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"has"	"serve"	"as"	"teacher"	"principal"	"in"	"oklahoma"	"high_school"	"as"	"teacher"	"and"	"athletic"	"director"	"at"	"group"	"as"	"an"	"instructor"	"at"	"the"	"group"	"and"	"as"	"an"	"associate_professor"	"of"	"education"	"at"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"agriculture"	","	"veteran"	"who"	"veteran_agriculture"	"agriculture_,"	",_who"	"a_veteran_agriculture"	"veteran_agriculture_,"	"agriculture_,_who"	",_who_defeat"	"DT"	"JJ"	"NN"	"NN"	"ε"	"WP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"new"	"school_superintendent"	"be"	"a"	"veteran"	"agriculture"	"teacher"	"who"	"defeat"	"person"	"a"	"school_principal"	"and"	"chairman"	"of"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
