"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"
"2:31:00::"	"consist_of"	"and"	"has"	"map"	"has_consist_of"	"consist_of_and"	"and_map"	"staff_has_consist_of"	"has_consist_of_and"	"consist_of_and_map"	"and_map_all"	"NN"	"VBZ"	"VB"	"VB"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"urban"	"land"	"use"	"study"	"carry_out"	"the"	"planning"	"division"	"staff"	"has"	"consist_of"	"identify"	"and"	"map"	"all"	"urban"	"land"	"uses"	"which"	"be"	"of"	"significance"	"to"	"statewide"	"planning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"."	"difficult"	"∅"	"difficult_to"	"to_."	"._∅"	"not_difficult_to"	"difficult_to_."	"to_._∅"	"._∅_∅"	"RB"	"JJ"	"TO"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"source"	"of_this"	"be"	"not"	"difficult"	"to"	"identify"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:03::"	"closely"	"with"	"so"	"the"	"so_closely"	"closely_with"	"with_the"	"is_so_closely"	"so_closely_with"	"closely_with_the"	"with_the_first"	"VBZ"	"RB"	"RB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"covered"	"wooden"	"is"	"so"	"closely"	"identify"	"with"	"the"	"first"	"action"	"in"	"the"	"early"	"morning"	"of"	"june"	"and"	"with"	"subsequent"	"troop"	"movements"	"of"	"both"	"armies"	"in"	"the"	"philippi"	"area"	"that"	"it"	"has"	"become"	"a"	"part"	"and"	"parcel"	"of"	"the"	"war"	"story"	
"2:31:00::"	"widely"	"as"	"were"	"the"	"were_widely"	"widely_as"	"as_the"	"that_were_widely"	"were_widely_as"	"widely_as_the"	"as_the_locale"	"WDT"	"VBD"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"corruption"	"be"	"hardly_a"	"recent"	"development"	"in"	"city"	"and"	"state"	"that"	"were"	"widely"	"identify"	"as"	"the"	"locale"	"of"	"edwin_o"	"connor"	"novel"	"the"	"last"	"hurrah"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"was"	"as"	"youth"	"robert_e._sims"	"youth_was"	"was_as"	"as_robert_e._sims"	"dead_youth_was"	"youth_was_as"	"was_as_robert_e._sims"	"as_robert_e._sims_,"	"JJ"	"NN"	"VBD"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"youth"	"was"	"identify"	"as"	"robert_e._sims"	"of"	"oak_knoll_cir."	"se"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"was"	"as"	"later"	"richard_sarkees"	"later_was"	"was_as"	"as_richard_sarkees"	"motorist_later_was"	"later_was_as"	"was_as_richard_sarkees"	"as_richard_sarkees_,"	"NN"	"RB"	"VBD"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"later"	"was"	"identify"	"as"	"richard_sarkees"	"of"	"mcclellan"	"currently"	"on"	"probation"	"and"	"under"	"court"	"order"	"not"	"to"	"drive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"radio_broadcast"	"the"	"havana"	"americans"	"havana_radio_broadcast"	"radio_broadcast_the"	"the_americans"	"a_havana_radio_broadcast"	"havana_radio_broadcast_the"	"radio_broadcast_the_americans"	"the_americans_as"	"DT"	"NNP"	"NN"	"VB"	"DT"	"NNPS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"radio_broadcast"	"identify"	"the"	"americans"	"as"	"howard_anderson"	"and"	"august_jack_mcnair"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"investigation"	"the"	"of"	"krogers"	"of_investigation"	"investigation_the"	"the_krogers"	"federal_bureau_of_investigation"	"of_investigation_the"	"investigation_the_krogers"	"the_krogers_as"	"NNP"	"IN"	"NNP"	"VB"	"DT"	"NNPS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"washington"	"the"	"of"	"investigation"	"identify"	"the"	"krogers"	"as"	"morris"	"and"	"lola_cohen"	"an"	"american"	"couple"	"formerly"	"of"	"new_york_city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"he"	"the"	"∅"	"man"	"∅_he"	"he_the"	"the_man"	"∅_∅_he"	"∅_he_the"	"he_the_man"	"the_man_as"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"identify"	"the"	"man"	"as"	"lewis_martin_parker"	"a"	"farmer"	"of"	"hartselle"	"ala."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"hinkle"	"a"	"that"	"photograph"	"that_hinkle"	"hinkle_a"	"a_photograph"	"these_that_hinkle"	"that_hinkle_a"	"hinkle_a_photograph"	"a_photograph_of"	"DT"	"IN"	"NNP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"these"	"that"	"hinkle"	"identify"	"a"	"photograph"	"of"	"barco"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
