"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"2:32:00::"	","	"the"	"points"	"diety"	"points_,"	",_the"	"the_diety"	"six_points_,"	"points_,_the"	",_the_diety"	"the_diety_of"	"CD"	"NNS"	"ε"	"VB"	"DT"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"third"	"belief"	"six"	"points"	"emphasize"	"the"	"diety"	"of"	"the"	"lord"	"jesus_christ"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"∅"	"the_virgin"	"∅"	"birth"	"∅_∅"	"∅_the_virgin"	"the_virgin_birth"	"∅_∅_∅"	"∅_∅_the_virgin"	"∅_the_virgin_birth"	"the_virgin_birth_the"	"ε"	"ε"	"ε"	"VB"	"NN"	"NN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the_virgin"	"birth"	"the"	"sinless"	"life"	"of"	"christ"	"his"	"miracles"	"his"	"substitutionary"	"work"	"on"	"the"	"cross"	"his"	"bodily"	"resurrection"	"from"	"the"	"dead"	"and"	"his"	"exaltation"	"to"	"the"	"right_hand"	"of"	"god"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"programs"	"the"	"these"	"acceptance"	"these_programs"	"programs_the"	"the_acceptance"	"∅_these_programs"	"these_programs_the"	"programs_the_acceptance"	"the_acceptance_of"	"ε"	"DT"	"NNS"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"programs"	"emphasize"	"the"	"acceptance"	"of"	"biracial"	"classrooms"	"peacefully"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"have"	"the"	"i"	"barriers"	"i_have"	"have_the"	"the_barriers"	"although_i_have"	"i_have_the"	"have_the_barriers"	"the_barriers_which"	"IN"	"PRP"	"VBP"	"VB"	"DT"	"NNS"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"have"	"emphasize"	"the"	"barriers"	"which"	"an"	"aroused"	"nationalism"	"has"	"raise"	"against"	"relations"	"between"	"christians"	"and"	"non-christians"	"in"	"asia"	"the"	"fact"	"be"	"that"	"this"	"development"	"has"	"also"	"widen"	"the"	"gulf"	"between"	"certain"	"afro-asian"	"religions"	"themselves"	
"2:32:00::"	"he"	"that"	"but"	"the"	"but_he"	"he_that"	"that_the"	"∅_but_he"	"but_he_that"	"he_that_the"	"that_the_agency"	"ε"	"CC"	"PRP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"emphasize"	"that"	"the"	"agency"	"must"	"train"	"people"	"within"	"its"	"own"	"employ"	"to"	"fulfill"	"what"	"field"	"handle"	"and"	"he"	"say"	"he"	"personally"	"regret"	"very_much"	"that"	"the"	"agency"	"has"	"not"	"do"	"this"	"in_the_past"	"0"	"0"	
"2:30:00::"	"would"	"its"	"but"	"accountability"	"but_would"	"would_its"	"its_accountability"	",_but_would"	"but_would_its"	"would_its_accountability"	"its_accountability_for"	"ε"	"CC"	"MD"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hang"	"the"	"responsible"	"officials"	"would"	"abolish"	"the"	"government"	"but"	"would"	"emphasize"	"its"	"accountability"	"for"	"the"	"lives"	"of"	"its"	"individual"	"citizens"	"which"	"would"	"certainly"	"alter"	"it"	"and"	"definitely"	"for"	"the"	"better"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"the"	"use"	"feeling"	"use_to"	"to_the"	"the_feeling"	"are_use_to"	"use_to_the"	"to_the_feeling"	"the_feeling_of"	"VBP"	"VB"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"walnut"	"wormy"	"chestnut"	"pecan"	"three"	"varieties"	"of"	"burl"	"hand-woven"	"philippine"	"cane"	"ceramic"	"tiles"	"marble"	"are"	"to"	"emphasize"	"the"	"feeling"	"of"	"texture"	"and"	"of"	"permanence"	"the"	"furniture"	"to"	"fit"	"into"	"rooms"	"with"	"tiled"	"floors"	"brick"	"or"	"paneled"	"walls"	"windows"	"that"	"bring_in"	"the"	"outdoors"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"not"	"in"	"was"	"the"	"was_not"	"not_in"	"in_the"	"congo_was_not"	"was_not_in"	"not_in_the"	"in_the_official"	"NNP"	"VBD"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"radical"	"nature"	"of"	"the"	"in"	"the"	"congo"	"was"	"not"	"emphasize"	"in"	"the"	"official"	"announcements"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	","	"the"	"writings"	"desirability"	"writings_,"	",_the"	"the_desirability"	"as_writings_,"	"writings_,_the"	",_the_desirability"	"the_desirability_of"	"IN"	"NNS"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"this"	"time"	"inscriptions"	"on"	"the"	"han"	"mirrors"	"as_well"	"as"	"writings"	"emphasize"	"the"	"desirability"	"of"	"keep"	"one"	"self"	"at"	"the"	"center"	"of"	"the"	"universe"	"where"	"cosmic"	"forces"	"be"	"strongest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"one"	"and"	"contrast"	"whatever"	"contrast_one"	"one_and"	"and_whatever"	"this_contrast_one"	"contrast_one_and"	"one_and_whatever"	"and_whatever_the"	"RB"	"NN"	"NN"	"VB"	"CC"	"WDT"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whatever"	"pole"	"this"	"contrast"	"one"	"emphasize"	"and"	"whatever"	"the"	"tension"	"between"	"these"	"two"	"approach"	"to"	"understand"	"the"	"artistic"	"imagination"	"it"	"will"	"be"	"readily"	"see"	"that"	"they"	"be"	"not"	"mutually_exclusive"	"that"	"they"	"belong"	"together"	"0"	"0"	"0"	
