"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"
"2:31:04::"	"dean_guerin"	","	"partner"	"an"	"partner_dean_guerin"	"dean_guerin_,"	",_an"	"e._g._t._partner_dean_guerin"	"partner_dean_guerin_,"	"dean_guerin_,_an"	",_an_effective"	"NNP"	"NN"	"NNP"	"VB"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"the"	"result"	"of_it"	"be"	"e._g._t."	"partner"	"dean_guerin"	"believe"	"an"	"effective"	"distribution"	"of"	"the"	"stock"	"to"	"owners"	"all_over"	"the"	"nation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"that"	"reasonable"	"there"	"reasonable_to"	"to_that"	"that_there"	"be_reasonable_to"	"reasonable_to_that"	"to_that_there"	"that_there_is"	"VB"	"JJ"	"TO"	"VB"	"IN"	"EX"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thus"	"it"	"reasonable"	"to"	"believe"	"that"	"there"	"is"	"a"	"significant"	"difference"	"between"	"the"	"two"	"groups"	"in"	"their"	"performance"	"on"	"this"	"task"	"after"	"a"	"brief"	"structuring"	"experience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:04::"	","	"."	"head"	"∅"	"head_,"	",_."	"._∅"	"cd_head_,"	"head_,_."	",_._∅"	"._∅_∅"	"NNP"	"NN"	"ε"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"east_providence"	"should"	"organize"	"its"	"civil_defense"	"setup"	"and"	"begin"	"by"	"appoint"	"full-time"	"director"	"raymond_h._hawksley"	"the"	"present"	"city"	"cd"	"head"	"believe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:04::"	"he"	"there"	"say"	"be"	"say_he"	"he_there"	"there_be"	"mr._hawksley_say_he"	"say_he_there"	"he_there_be"	"there_be_a_number_of"	"NNP"	"VB"	"PRP"	"VB"	"EX"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._hawksley"	"he"	"believe"	"there"	"be"	"a_number_of"	"qualified"	"city"	"residents"	"who"	"would"	"be"	"willing"	"to"	"take"	"the"	"full-time"	"cd"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:04::"	"mr._hawksley"	"that"	"∅"	"east_providence"	"∅_mr._hawksley"	"mr._hawksley_that"	"that_east_providence"	"∅_∅_mr._hawksley"	"∅_mr._hawksley_that"	"mr._hawksley_that_east_providence"	"that_east_providence_could"	"ε"	"ε"	"NNP"	"VB"	"IN"	"NNP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"believe"	"that"	"east_providence"	"could"	"use"	"two"	"more"	"rescue"	"trucks"	"similar"	"to"	"the"	"cd"	"vehicle"	"obtain"	"several"	"years"	"ago"	"and"	"now"	"detail"	"to"	"the"	"central"	"fire_station"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:03::"	"manufacturers"	"there"	"some"	"could"	"some_manufacturers"	"manufacturers_there"	"there_could"	"demand_some_manufacturers"	"some_manufacturers_there"	"manufacturers_there_could"	"there_could_be"	"NN"	"DT"	"NNS"	"VB"	"EX"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"lower"	"dealer"	"inventories"	"the"	"stepped-up"	"demand"	"some"	"manufacturers"	"believe"	"there"	"could"	"be"	"shortages"	"of"	"some"	"implements"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:03::"	"to"	"the"	"reason"	"change"	"reason_to"	"to_the"	"the_change"	"be_reason_to"	"reason_to_the"	"to_the_change"	"the_change_will"	"VB"	"NN"	"TO"	"VB"	"DT"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_view"	"of"	"the"	"current"	"expansion"	"which"	"promise"	"to"	"be"	"substantial"	"he"	"say"	"the"	"odds"	"appear"	"favor"	"rising"	"interest_rates"	"in"	"coming"	"months"	"but"	"there"	"be"	"reason"	"to"	"believe"	"the"	"change"	"will"	"not"	"be"	"as"	"abrupt"	"as"	"in"	"nor"	"as"	"severe"	"as"	"in"	"late"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"for"	"we"	"reason"	"have"	"reason_for"	"for_we"	"we_have"	"a_reason_for"	"reason_for_we"	"for_we_have"	"we_have_lose"	"DT"	"NN"	"IN"	"VB"	"PRP"	"VBP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rather_than"	"view"	"the"	"abortive"	"recovery"	"in"	"a"	"reason"	"for"	"believe"	"we"	"have"	"lose"	"prospects"	"for"	"growth"	"he"	"say"	"it"	"should"	"be"	"view_as"	"a"	"lesson"	"well"	"learn"	"which"	"will"	"increase"	"the"	"probability"	"of"	"substantial"	"improvement"	"in_this"	"recovery"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:04::"	"and"	"it"	"recovery"	"``"	"recovery_and"	"and_it"	"it_``"	"this_recovery_and"	"recovery_and_it"	"and_it_``"	"it_``_even"	"DT"	"NN"	"CC"	"VB"	"PRP"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"economist"	"does"	"not"	"look_for"	"a"	"drastic"	"in"	"the"	"budget"	"during"	"this"	"recovery"	"and"	"believe"	"it"	"even"	"more"	"unlikely"	"that"	"the"	"federal_reserve"	"will"	"aggressively"	"tighten"	"monetary"	"policy"	"in"	"the"	"early"	"phases"	"of"	"the"	"upturn"	"as"	"be"	"the"	"case"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:03::"	"could"	"."	"they"	"∅"	"they_could"	"could_."	"._∅"	"in_which_they_could"	"they_could_."	"could_._∅"	"._∅_∅"	"RB"	"PRP"	"MD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"her"	"statement"	"be"	"a"	"hope"	"a"	"truth"	"in_which"	"they"	"could"	"believe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
