"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"
"2:41:04::"	"buzz"	"the"	"because"	"territory"	"because_buzz"	"buzz_the"	"the_territory"	"pleasant_because_buzz"	"because_buzz_the"	"buzz_the_territory"	"the_territory_next"	"JJ"	"IN"	"NNP"	"VB"	"DT"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"owen"	"want"	"to"	"pleasant"	"because"	"buzz"	"work"	"the"	"territory"	"next"	"to"	"his"	"but"	"he"	"had"	"n't"	"come"	"to"	"reno"	"for"	"stag"	"dinners"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:03::"	"cannot"	"satisfactorily"	"system"	"for"	"system_cannot"	"cannot_satisfactorily"	"satisfactorily_for"	"financial_system_cannot"	"system_cannot_satisfactorily"	"cannot_satisfactorily_for"	"satisfactorily_for_at_least"	"JJ"	"NN"	"MD"	"VB"	"RB"	"IN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hayes"	"say"	"that"	"if"	"a"	"way"	"can"	"be"	"find"	"to"	"deal"	"effectively"	"with"	"short-term"	"capital"	"movements"	"nations"	"there"	"be"	"no"	"reason"	"in"	"my"	"judgment"	"why"	"the"	"international"	"financial"	"system"	"cannot"	"work"	"satisfactorily"	"for"	"at_least"	"the"	"foreseeable"	"future"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"been"	"to"	"has"	"establish"	"has_been"	"been_to"	"to_establish"	"government_has_been"	"has_been_to"	"been_to_establish"	"to_establish_firmer"	"NN"	"VBZ"	"VBN"	"VB"	"TO"	"VB"	"JJR"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"martin"	"say"	"government"	"has"	"been"	"work"	"to"	"establish"	"firmer"	"prices"	"on"	"primary"	"products"	"which"	"may"	"involve"	"the"	"total"	"income"	"of"	"one"	"country"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:03::"	"not"	"''"	"would"	"."	"would_not"	"not_''"	"''_."	"and_would_not"	"would_not_''"	"not_''_."	"''_._∅"	"CC"	"MD"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dr._barnes"	"say"	"that"	"there"	"seem"	"to"	"be"	"feeling"	"that"	"evacuation"	"plans"	"even"	"for"	"a"	"where"	"there"	"be"	"lots_of"	"cars"	"might"	"not"	"be"	"realistic"	"and"	"would"	"not"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	","	"at"	"semra"	"a"	"semra_,"	",_at"	"at_a"	"named_semra_,"	"semra_,_at"	",_at_a"	"at_a_roadhouse"	"JJ"	"NNP"	"ε"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all_over"	"the"	"country"	"belly"	"clubs"	"have"	"never"	"be"	"bigger"	"especially"	"in"	"detroit"	"boston"	"and"	"chicago"	"and"	"even"	"small_towns"	"one"	"of"	"the"	"best"	"dancers"	"a"	"turkish"	"girl"	"named"	"semra"	"work"	"at"	"a"	"roadhouse"	"outside"	"bristol"	"conn."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:04::"	"belly_dancer"	"the"	"best"	"casbah"	"best_belly_dancer"	"belly_dancer_the"	"the_casbah"	"the_best_belly_dancer"	"best_belly_dancer_the"	"belly_dancer_the_casbah"	"the_casbah_,"	"DT"	"JJS"	"NN"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"marlene"	"surname"	"adamo"	"a"	"brazilian"	"divorcee"	"who"	"learn"	"the"	"dance"	"from"	"arabic"	"friends"	"in"	"paris"	"now"	"on"	"manhattan"	"west_side"	"be"	"about"	"the"	"best"	"belly_dancer"	"work"	"the"	"casbah"	"love"	"it"	"so_much"	"that"	"she"	"dance"	"on"	"her"	"day_off"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:02::"	"to"	"in"	"design"	"tandem"	"design_to"	"to_in"	"in_tandem"	"machines_design_to"	"design_to_in"	"to_in_tandem"	"in_tandem_,"	"NNS"	"VB"	"TO"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_other_words"	"like"	"automation"	"design"	"to"	"work"	"in"	"tandem"	"they"	"share"	"the"	"same"	"programming"	"a"	"mutual_understanding"	"not_only"	"of"	"english"	"words"	"but"	"of"	"the"	"four"	"stresses"	"pitches"	"and"	"junctures"	"that"	"can"	"change"	"their"	"meaning"	"from"	"black"	"to"	"white"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"count_basie"	"in"	"find"	"a"	"find_count_basie"	"count_basie_in"	"in_a"	"john_hammond_find_count_basie"	"find_count_basie_in"	"count_basie_in_a"	"in_a_kansas_city"	"NNP"	"VB"	"NNP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"several_times"	"it"	"came_near"	"break"	"and"	"there"	"be"	"in_fact"	"some"	"lovely"	"peals"	"of"	"thunder"	"from"	"jerry_mulligan"	"big_band"	"which"	"be"	"as"	"fine"	"an"	"aggregation"	"as"	"has"	"come_along"	"in"	"the"	"jazz"	"business"	"since"	"john_hammond"	"find"	"count_basie"	"work"	"in"	"a"	"kansas_city"	"trap"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:03::"	"to"	"in_practice"	"going"	","	"going_to"	"to_in_practice"	"in_practice_,"	"really_going_to"	"going_to_in_practice"	"to_in_practice_,"	"in_practice_,_especially"	"RB"	"VB"	"VB"	"VB"	"RB"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"over"	"all"	"these"	"fairly"	"awkward"	"problems"	"khrushchev"	"was"	"to"	"skate_over"	"rather"	"lightly"	"and"	"though"	"he"	"repeat"	"over_and_over_again"	"the"	"spectacular"	"figures"	"of"	"industrial"	"and"	"agricultural"	"production"	"in"	"the"	"ordinary"	"people"	"in"	"russia"	"be"	"still"	"a_little"	"uncertain"	"as"	"to"	"how"	"communism"	"is"	"going"	"to"	"work"	"in_practice"	"especially"	"in"	"respect"	"of"	"food"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:03::"	"has"	"well"	"program"	"in"	"program_has"	"has_well"	"well_in"	"the_program_has"	"program_has_well"	"has_well_in"	"well_in_both"	"DT"	"NN"	"VBZ"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"has"	"work"	"well"	"in"	"both"	"nashville"	"and"	"houston"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
