"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"
"2:38:01::"	"and"	"to"	"10"	"the"	"10_and"	"and_to"	"to_the"	"july_10_and"	"10_and_to"	"and_to_the"	"to_the_state"	"NNP"	"CD"	"CC"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._notte"	"was"	"respond"	"to"	"a"	"resolution"	"adopt"	"the"	"central_falls"	"city_council"	"on"	"july"	"and"	"send"	"to"	"the"	"state"	"house"	"by"	"miss_grant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"to"	"our"	","	"eternal"	",_to"	"to_our"	"our_eternal"	"myself_,_to"	",_to_our"	"to_our_eternal"	"our_eternal_thanks"	"PRP"	"ε"	"TO"	"VB"	"PRP$"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"would"	"like"	"very_much"	"on"	"behalf"	"my"	"husband"	"and"	"myself"	"to"	"send"	"our"	"eternal"	"thanks"	"to"	"all"	"the"	"wonderful"	"people"	"responsible_for"	"the"	"gabrielle_fund"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"united_states"	"to"	"the"	"moscow"	"the_united_states"	"united_states_to"	"to_moscow"	"and_the_united_states"	"the_united_states_to"	"united_states_to_moscow"	"to_moscow_after"	"CC"	"DT"	"NN"	"VB"	"TO"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"this"	"the"	"closing"	"of"	"the"	"east_berlin-west_berlin"	"border"	"have"	"not"	"been"	"accept"	"by"	"the"	"governments"	"appear"	"in"	"notes"	"which"	"britain"	"france"	"and"	"the"	"united_states"	"send"	"to"	"moscow"	"after"	"the"	"latter"	"gratuitous"	"protest"	"over"	"a"	"visit"	"of"	"chancellor_adenauer"	"and"	"west"	"german"	"officials"	"to"	"west_berlin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"would"	"the"	"they"	"children"	"they_would"	"would_the"	"the_children"	"say_they_would"	"they_would_the"	"would_the_children"	"the_children_to"	"VB"	"PRP"	"MD"	"VB"	"DT"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"los_angeles"	"has"	"they"	"would"	"send"	"the"	"children"	"to"	"their"	"homes"	"in_case"	"of"	"disaster"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"could"	"it"	"which"	"into"	"which_could"	"could_it"	"it_into"	"fuse_which_could"	"which_could_it"	"could_it_into"	"it_into_explosive"	"NN"	"WDT"	"MD"	"VB"	"PRP"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"everyone"	"involved"	"know"	"that"	"the"	"whole"	"valley"	"a"	"powder_keg"	"and"	"mitchell_barton"	"the"	"fuse"	"which"	"could"	"send"	"it"	"into"	"explosive"	"violence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"n't"	"another"	"would"	"congratulatory"	"would_n't"	"n't_another"	"another_congratulatory"	"he_would_n't"	"would_n't_another"	"n't_another_congratulatory"	"another_congratulatory_message"	"PRP"	"MD"	"RB"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_addition"	"he"	"say"	"he"	"has"	"answer"	"more_than"	"messages"	"of"	"congratulations"	"which"	"lead"	"him"	"the"	"comment"	"that"	"he"	"himself"	"had"	"decide"	"he"	"would"	"n't"	"send"	"another"	"congratulatory"	"message"	"for"	"the"	"rest"	"of"	"his"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"suggest"	"a"	"to"	"corps"	"to_suggest"	"suggest_a"	"a_corps"	"and_to_suggest"	"to_suggest_a"	"suggest_a_corps"	"a_corps_member"	"CC"	"TO"	"VB"	"VB"	"DT"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._eisenhower"	"seize"	"upon"	"the"	"incident"	"of"	"the"	"lose"	"by"	"a"	"peace_corps"	"girl"	"in"	"nigeria"	"to"	"the"	"entire"	"corps"	"as"	"a"	"juvenile"	"experiment"	"and"	"to"	"suggest"	"send"	"a"	"corps"	"member"	"to"	"the"	"moon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"before"	"him"	"treasury_douglas_dillon"	"to"	"treasury_douglas_dillon_before"	"before_him"	"him_to"	"the_treasury_douglas_dillon_before"	"treasury_douglas_dillon_before_him"	"before_him_to"	"him_to_uruguay"	"DT"	"NNP"	"IN"	"VB"	"PRP"	"TO"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"the"	"latin_american"	"front"	"the"	"president"	"hold"	"with"	"secretary"	"of"	"the"	"treasury_douglas_dillon"	"before"	"send"	"him"	"to"	"uruguay"	"and"	"the"	"inter-american"	"economic_and_social_council"	"which"	"the"	"president"	"himself"	"had"	"originally"	"hope"	"to"	"attend"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"and"	"to"	"pass"	"the"	"pass_and"	"and_to"	"to_the"	")_pass_and"	"pass_and_to"	"and_to_the"	"to_the_white_house"	"ε"	"VB"	"CC"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"senate"	"by"	"voice"	"vote"	"and"	"the"	"house"	"pass"	"and"	"send"	"to"	"the"	"white_house"	"the"	"compromise"	"farm_bill"	"which"	"the"	"president"	"is"	"expect"	"to"	"sign"	"not"	"too"	"unhappily"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"been"	"to"	"has"	"spring_grove_state_hospital"	"has_been"	"been_to"	"to_spring_grove_state_hospital"	",_has_been"	"has_been_to"	"been_to_spring_grove_state_hospital"	"to_spring_grove_state_hospital_for"	"ε"	"VBZ"	"VBN"	"VB"	"TO"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"year-old"	"adopted"	"son"	"of"	"a"	"washington"	"attorney"	"and"	"his"	"wife"	"who"	"were"	"early"	"today"	"in"	"their"	"chesapeake"	"bay-front"	"home"	"has"	"been"	"send"	"to"	"spring_grove_state_hospital"	"for"	"detention"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
