"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"2:32:00::"	"and"	"a"	"drink"	"merger"	"drink_and"	"and_a"	"a_merger"	"a_drink_and"	"drink_and_a"	"and_a_merger"	"a_merger_''"	"DT"	"NN"	"CC"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"let"	"have"	"a"	"and"	"discuss"	"a"	"merger"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"in"	"the"	","	"lord"	",_in"	"in_the"	"the_lord"	"for_example_,_in"	",_in_the"	"in_the_lord"	"the_lord_'s"	"RB"	"ε"	"IN"	"VB"	"DT"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"use"	"dramatization"	"in"	"discuss"	"the"	"lord"	"supper"	"or"	"church"	"symbolism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"that"	"issues"	"political_campaign"	"less"	"political_campaign_that"	"that_issues"	"issues_less"	"a_political_campaign_that"	"political_campaign_that_issues"	"that_issues_less"	"issues_less_or"	"DT"	"NN"	"WDT"	"VB"	"NNS"	"JJR"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rarely"	"in"	"american"	"history"	"has"	"be"	"a"	"political_campaign"	"that"	"discuss"	"issues"	"less"	"or"	"clarify"	"them"	"less"	"say"	"mr._white"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"be"	"more"	"to"	"scientifically"	"to_be"	"be_more"	"more_scientifically"	"begin_to_be"	"to_be_more"	"be_more_scientifically"	"more_scientifically_and"	"VB"	"TO"	"VB"	"VB"	"RBR"	"RB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_recent_times"	"when"	"sexual"	"begin"	"to"	"be"	"discuss"	"more"	"scientifically"	"and"	"more"	"openly"	"the"	"emotional"	"aspects"	"of"	"virginity"	"receive"	"considerable"	"attention"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"in"	"the"	"∅"	"process"	"∅_in"	"in_the"	"the_process"	"∅_∅_in"	"∅_in_the"	"in_the_process"	"the_process_of"	"ε"	"ε"	"IN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"discuss"	"the"	"process"	"of"	"communication"	"loomis"	"define"	"it"	"as"	"the"	"process"	"by"	"which"	"information"	"decisions"	"and"	"directives"	"are"	"transmit"	"among"	"actors"	"and"	"the"	"ways"	"in_which"	"knowledge"	"opinions"	"and"	"attitudes"	"are"	"form"	"or"	"modify"	"by"	"interaction"	
"2:32:00::"	"sen._jackson"	"the"	"does"	"delicate"	"does_sen._jackson"	"sen._jackson_the"	"the_delicate"	"nor_does_sen._jackson"	"does_sen._jackson_the"	"sen._jackson_the_delicate"	"the_delicate_situation"	"CC"	"VBZ"	"NNP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nor"	"sen._jackson"	"discuss"	"the"	"delicate"	"situation"	"create"	"by"	"the"	"presence"	"in"	"the"	"white_house"	"of"	"a"	"corps"	"of"	"presidential"	"assistants"	"engage"	"in"	"the"	"study"	"of"	"foreign_policy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"the"	"go"	"personal"	"go_to"	"to_the"	"the_personal"	"can_go_to"	"go_to_the"	"to_the_personal"	"the_personal_and"	"MD"	"VB"	"VB"	"VB"	"DT"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"above_all"	"he"	"be"	"a"	"person"	"to"	"a"	"fledgling"	"representative"	"can"	"go"	"to"	"discuss"	"the"	"personal"	"and"	"professional"	"problems"	"which"	"inevitably"	"confront"	"a"	"new"	"congressman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"also"	"the"	"president"	"bizerte"	"president_also"	"also_the"	"the_bizerte"	"the_president_also"	"president_also_the"	"also_the_bizerte"	"the_bizerte_deadlock"	"DT"	"NNP"	"RB"	"VB"	"DT"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"also"	"discuss"	"the"	"bizerte"	"deadlock"	"with"	"the"	"no."	"man"	"in"	"the"	"tunisian_government"	"defense_minister_bahi_ladgham"	"who"	"fly"	"to"	"washington"	"last"	"week"	"to"	"seek"	"u._s."	"support"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"shy_away_from"	"the"	"commission"	"health"	"commission_shy_away_from"	"shy_away_from_the"	"the_health"	"atomic_energy_commission_shy_away_from"	"commission_shy_away_from_the"	"shy_away_from_the_health"	"the_health_aspects"	"NN"	"NNP"	"VB"	"VB"	"DT"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"this"	"day"	"atomic_energy"	"commission"	"shy_away_from"	"discuss"	"the"	"health"	"aspects"	"of"	"fallout"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"were"	"be"	"paintings"	"boucher"	"paintings_were"	"were_be"	"be_boucher"	"whose_paintings_were"	"paintings_were_be"	"were_be_boucher"	"be_boucher_,"	"WP$"	"NNS"	"VBD"	"VB"	"VB"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"among"	"the"	"artists"	"paintings"	"were"	"discuss"	"be"	"boucher"	"courbet"	"fra_angelico"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
