"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"3:00:00::"	"a"	"rate"	"at"	"."	"at_a"	"a_rate"	"rate_."	"increase_at_a"	"at_a_rate"	"a_rate_."	"rate_._∅"	"VB"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"population"	"at"	"location"	"increase"	"rapidly"	"from"	"in"	"to"	"in"	"economic"	"opportunity"	"did"	"not"	"at"	"a"	"similar"	"rate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"not"	"thing"	"could"	"be"	"could_not"	"not_thing"	"thing_be"	",_could_not"	"could_not_thing"	"not_thing_be"	"thing_be_say"	"ε"	"MD"	"RB"	"JJ"	"NN"	"VBP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"i"	"respond"	"not"	"similar"	"thing"	"be"	"say"	"about"	"the"	"art"	"of"	"the"	"past"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"to"	"person"	"quality"	"person_be"	"be_to"	"to_quality"	"of_person_be"	"person_be_to"	"be_to_quality"	"to_quality_i"	"IN"	"NNP"	"VB"	"JJ"	"TO"	"NN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"personal"	"of"	"person"	"be"	"similar"	"to"	"quality"	"i"	"had"	"find"	"in"	"the"	"play"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:04::"	"of"	"social"	"people"	"and"	"people_of"	"of_social"	"social_and"	"with_people_of"	"people_of_social"	"of_social_and"	"social_and_economic"	"IN"	"NN"	"IN"	"JJ"	"JJ"	"CC"	"JJ"	"by"	"friendly"	"contact"	"look"	"somewhat"	"different"	"when"	"one"	"reflect"	"on"	"what"	"is"	"known"	"about"	"friendly"	"contact"	"in"	"metropolitan"	"neighborhood"	"the"	"majority"	"of"	"such"	"contact"	"be"	"with"	"people"	"social"	"and"	"economic"	"association"	"by"	"level"	"of"	"achievement"	"be"	"the"	"dominant"	"principle"	"of"	"informal"	"relations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"and"	"device"	","	"."	",_and"	"and_device"	"device_."	"timer_,_and"	",_and_device"	"and_device_."	"device_._∅"	"NN"	"ε"	"CC"	"JJ"	"NN"	"ε"	"ε"	"0"	"commonly"	"use"	"electronic_device"	"which"	"are"	"find"	"in"	"practically"	"every"	"hospital"	"be"	"closed_circuit"	"tv"	"and"	"audio_system"	"for"	"internal"	"paging"	"and"	"instruction"	"along"	"with"	"radiation"	"counter"	"timer"	"and"	"device"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"∅"	"comment"	"∅"	"about"	"∅_∅"	"∅_comment"	"comment_about"	"∅_∅_∅"	"∅_∅_comment"	"∅_comment_about"	"comment_about_officer"	"ε"	"ε"	"ε"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"comment"	"about"	"officer"	"are"	"to"	"be"	"find"	"in"	"the"	"letter"	"of"	"northern"	"soldier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"under"	"circumstance"	"off"	")"	"off_under"	"under_circumstance"	"circumstance_)"	"head_off_under"	"off_under_circumstance"	"under_circumstance_)"	"circumstance_)_,"	"NN"	"VB"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"instead"	"of"	"quell"	"the"	"dissension"	"as"	"many"	"captain"	"the"	"era"	"would"	"have"	"do"	"person"	"lop_off"	"man"	"head"	"off"	"under"	"similar"	"circumstance"	"person"	"decide"	"to"	"be"	"reasonable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"to"	"may"	"that"	"may_be"	"be_to"	"to_that"	"net_may_be"	"may_be_to"	"be_to_that"	"to_that_show"	"NN"	"MD"	"VB"	"JJ"	"RB"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"the"	"parade_ground"	"net"	"may"	"be"	"similar"	"to"	"that"	"show"	"in"	"figure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	","	"scope"	"the"	"scope_be"	"be_,"	",_the"	"the_scope_be"	"scope_be_,"	"be_,_the"	",_the_athabascan"	"DT"	"NN"	"VB"	"JJ"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"will"	"be"	"see"	"where"	"the"	"scope"	"be"	"similar"	"the"	"athabascan"	"ratio"	"come_out"	"somewhat"	"high"	"as"	"indeed"	"they"	"ought"	"to"	"with"	"a"	"total"	"ratio"	"of"	"as"	"against"	"or"	"except"	"for"	"verb"	"where"	"alone"	"the"	"athabascan"	"ratio"	"be"	"low"	"0"	"0"	
"3:00:00::"	"a"	"analysis"	"∅"	"of"	"∅_a"	"a_analysis"	"analysis_of"	"∅_∅_a"	"∅_a_analysis"	"a_analysis_of"	"analysis_of_figure"	"ε"	"ε"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"similar"	"analysis"	"of"	"figure"	"for"	"the"	"boy"	"would"	"necessitate"	"quite"	"a"	"different"	"conclusion"	"about"	"the"	"predictive"	"value"	"of"	"onset"	"age"	"in"	"forecast"	"their"	"attainment"	"of"	"the"	"pubescent"	"stage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
