"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"3:00:01::"	"of"	"cotton"	"piece"	"string"	"piece_of"	"of_cotton"	"cotton_string"	"and_piece_of"	"piece_of_cotton"	"of_cotton_string"	"cotton_string_."	"CC"	"NN"	"IN"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"preparation"	"be"	"elaborate"	"flower"	"candle"	"incense"	"stick"	"rice"	"wine"	"of"	"delicacy"	"and"	"piece"	"of"	"white"	"cotton"	"string"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"by"	"composer"	"write"	"and"	"write_by"	"by_composer"	"composer_and"	"song_write_by"	"write_by_composer"	"by_composer_and"	"composer_and_employ"	"NN"	"VB"	"IN"	"JJ"	"NN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"negro"	"composer"	"person"	"study"	"the"	"americanegro_suite"	"and"	"say"	"it"	"of"	"all"	"the"	"many"	"song"	"write"	"by"	"white"	"composer"	"and"	"employ"	"what"	"claim"	"to"	"be"	"a"	"negroid"	"idiom"	"in"	"both"	"words"	"and"	"music"	"these"	"six"	"song"	"by"	"person"	"and"	"person"	"easily"	"stand_out"	"far"	"out"	"above"	"the"	"rest"	"0"	"0"	"0"	
"3:00:01::"	"his"	"tooth"	","	"grossly"	",_his"	"his_tooth"	"tooth_grossly"	"shriek_,_his"	",_his_tooth"	"his_tooth_grossly"	"tooth_grossly_counterpoint"	"VB"	"ε"	"PRP$"	"JJ"	"NN"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mor-ee-air-teeeee"	"he"	"shriek"	"white"	"tooth"	"grossly"	"counterpoint"	"those"	"of"	"the"	"glittering"	"blonde"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"'s"	"tooth"	"driver"	"flash"	"driver_'s"	"'s_tooth"	"tooth_flash"	"the_driver_'s"	"driver_'s_tooth"	"'s_tooth_flash"	"tooth_flash_at"	"DT"	"NN"	"POS"	"JJ"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at_once"	"my"	"ear"	"were"	"drown"	"by"	"a"	"flow"	"of"	"i"	"take_to_be"	"spanish"	"but"	"the"	"driver"	"white"	"tooth"	"flash"	"at"	"me"	"the"	"road"	"wildly"	"veer"	"beyond"	"his"	"glistening"	"hair"	"beyond"	"his"	"gesticulating"	"bottle"	"it"	"could"	"have"	"be"	"the"	"pure"	"oxford_english"	"i"	"was"	"half"	"hear"	"i"	"would"	"n't"	"have"	"know"	"the"	"difference"	
"3:00:02::"	"pasty"	"skin"	"a"	"and"	"a_pasty"	"pasty_skin"	"skin_and"	"with_a_pasty"	"a_pasty_skin"	"pasty_skin_and"	"skin_and_a"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"under"	"the"	"tree"	"there"	"be"	"a"	"dead"	"a"	"young"	"boy"	"with"	"a"	"pasty"	"white"	"skin"	"and"	"a"	"face"	"full"	"of"	"pimple"	"who"	"had"	"take"	"a"	"rifle_ball"	"directly"	"between"	"the"	"eye"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"his"	"cadillac"	"into"	"and"	"into_his"	"his_cadillac"	"cadillac_and"	"himself_into_his"	"into_his_cadillac"	"his_cadillac_and"	"cadillac_and_burst"	"PRP"	"IN"	"PRP$"	"JJ"	"NNP"	"CC"	"VB"	"him"	"in"	"monosyllable"	"nod"	"occasionally"	"mutter"	"in"	"greek"	"to"	"one"	"another"	"await"	"the"	"word"	"from"	"person"	"who"	"restlessly"	"crack"	"his"	"knuckle"	"anxious"	"stuff"	"himself"	"into"	"his"	"cadillac"	"and"	"burst"	"off"	"to"	"the"	"freeway"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"pleasant"	"city"	"rather"	"be"	"rather_pleasant"	"pleasant_city"	"city_be"	"the_rather_pleasant"	"rather_pleasant_city"	"pleasant_city_be"	"city_be_on"	"DT"	"RB"	"JJ"	"JJ"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"come"	"by"	"train"	"from"	"location"	"and"	"the"	"city"	"over"	"the"	"rather"	"pleasant"	"white"	"city"	"be"	"on"	"the"	"hill"	"where"	"the"	"chief"	"store"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"city"	"from"	","	"from_the"	"the_city"	"city_,"	"removed_from_the"	"from_the_city"	"the_city_,"	"city_,_a"	"JJ"	"IN"	"DT"	"NN"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"look"	"about"	"a_bit"	"person"	"discover"	"beyond"	"location"	"the"	"river"	"and"	"far"	"removed"	"from"	"the"	"white"	"city"	"a"	"considerable"	"tract"	"of"	"land"	"and"	"it"	"occur"	"to"	"him"	"that"	"the"	"church"	"and"	"the"	"better"	"person"	"home"	"might"	"gradually"	"be"	"move"	"to"	"this"	"plot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"with"	"girl"	"white_man"	"as"	"white_man_with"	"with_girl"	"girl_as"	"for_white_man_with"	"white_man_with_girl"	"with_girl_as"	"girl_as_inmate"	"IN"	"NN"	"IN"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it_'s"	"a"	"house_of_prostitution"	"white_man"	"with"	"white"	"girl"	"as"	"inmate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"from"	"location"	"pieta"	"marble"	"pieta_from"	"from_location"	"location_marble"	"a_pieta_from"	"pieta_from_location"	"from_location_marble"	"location_marble_."	"DT"	"NNP"	"IN"	"JJ"	"NNP"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"am"	"carve"	"pieta"	"from"	"white"	"location"	"marble"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
