"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"
"2:36:04::"	"∅"	"a"	"∅"	"reserved"	"∅_∅"	"∅_a"	"a_reserved"	"∅_∅_∅"	"∅_∅_a"	"∅_a_reserved"	"a_reserved_section"	"ε"	"ε"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"reserved"	"section"	"in"	"the"	"sanctuary"	"where"	"all"	"new"	"members"	"may"	"sit"	"together"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:04::"	"they"	"for"	"as"	"an"	"as_they"	"they_for"	"for_an"	"women_as_they"	"as_they_for"	"they_for_an"	"for_an_annual"	"NNP"	"IN"	"PRP"	"VB"	"IN"	"DT"	"JJ"	"meet"	"the"	"artist"	"be"	"the"	"invitation"	"issue"	"by"	"members"	"of"	"the"	"greater_philadelphia"	"section"	"the"	"national_council"	"of"	"jewish"	"as"	"they"	"arrange"	"for"	"an"	"annual"	"exhibit"	"and"	"sale"	"of"	"paintings"	"and"	"sculpture"	"at"	"the"	"philmont"	"country_club"	"on"	"april"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:04::"	"∅"	"for"	"∅"	"ministerial"	"∅_∅"	"∅_for"	"for_ministerial"	"∅_∅_∅"	"∅_∅_for"	"∅_for_ministerial"	"for_ministerial_graduates"	"ε"	"ε"	"ε"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"ministerial"	"graduates"	"to"	"spend"	"from"	"months"	"as"	"apprentices"	"in"	"well-established"	"churches"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:03::"	"upon"	"for"	"compliment"	"articles"	"compliment_upon"	"upon_for"	"for_articles"	"be_compliment_upon"	"compliment_upon_for"	"upon_for_articles"	"for_articles_on"	"VB"	"VB"	"IN"	"VB"	"IN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"feel"	"that"	"the"	"be"	"to"	"be"	"compliment"	"upon"	"arrange"	"for"	"articles"	"on"	"these"	"subjects"	"and"	"we"	"hope"	"that"	"it"	"will"	"continue"	"to"	"provide"	"material"	"along"	"wholesome"	"lines"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:04::"	","	"for"	"westminster"	"the"	"westminster_,"	",_for"	"for_the"	"of_westminster_,"	"westminster_,_for"	",_for_the"	"for_the_juniors"	"IN"	"NNP"	"ε"	"VB"	"IN"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"has"	"be"	"the"	"custom"	"the"	"past"	"several"	"years"	"john_cross"	"jr."	"of"	"westminster"	"arrange"	"for"	"the"	"juniors"	"meeting"	"before"	"the"	"class"	"and"	"invite"	"two"	"speakers"	"from"	"the"	"dog"	"world"	"to"	"address"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"pieces"	"for"	"harpsichord"	"strings"	"harpsichord_pieces"	"pieces_for"	"for_strings"	"be_harpsichord_pieces"	"harpsichord_pieces_for"	"pieces_for_strings"	"for_strings_apparently"	"VB"	"NN"	"NNS"	"VB"	"IN"	"NNS"	"RB"	"concerts"	"en"	"sextuor"	"record"	"by"	"l"	"orchestre"	"de"	"chambre"	"pierre_menet"	"bam"	"ld"	"turn_out"	"to"	"be"	"harpsichord"	"pieces"	"for"	"strings"	"apparently"	"by"	"the"	"composer"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:04::"	"of"	"a"	"importance"	"program"	"importance_of"	"of_a"	"a_program"	"the_importance_of"	"importance_of_a"	"of_a_program"	"a_program_for"	"DT"	"NN"	"IN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"a"	"later"	"chapter"	"deal"	"with"	"the"	"school"	"i"	"shall"	"discuss"	"the"	"importance"	"of"	"arrange"	"a"	"program"	"for"	"the"	"academically"	"talented"	"and"	"highly"	"gifted"	"youth"	"in"	"any"	"high_school"	"where"	"he"	"is"	"find"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:04::"	"thereby"	"for"	"and"	"bring"	"and_thereby"	"thereby_for"	"for_bring"	"acquainted_and_thereby"	"and_thereby_for"	"thereby_for_bring"	"for_bring_the"	"JJ"	"CC"	"RB"	"VB"	"IN"	"VB"	"DT"	"cocktail_party"	"is"	"expect"	"to"	"fulfill"	"the"	"host"	"desire"	"to"	"get_together"	"a"	"number"	"of"	"people"	"who"	"be"	"inadequately"	"and"	"thereby"	"arrange"	"for"	"bring"	"the"	"level"	"of"	"acquaintance"	"up"	"to"	"adequacy"	"for"	"future"	"cooperative"	"endeavor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"then"	"a"	","	"distribution"	",_then"	"then_a"	"a_distribution"	"compulsivity_,_then"	",_then_a"	"then_a_distribution"	"a_distribution_of"	"NN"	"ε"	"RB"	"VB"	"DT"	"NN"	"IN"	"the"	"rating"	"scale"	"of"	"compulsivity"	"was"	"construct"	"by"	"first"	"peruse"	"the"	"interview"	"record"	"categorize"	"all"	"evidence"	"related"	"compulsivity"	"then"	"arrange"	"a"	"distribution"	"of"	"such"	"information"	"apart"	"from"	"the"	"case"	"record"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"cleverly"	","	"and"	"such"	"and_cleverly"	"cleverly_,"	",_such"	"well-chosen_and_cleverly"	"and_cleverly_,"	"cleverly_,_such"	",_such_memorabilia"	"JJ"	"CC"	"RB"	"VB"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"however"	"and"	"cleverly"	"arrange"	"such"	"memorabilia"	"unfortunately"	"amount"	"to"	"more"	"of"	"an"	"interruption"	"than"	"an"	"auxiliary"	"to"	"the"	"evening"	"main"	"business"	"which"	"consider"	"the"	"talent"	"at_hand"	"should"	"probably"	"have"	"be"	"the"	"gathering"	"of"	"fresh"	"sample"	"of"	"the"	"chicago"	"style"	
