"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"
"2:31:01::"	"to"	"that"	"important"	"there"	"important_to"	"to_that"	"that_there"	"be_important_to"	"important_to_that"	"to_that_there"	"that_there_'s"	"VB"	"JJ"	"TO"	"VB"	"IN"	"EX"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"tooth"	"deformity"	"may"	"be"	"the"	"result"	"of"	"excessive"	"thumb"	"or"	"finger-sucking"	"or"	"lip-sucking"	"but"	"it"	"be"	"important"	"to"	"remember"	"that"	"there"	"a"	"difference"	"between"	"normal"	"and"	"excessive"	"sucking"	"habits"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"he"	"the"	"∅"	"last"	"∅_he"	"he_the"	"the_last"	"∅_∅_he"	"∅_he_the"	"he_the_last"	"the_last_time"	"ε"	"ε"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"remember"	"the"	"last"	"time"	"he"	"had"	"eat"	"actual"	"eggs"	"from"	"an"	"actual"	"pan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"``"	"how"	"∅"	"she"	"∅_``"	"``_how"	"how_she"	"∅_∅_``"	"∅_``_how"	"``_how_she"	"how_she_look"	"ε"	"ε"	"ε"	"VB"	"WRB"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"she"	"look"	"when"	"barney"	"hold"	"the"	"door"	"for"	"her"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"∅"	"the"	"∅"	"step-by-step"	"∅_∅"	"∅_the"	"the_step-by-step"	"∅_∅_∅"	"∅_∅_the"	"∅_the_step-by-step"	"the_step-by-step_fate"	"ε"	"ε"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"step-by-step"	"fate"	"of"	"danzig"	"and"	"the"	"west"	"german"	"misgivings"	"about"	"salami"	"tactics"	"it"	"be"	"to"	"be"	"hope"	"that"	"the"	"dispatch"	"of"	"general_clay"	"to"	"west_berlin"	"as"	"president_kennedy"	"representative"	"will"	"mark"	"a"	"stiffening"	"of"	"response"	"not_only"	"to"	"future"	"indignities"	"and"	"aggressions"	"but"	"also"	"to"	"some"	"that"	"have"	"pass"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"wistfully"	"the"	","	"old"	",_wistfully"	"wistfully_the"	"the_old"	"the_,_wistfully"	",_wistfully_the"	"wistfully_the_old"	"the_old_days"	"DT"	"ε"	"RB"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gloria"	"surname"	"ziraldo"	"circa"	"who"	"be_born"	"in"	"italy"	"and"	"once"	"do"	"chorus"	"work"	"in"	"toronto"	"has"	"be"	"longer"	"than"	"most_of"	"the"	"wistfully"	"remember"	"the"	"old"	"days"	"when"	"we"	"used_to"	"get"	"the"	"seamen"	"from"	"the"	"ships"	"you"	"know"	"with"	"big"	"turtleneck"	"sweaters"	"and"	"handkerchiefs"	"and"	"all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"there"	"the"	"sit"	"tense"	"sit_there"	"there_the"	"the_tense"	"he_sit_there"	"sit_there_the"	"there_the_tense"	"the_tense_moment"	"PRP"	"VB"	"EX"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"there"	"remember"	"the"	"tense"	"moment"	"before"	"the"	"ball"	"was"	"snap"	"the"	"churning"	"of"	"straining"	"feet"	"the"	"rasp"	"of"	"the"	"canvas"	"pants"	"the"	"smell"	"and"	"feel"	"of"	"hot"	"wet"	"woolen"	"sleeves"	"across"	"his"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"to"	"when"	"be"	"americans"	"be_to"	"to_when"	"when_americans"	"to_be_to"	"be_to_when"	"to_when_americans"	"when_americans_,"	"VB"	"VB"	"TO"	"VB"	"WRB"	"NNPS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"old"	"do"	"have"	"to"	"be"	"to"	"remember"	"when"	"americans"	"especially"	"children"	"were"	"encourage"	"to"	"be"	"polite"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"has"	"us"	"-"	"and"	"-_has"	"has_us"	"us_and"	"again_-_has"	"-_has_us"	"has_us_and"	"us_and_has"	"RB"	"ε"	"VBZ"	"VB"	"PRP"	"CC"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many_a"	"motel"	"owner"	"when"	"we"	"there"	"again"	"has"	"remember"	"us"	"and"	"has"	"say"	"he"	"prefer"	"our"	"dogs"	"to"	"most"	"children"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"i"	"being"	"∅"	"tell"	"∅_i"	"i_being"	"being_tell"	"∅_∅_i"	"∅_i_being"	"i_being_tell"	"being_tell_it"	"ε"	"ε"	"PRP"	"VB"	"VBG"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"remember"	"being"	"tell"	"it"	"would"	"happen"	"so"	"fast"	"people"	"would"	"think"	"it"	"take_place"	"overnight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"can"	"the"	"who"	"old"	"who_can"	"can_the"	"the_old"	"myself_who_can"	"who_can_the"	"can_the_old"	"the_old_``"	"PRP"	"WP"	"MD"	"VB"	"DT"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"motorists"	"like"	"who"	"can"	"remember"	"the"	"old"	"tourists"	"accommodate"	"signs"	"on"	"farm"	"houses"	"and"	"village"	"homes"	"before"	"world_war"	"can"	"only"	"marvel"	"at"	"the"	"great"	"size"	"and"	"the"	"luxury"	"of"	"the"	"relatively"	"new"	"and"	"fast-grossing"	"motel"	"business"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
