"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"
"2:40:03::"	"they"	"support"	","	"from"	",_they"	"they_support"	"support_from"	"only_,_they"	",_they_support"	"they_support_from"	"support_from_such"	"RB"	"ε"	"PRP"	"VB"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"the"	"interpretations"	"that"	"have"	"give"	"be"	"inferences"	"only"	"they"	"gain"	"support"	"from"	"such"	"comments"	"as"	"the"	"following"	"which"	"was"	"make"	"by"	"one"	"of"	"the"	"kohnstamm-negative"	"subjects"	"who"	"did"	"not"	"on"	"the"	"first"	"trial"	"perceive"	"the"	"tilt"	"illusion"	"0"	"0"	"0"	
"2:40:03::"	"to"	"control"	"it"	"of"	"it_to"	"to_control"	"control_of"	"permit_it_to"	"it_to_control"	"to_control_of"	"control_of_the"	"VB"	"PRP"	"TO"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"new_york"	"central"	"also"	"has"	"the"	"icc"	"to"	"permit"	"it"	"to"	"gain"	"control"	"of"	"the"	"b"	"o"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"not"	"from"	"did"	"you"	"did_not"	"not_from"	"from_you"	"i_did_not"	"did_not_from"	"not_from_you"	"from_you_far"	"PRP"	"VBD"	"RB"	"VB"	"IN"	"PRP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"so"	"the"	"young"	"minister"	"resign"	"to"	"go"	"and"	"study"	"and"	"pray"	"having"	"never"	"pass"	"a"	"day"	"he"	"tell"	"his"	"parishioners"	"when"	"i"	"not"	"gain"	"from"	"you"	"far"	"more_than"	"i"	"ever"	"give"	"to"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:03::"	"still"	"most_of"	"are"	"the"	"are_still"	"still_most_of"	"most_of_the"	"year-olds_are_still"	"are_still_most_of"	"still_most_of_the"	"most_of_the_attention"	"NNS"	"VBP"	"RB"	"VB"	"JJ"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"year-olds"	"still"	"gain"	"most_of"	"the"	"attention"	"at"	"the"	"track"	"green"	"horses"	"are"	"start"	"to"	"go"	"a_bit"	"and"	"jimmy_cruise"	"have"	"several"	"that"	"can"	"really"	"make_it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	","	"nerve"	"quietly"	","	"quietly_,"	",_nerve"	"nerve_,"	"say_quietly_,"	"quietly_,_nerve"	",_nerve_,"	"nerve_,_ready"	"VB"	"RB"	"ε"	"VB"	"NN"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"quietly"	"gain"	"nerve"	"ready"	"to"	"ask"	"any"	"question"	"at_all"	"no_matter_how"	"intimate"	"ready_to"	"be"	"rebuff"	"then"	"why"	"did"	"she"	"leave"	"israel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:03::"	"railroad"	"a"	"the"	"stabilized"	"the_railroad"	"railroad_a"	"a_stabilized"	"that_the_railroad"	"the_railroad_a"	"railroad_a_stabilized"	"a_stabilized_supply"	"IN"	"DT"	"NN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"additional"	"information"	"supply"	"to"	"disclose"	"that"	"the"	"railroad"	"gain"	"a"	"stabilized"	"supply"	"of"	"telegraphers"	"of_which"	"it"	"be"	"in"	"need"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"shall"	"the"	"he"	"whole"	"he_shall"	"shall_the"	"the_whole"	"if_he_shall"	"he_shall_the"	"shall_the_whole"	"the_whole_world"	"IN"	"PRP"	"MD"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"unfortunately"	"in"	"our"	"rush"	"to"	"beat"	"the"	"russians"	"we"	"have"	"forget"	"these"	"truth-packed"	"words"	"of"	"jesus_christ"	"what"	"shall"	"it"	"profit"	"a"	"man"	"he"	"shall"	"gain"	"the"	"whole"	"world"	"that"	"include"	"outer_space"	"and"	"lose"	"his"	"own"	"soul"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"∅"	"outer_space"	"∅"	"and"	"∅_∅"	"∅_outer_space"	"outer_space_and"	"∅_∅_∅"	"∅_∅_outer_space"	"∅_outer_space_and"	"outer_space_and_lose"	"ε"	"ε"	"ε"	"VB"	"NN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"outer_space"	"and"	"lose"	"inner"	"space"	"be"	"bad"	"business"	"accord"	"to"	"god"	"standards"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"has"	"her"	"she"	"freedom"	"she_has"	"has_her"	"her_freedom"	"lover_she_has"	"she_has_her"	"has_her_freedom"	"her_freedom_."	"NN"	"PRP"	"VBZ"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"beatie"	"get"	"no"	"sympathy"	"for"	"her"	"misfortune"	"soon"	"rally"	"and"	"that"	"although"	"she"	"has"	"lose"	"a"	"lover"	"she"	"has"	"gain"	"her"	"freedom"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"has"	"the"	"she"	"authority"	"she_has"	"has_the"	"the_authority"	"here_she_has"	"she_has_the"	"has_the_authority"	"the_authority_and"	"RB"	"PRP"	"VBZ"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"miss_xydis"	"have"	"a"	"natural"	"affinity"	"for"	"the"	"keyboard"	"and"	"the"	"twenty"	"years"	"since"	"her"	"debut"	"here"	"she"	"has"	"gain"	"the"	"authority"	"and"	"inner"	"assurance"	"that"	"lead"	"to"	"audience"	"control"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
