"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"
"2:35:00::"	"for"	"large"	"useful"	"diameter"	"useful_for"	"for_large"	"large_diameter"	"very_useful_for"	"useful_for_large"	"for_large_diameter"	"large_diameter_holes"	"RB"	"JJ"	"IN"	"VB"	"JJ"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"adjustable"	"fly"	"be"	"very"	"useful"	"for"	"cut"	"large"	"diameter"	"holes"	"and"	"can"	"be"	"use"	"to"	"cut"	"exact-size"	"discs"	"by"	"reverse"	"the"	"cutter"	"blade"	"0"	"0"	
"2:35:00::"	"to"	"exact-size"	"use"	"discs"	"use_to"	"to_exact-size"	"exact-size_discs"	"be_use_to"	"use_to_exact-size"	"to_exact-size_discs"	"exact-size_discs_by"	"VB"	"VB"	"TO"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"adjustable"	"fly"	"cutter"	"be"	"very"	"useful"	"for"	"large"	"diameter"	"holes"	"and"	"can"	"be"	"use"	"to"	"cut"	"exact-size"	"discs"	"by"	"reverse"	"the"	"cutter"	"blade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"dikkat"	"the"	"'"	"head"	"'_dikkat"	"dikkat_the"	"the_head"	"b_'_dikkat"	"'_dikkat_the"	"dikkat_the_head"	"the_head_from"	"NNP"	"ε"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"dikkat"	"cut"	"the"	"head"	"from"	"mercer"	"thigh"	"he"	"feel"	"the"	"knife"	"grind"	"against"	"the"	"cartilage"	"which"	"hold"	"the"	"head"	"to"	"his"	"own"	"body"	
"2:35:00::"	"to"	"four"	"mold"	"side"	"mold_to"	"to_four"	"four_side"	"use_mold_to"	"mold_to_four"	"to_four_side"	"four_side_pieces"	"VB"	"NN"	"TO"	"VB"	"CD"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"use"	"to"	"cut"	"four"	"side"	"pieces"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"∅"	"a"	"∅"	"strip"	"∅_∅"	"∅_a"	"a_strip"	"∅_∅_∅"	"∅_∅_a"	"∅_a_strip"	"a_strip_of"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"strip"	"of"	"clay"	"for"	"sides"	"long"	"enough"	"and"	"wide"	"enough"	"for"	"three"	"impressions"	"of"	"mold"	"design"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"∅"	"a_piece"	"∅"	"of"	"∅_∅"	"∅_a_piece"	"a_piece_of"	"∅_∅_∅"	"∅_∅_a_piece"	"∅_a_piece_of"	"a_piece_of_clay"	"ε"	"ε"	"ε"	"VB"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a_piece"	"of"	"clay"	"for"	"base"	"and"	"two"	"for"	"sides"	"each"	"about"	"f"	"long"	"enough"	"for"	"three"	"impressions"	"of"	"mold"	"0"	"0"	"0"	"0"	
"2:35:00::"	"men"	"the"	"'s"	"telegraph_wires"	"'s_men"	"men_the"	"the_telegraph_wires"	"barton_'s_men"	"'s_men_the"	"men_the_telegraph_wires"	"the_telegraph_wires_in"	"NNP"	"POS"	"NNS"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"barton"	"cut"	"the"	"telegraph_wires"	"in"	"half_a_dozen"	"places"	"carry_away"	"whole"	"sections"	"to"	"make"	"repairs"	"more"	"difficult"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"aluminum_foil"	"slightly"	"of"	"larger"	"of_aluminum_foil"	"aluminum_foil_slightly"	"slightly_larger"	"use_of_aluminum_foil"	"of_aluminum_foil_slightly"	"aluminum_foil_slightly_larger"	"slightly_larger_than"	"NN"	"IN"	"NN"	"VB"	"RB"	"JJR"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"n't"	"fail"	"to"	"shorten"	"time"	"by"	"the"	"use"	"of"	"aluminum_foil"	"cut"	"slightly"	"larger"	"than"	"the"	"surface"	"of"	"steaks"	"and"	"chops"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:10::"	"or"	"into"	"puncture"	"meats"	"puncture_or"	"or_into"	"into_meats"	"avoid_puncture_or"	"puncture_or_into"	"or_into_meats"	"into_meats_to"	"VB"	"VB"	"CC"	"VB"	"VB"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"puncture"	"or"	"cut"	"into"	"meats"	"to"	"test"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"through"	"instruments"	"the"	"instruments_to"	"to_through"	"through_the"	"use_instruments_to"	"instruments_to_through"	"to_through_the"	"through_the_hymen"	"VB"	"NNS"	"TO"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"extreme"	"cases"	"be"	"on"	"record"	"in_which"	"doctor"	"has"	"had"	"to"	"use"	"instruments"	"to"	"cut"	"through"	"the"	"hymen"	"to"	"permit"	"marital"	"relations_to"	"be"	"consummate"	"0"	"0"	"0"	"0"	"0"	"0"	
