"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"5:00:00:proportionate:00"	"its"	"income"	"by"	"."	"by_its"	"its_income"	"income_."	"measure_by_its"	"by_its_income"	"its_income_."	"income_._∅"	"VB"	"IN"	"PRP$"	"JJ"	"NN"	"ε"	"ε"	"to"	"assist"	"the"	"state"	"in"	"maintain"	"basic"	"vocational_rehabilitation"	"services"	"section"	"of"	"the"	"amended"	"act"	"provide"	"that"	"allotment"	"to"	"state"	"for"	"support"	"of"	"such"	"services"	"be"	"base"	"on"	"need"	"as"	"measure"	"by"	"a"	"state"	"population"	"and"	"fiscal"	"capacity"	"as"	"measure"	"by"	"its"	"per_capita"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:proportionate:00"	"average"	"income"	"determine"	"based_on"	"determine_average"	"average_income"	"income_based_on"	")_determine_average"	"determine_average_income"	"average_income_based_on"	"income_based_on_the"	"ε"	"VB"	"JJ"	"JJ"	"NN"	"JJ"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"each"	"state"	"except"	"puerto_rico"	"guam"	"the"	"virgin_islands"	"and"	"prior"	"to"	"and"	"hawaii"	"determine"	"average"	"per_capita"	"income"	"based_on"	"the"	"last"	"three"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:proportionate:00"	"average"	"income"	"the"	"for"	"the_average"	"average_income"	"income_for"	"determine_the_average"	"the_average_income"	"average_income_for"	"income_for_the"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"average"	"per_capita"	"income"	"for"	"the"	"u.s."	"based_on"	"the"	"last"	"three"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:proportionate:00"	"average"	"income"	"the"	"of"	"the_average"	"average_income"	"income_of"	"to_the_average"	"the_average_income"	"average_income_of"	"income_of_the"	"TO"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"the"	"ratio"	"of"	"the"	"average"	"per_capita"	"income"	"of"	"the"	"u.s."	"divide"	"by"	"the"	"result"	"obtain"	"in"	"item"	"above"	"0"	"0"	
"5:00:00:proportionate:00"	"average"	"income"	"'s"	"bear"	"'s_average"	"average_income"	"income_bear"	"state_'s_average"	"'s_average_income"	"average_income_bear"	"income_bear_to"	"NN"	"POS"	"JJ"	"JJ"	"NN"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"for"	"each"	"state"	"except"	"the"	"virgin_islands"	"guam"	"and"	"puerto_rico"	"and"	"prior"	"to"	"alaska"	"and"	"hawaii"	"that"	"percentage"	"which"	"bear"	"the"	"same"	"to"	"as"	"the"	"particular"	"state"	"average"	"per_capita"	"income"	"bear"	"to"	"the"	"average"	"per_capita"	"income"	"of"	"the"	"u.s."	
"5:00:00:proportionate:00"	"average"	"income"	"the"	"of"	"the_average"	"average_income"	"income_of"	"to_the_average"	"the_average_income"	"average_income_of"	"income_of_the"	"TO"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"for"	"each"	"state"	"except"	"the"	"virgin_islands"	"guam"	"and"	"puerto_rico"	"and"	"prior"	"to"	"alaska"	"and"	"hawaii"	"that"	"percentage"	"which"	"bear"	"the"	"same"	"ratio"	"to"	"as"	"the"	"particular"	"state"	"average"	"per_capita"	"bear"	"to"	"the"	"average"	"per_capita"	"income"	"of"	"the"	"u.s."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:proportionate:00"	"average"	"income"	"the"	"for"	"the_average"	"average_income"	"income_for"	"determine_the_average"	"the_average_income"	"average_income_for"	"income_for_the"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"each"	"state"	"except"	"the"	"virgin_islands"	"guam"	"puerto_rico"	"and"	"prior"	"to"	"alaska"	"hawaii"	"determine"	"the"	"average"	"per_capita"	"income"	"for"	"the"	"last"	"three"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:proportionate:00"	"average"	"income"	"the"	"for"	"the_average"	"average_income"	"income_for"	"determine_the_average"	"the_average_income"	"average_income_for"	"income_for_the"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"average"	"per_capita"	"income"	"for"	"the"	"united_states"	"for"	"the"	"last"	"three"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:proportionate:00"	"average"	"income"	"the"	"of"	"the_average"	"average_income"	"income_of"	"to_the_average"	"the_average_income"	"average_income_of"	"income_of_the"	"TO"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"the"	"ratio"	"of"	"the"	"average"	"per_capita"	"income"	"of"	"the"	"united_states"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:proportionate:00"	"average"	"income"	"'s"	"bear"	"'s_average"	"average_income"	"income_bear"	"state_'s_average"	"'s_average_income"	"average_income_bear"	"income_bear_to"	"NN"	"POS"	"JJ"	"JJ"	"NN"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"for"	"each"	"state"	"except"	"the"	"virgin_islands"	"guam"	"puerto_rico"	"and"	"prior"	"to"	"alaska"	"and"	"hawaii"	"that"	"percentage"	"which"	"bear"	"the"	"same"	"ratio"	"to"	"the"	"particular"	"state"	"average"	"per_capita"	"income"	"bear"	"to"	"the"	"average"	"per_capita"	"income"	"of"	"the"	"united_states"	"0"	"0"	
