"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"1:21:00::"	"any"	"in"	"of"	"the"	"of_any"	"any_in"	"in_the"	"out_of_any"	"of_any_in"	"any_in_the"	"in_the_treasury"	"IN"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"is"	"hereby"	"authorize"	"to"	"appropriate"	"out"	"of"	"any"	"money"	"in"	"the"	"treasury"	"not"	"appropriate"	"such"	"sum"	"as"	"may"	"be"	"necessary"	"to"	"enable"	"the"	"commission"	"to"	"carry_out"	"its"	"function"	"under"	"this"	"title"	
"1:21:02::"	"for"	"and"	"return"	"labor"	"return_for"	"for_and"	"and_labor"	"∅_return_for"	"return_for_and"	"for_and_labor"	"and_labor_invest"	"ε"	"NN"	"IN"	"NN"	"CC"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"money"	"and"	"labor"	"invest"	"may"	"be"	"small"	"even"	"in"	"a"	"good"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:02::"	"the"	"were"	"if"	"invest"	"if_the"	"the_were"	"were_invest"	"interest_if_the"	"if_the_were"	"the_were_invest"	"were_invest_in"	"NN"	"IN"	"DT"	"NN"	"VBD"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"figure"	"the"	"value"	"of"	"the"	"farm"	"in_terms_of"	"investment"	"income"	"divide"	"the"	"estimated"	"annual"	"net"	"income"	"by"	"the"	"percentage"	"that"	"you"	"could"	"expect"	"to"	"get"	"in"	"interest"	"if"	"the"	"money"	"were"	"invest"	"in"	"some"	"way"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:02::;1:21:00::"	"his"	"today"	"spend"	","	"spend_his"	"his_today"	"today_,"	"in_spend_his"	"spend_his_today"	"his_today_,"	"today_,_the"	"IN"	"VB"	"PRP$"	"NN"	"RB"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"his"	"money"	"today"	"the"	"consumer"	"is"	"pull"	"in"	"many"	"direction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"profit_sharing"	","	"by"	"such_as"	"by_profit_sharing"	"profit_sharing_,"	",_such_as"	"for_by_profit_sharing"	"by_profit_sharing_,"	"profit_sharing_,_such_as"	",_such_as_was"	"VB"	"IN"	"NN"	"NN"	"ε"	"JJ"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"can"	"you"	"consider"	"restrict"	"any"	"additional"	"benefit"	"to"	"those"	"pay"	"for"	"by"	"profit_sharing"	"money"	"such_as"	"was"	"do"	"in"	"the"	"union"	"contract"	"recently"	"sign"	"by"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"of"	"to"	"share"	"recreational_facility"	"share_of"	"of_to"	"to_recreational_facility"	"their_share_of"	"share_of_to"	"of_to_recreational_facility"	"to_recreational_facility_?"	"PRP$"	"NN"	"IN"	"NN"	"TO"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"employee"	"their"	"share"	"of"	"money"	"to"	"recreational_facility"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"much"	"on"	"too"	"team"	"too_much"	"much_on"	"on_team"	"spending_too_much"	"too_much_on"	"much_on_team"	"on_team_uniform"	"NN"	"RB"	"JJ"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"you"	"too"	"much"	"money"	"on"	"team"	"uniform"	"that"	"benefit"	"only"	"a_few"	"employee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"plant"	"?"	"your"	"∅"	"your_plant"	"plant_?"	"?_∅"	"cost_your_plant"	"your_plant_?"	"plant_?_∅"	"?_∅_∅"	"VB"	"PRP$"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"is"	"an"	"arbitrary"	"retirement"	"age"	"actually"	"cost"	"your"	"plant"	"money"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"where"	"was"	"them"	"concern"	"them_where"	"where_was"	"was_concern"	"of_them_where"	"them_where_was"	"where_was_concern"	"was_concern_''"	"JJ"	"PRP"	"WRB"	"NN"	"VBD"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"well"	"she"	"have"	"a"	"of"	"them"	"where"	"money"	"was"	"concern"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"the"	"."	"receive"	"∅"	"receive_the"	"the_."	"._∅"	"have_receive_the"	"receive_the_."	"the_._∅"	"._∅_∅"	"VB"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"minor"	"be"	"subject"	"to"	"tax"	"on"	"his"	"own"	"earnings"	"even"	"though"	"his"	"parent"	"may"	"local"	"law"	"have"	"the"	"right"	"to"	"them"	"and"	"might"	"actually"	"have"	"receive"	"the"	"money"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"much"	"he"	"how"	"may"	"how_much"	"much_he"	"he_may"	"of_how_much"	"how_much_he"	"much_he_may"	"he_may_earn"	"RB"	"WRB"	"JJ"	"NN"	"PRP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"minor"	"child"	"is"	"allow"	"a"	"personal"	"exemption"	"of"	"his"	"own"	"return"	"regardless"	"of"	"how"	"much"	"money"	"he"	"may"	"earn"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"the"	"over"	"hand"	","	"hand_the"	"the_over"	"over_,"	"∅_hand_the"	"hand_the_over"	"the_over_,"	"over_,_person"	"ε"	"VB"	"DT"	"NN"	"RB"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"money"	"over"	"person"	"wipe"	"his"	"hand"	"on"	"his"	"pant_leg"	"as"	"if"	"rid"	"himself"	"of"	"something"	"unclean"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:02::"	"have"	"in"	"who"	"their"	"who_have"	"have_in"	"in_their"	"those_who_have"	"who_have_in"	"have_in_their"	"in_their_unending"	"DT"	"WP"	"VB"	"NN"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"today"	"the"	"private_detective"	"will"	"also"	"investigate"	"insurance_claim"	"or"	"handle"	"divorce"	"case"	"but"	"his"	"function"	"remain"	"what"	"it"	"has"	"always"	"be"	"to"	"assist"	"those"	"who"	"have"	"money"	"in"	"their"	"unending"	"struggle"	"with"	"those"	"who"	"have"	"not"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"their"	"'s"	"employer"	"worth"	"employer_their"	"their_'s"	"'s_worth"	"secret_employer_their"	"employer_their_'s"	"their_'s_worth"	"'s_worth_."	"JJ"	"NN"	"PRP$"	"NN"	"POS"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"soon"	"back"	"at_work"	"his"	"secret"	"employer"	"their"	"money"	"worth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"them"	"and"	"lend"	"sit_down"	"lend_them"	"them_and"	"and_sit_down"	"to_lend_them"	"lend_them_and"	"them_and_sit_down"	"and_sit_down_them"	"TO"	"VB"	"PRP"	"NN"	"CC"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"voltaire"	"surprise"	"however"	"their"	"host"	"give"	"them"	"fresh"	"clothes"	"put_on"	"open"	"his"	"purse"	"to"	"lend"	"them"	"money"	"and"	"sit_down"	"them"	"down"	"before"	"a"	"good"	"dinner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
