"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"
"2:35:00::"	"they"	"on"	"daily"	"the"	"daily_they"	"they_on"	"on_the"	"almost_daily_they"	"daily_they_on"	"they_on_the"	"on_the_doors"	"RB"	"JJ"	"PRP"	"VB"	"IN"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"they"	"go"	"look_for"	"mergers"	"with"	"firms"	"that"	"publicly"	"quote"	"stock"	"and"	"almost"	"daily"	"they"	"pound"	"on"	"the"	"doors"	"of"	"firms"	"like"	"frito"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"person"	"the"	"∅"	"rubber"	"∅_person"	"person_the"	"the_rubber"	"∅_∅_person"	"∅_person_the"	"person_the_rubber"	"the_rubber_plate"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pound"	"the"	"rubber"	"plate"	"with"	"the"	"end"	"of"	"his"	"bat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:09::"	"a"	"of"	"to"	"cure"	"to_a"	"a_of"	"of_cure"	"prevention_to_a"	"to_a_of"	"a_of_cure"	"of_cure_."	"NN"	"TO"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"look"	"my"	"friend"	"he"	"say"	"in"	"my"	"life"	"i"	"learn"	"how"	"be"	"it"	"the"	"proverb"	"better"	"an"	"ounce"	"of"	"prevention"	"to"	"a"	"pound"	"of"	"cure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:09::"	"per"	","	"cent"	"and"	"cent_per"	"per_,"	",_and"	"2_cent_per"	"cent_per_,"	"per_,_and"	",_and_such"	"CD"	"NN"	"IN"	"NN"	"ε"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"such"	"payment"	"shall"	"be"	"make"	"to"	"small"	"domestic"	"producer"	"of"	"lead"	"as_long_as"	"the"	"market_price"	"for"	"common"	"lead"	"new_york"	"new_york"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	"be"	"below"	"cent"	"per"	"pound"	"and"	"such"	"payment"	"shall"	"be"	"per"	"centum"	"of"	"the"	"difference"	"between"	"cent"	"per"	"pound"	"and"	"the"	"average"	"market_price"	"for"	"the"	"month"	"in_which"	"the"	"sale"	"occur"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	
"1:23:09::"	"per"	"and"	"cent"	"the"	"cent_per"	"per_and"	"and_the"	"2_cent_per"	"cent_per_and"	"per_and_the"	"and_the_average"	"CD"	"NN"	"IN"	"NN"	"CC"	"DT"	"JJ"	"payment"	"shall"	"be"	"make"	"to"	"small"	"domestic"	"producer"	"of"	"lead"	"as_long_as"	"the"	"market_price"	"for"	"common"	"lead"	"at"	"new_york"	"new_york"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	"be"	"below"	"cent"	"per"	"pound"	"and"	"such"	"payment"	"shall"	"be"	"per"	"centum"	"of"	"the"	"difference"	"between"	"cent"	"per"	"pound"	"and"	"the"	"market_price"	"for"	"the"	"month"	"in_which"	"the"	"sale"	"occur"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:09::"	"per"	","	"cent"	"and"	"cent_per"	"per_,"	",_and"	"2_cent_per"	"cent_per_,"	"per_,_and"	",_and_such"	"CD"	"NN"	"IN"	"NN"	"ε"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"such"	"payment"	"shall"	"be"	"make"	"to"	"small"	"domestic"	"producer"	"of"	"zinc"	"as_long_as"	"the"	"market_price"	"for"	"prime"	"western"	"zinc"	"location"	"illinois"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	"be"	"below"	"cent"	"per"	"pound"	"and"	"such"	"payment"	"shall"	"be"	"per"	"centum"	"of"	"the"	"difference"	"between"	"cent"	"per"	"pound"	"and"	"the"	"average"	"market_price"	"for"	"the"	"month"	"in_which"	"the"	"sale"	"occur"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	
"1:23:09::"	"per"	"and"	"cent"	"the"	"cent_per"	"per_and"	"and_the"	"2_cent_per"	"cent_per_and"	"per_and_the"	"and_the_average"	"CD"	"NN"	"IN"	"NN"	"CC"	"DT"	"JJ"	"shall"	"be"	"make"	"to"	"small"	"domestic"	"producer"	"of"	"zinc"	"as_long_as"	"the"	"market_price"	"for"	"prime"	"western"	"zinc"	"at"	"location"	"illinois"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	"be"	"below"	"cent"	"per"	"pound"	"and"	"such"	"payment"	"shall"	"be"	"per"	"centum"	"of"	"difference"	"between"	"cent"	"per"	"pound"	"and"	"the"	"average"	"for"	"the"	"month"	"in_which"	"the"	"sale"	"occur"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:09::"	"the"	"of"	"of"	"flesh"	"of_the"	"the_of"	"of_flesh"	"story_of_the"	"of_the_of"	"the_of_flesh"	"of_flesh_and"	"NN"	"IN"	"DT"	"NN"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"take"	"story"	"of"	"the"	"pound"	"of"	"flesh"	"and"	"had"	"to"	"fasten"	"it"	"on"	"someone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:09::"	"100"	"of"	"per"	"body_weight"	"per_100"	"100_of"	"of_body_weight"	"gram_per_100"	"per_100_of"	"100_of_body_weight"	"of_body_weight_."	"NN"	"IN"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"gram"	"pound"	"of"	"body_weight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:09::"	"100"	"body_weight"	"per"	"with"	"per_100"	"100_body_weight"	"body_weight_with"	"gram_per_100"	"per_100_body_weight"	"100_body_weight_with"	"body_weight_with_a"	"NN"	"IN"	"JJ"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"treat"	"cattle"	"with"	"per"	"pound"	"body_weight"	"with"	"a"	"maximum"	"of"	"gram"	"per"	"animal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
