"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"2:42:00::"	"as"	"us"	"dangers"	"today"	"dangers_as"	"as_us"	"us_today"	"great_dangers_as"	"dangers_as_us"	"as_us_today"	"us_today_."	"JJ"	"NNS"	"IN"	"VB"	"PRP"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"draper"	"declare"	"as"	"i"	"see"	"it"	"this"	"country"	"never"	"face"	"such"	"great"	"dangers"	"as"	"threaten"	"us"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"that"	"her"	"forces"	","	"forces_that"	"that_her"	"her_,"	"the_forces_that"	"forces_that_her"	"that_her_,"	"her_,_pamela"	"DT"	"NNS"	"WDT"	"VB"	"PRP$"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"having"	"persist"	"too"	"long"	"in"	"deliberate"	"and"	"denial"	"of"	"the"	"forces"	"that"	"threaten"	"her"	"pamela"	"be"	"relieved"	"now"	"to"	"admit"	"their"	"potency"	"and"	"to"	"be"	"take"	"definite"	"steps"	"toward"	"grapple"	"with"	"them"	
"2:32:01::"	","	"to"	"days"	"expand"	"days_,"	",_to"	"to_expand"	"these_days_,"	"days_,_to"	",_to_expand"	"to_expand_beyond"	"DT"	"NNS"	"ε"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"headquarters"	"of"	"the"	"nassau"	"system"	"be"	"increasingly"	"busy"	"place"	"these"	"days"	"threaten"	"to"	"expand"	"beyond"	"its"	"boundaries"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"seriously"	"when"	"was"	"brigadier_general"	"was_seriously"	"seriously_when"	"when_brigadier_general"	"do_was_seriously"	"was_seriously_when"	"seriously_when_brigadier_general"	"when_brigadier_general_william_e."	"VB"	"VBD"	"RB"	"VB"	"WRB"	"NN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"what"	"the"	"elements"	"not"	"do"	"was"	"seriously"	"threaten"	"when"	"brigadier_general"	"william_e."	"grumble"	"jones"	"reach"	"philippi"	"while"	"on"	"the"	"famous"	"jones-imboden"	"raid"	"in"	"may"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"and"	"picketing"	"friday"	"and"	"friday_and"	"and_picketing"	"picketing_and"	"integration_friday_and"	"friday_and_picketing"	"and_picketing_and"	"picketing_and_``"	"NN"	"NNP"	"CC"	"VB"	"NN"	"CC"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"atlanta_negro"	"student"	"movement"	"renew"	"demands"	"for"	"movie_theater"	"integration"	"friday"	"and"	"threaten"	"picketing"	"and"	"stand-ins"	"if"	"negotiations"	"fail"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"to"	"us"	"continue"	"."	"continue_to"	"to_us"	"us_."	"which_continue_to"	"continue_to_us"	"to_us_."	"us_._∅"	"WDT"	"VB"	"TO"	"VB"	"PRP"	"ε"	"ε"	"0"	"it"	"seem"	"reasonable"	"that"	"if"	"general"	"nuclear"	"war"	"is"	"not"	"to"	"be"	"one"	"cataclysmic"	"act"	"of"	"burn"	"each"	"citizens"	"to"	"cinders"	"we"	"must"	"have"	"a"	"manned"	"strategic"	"force"	"of"	"long-endurance"	"aircraft"	"capable_of"	"go_into"	"china"	"or"	"russia"	"to"	"find"	"and"	"destroy"	"strategic"	"forces"	"which"	"continue"	"to"	"threaten"	"us"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"leaders"	"to"	"army"	"form"	"army_leaders"	"leaders_to"	"to_form"	"the_army_leaders"	"army_leaders_to"	"leaders_to_form"	"to_form_a"	"DT"	"NN"	"NNS"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"leaders"	"threaten"	"to"	"form"	"a"	"new"	"military"	"government"	"if"	"the"	"parties"	"fail"	"to"	"sign"	"an"	"eight"	"point"	"protocol"	"agree"	"on"	"gen._gursel"	"as"	"president"	"0"	"0"	"0"	
"2:42:00::"	"offensive"	"the"	"rebel"	"southeast"	"rebel_offensive"	"offensive_the"	"the_southeast"	"new_rebel_offensive"	"rebel_offensive_the"	"offensive_the_southeast"	"the_southeast_asian"	"JJ"	"NN"	"JJ"	"VB"	"DT"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"vientiane"	"the"	"royal"	"laotian"	"government"	"decide"	"today"	"to"	"ask"	"its"	"friends"	"and"	"for"	"help"	"in"	"fight"	"what"	"it"	"call"	"a"	"new"	"rebel"	"offensive"	"threaten"	"the"	"southeast"	"asian"	"kingdom"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"laos"	"to"	"in"	"ignite"	"in_laos"	"laos_to"	"to_ignite"	"situation_in_laos"	"in_laos_to"	"laos_to_ignite"	"to_ignite_another"	"NN"	"IN"	"NN"	"VB"	"TO"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"be"	"there"	"at"	"a"	"when"	"the"	"situation"	"in"	"laos"	"threaten"	"to"	"ignite"	"another"	"war"	"among"	"the"	"world"	"giant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"to"	"the_americas"	"agent"	"."	"agent_to"	"to_the_americas"	"the_americas_."	"and_agent_to"	"agent_to_the_americas"	"to_the_americas_."	"the_americas_._∅"	"CC"	"NN"	"TO"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"look_at"	"person"	"now"	"cocky"	"than"	"with"	"arms"	"and"	"agent"	"to"	"threaten"	"the_americas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
