"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"1:04:02::"	"in"	"for"	"and"	"armed"	"and_in"	"in_for"	"for_armed"	",_and_in"	"and_in_for"	"in_for_armed"	"for_armed_support"	"ε"	"CC"	"IN"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"part"	"of"	"the"	"same"	"arrangement"	"person"	"had"	"in"	"spirit"	"of"	"peace"	"and"	"good_will"	"and"	"in"	"exchange"	"for"	"armed"	"support"	"in"	"the"	"april"	"election"	"campaign"	"bestow"	"upon"	"person"	"a"	"third"	"share"	"in"	"the"	"group"	"proceeds"	"and"	"a"	"cut"	"in"	"the"	"person"	"beer"	"trade"	
"1:04:03::"	"unfettered"	"of"	"the"	"idea"	"the_unfettered"	"unfettered_of"	"of_idea"	",_the_unfettered"	"the_unfettered_of"	"unfettered_of_idea"	"of_idea_,"	"ε"	"DT"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"are"	"remind"	"however"	"that"	"freedom_of_thought"	"discussion"	"the"	"unfettered"	"exchange"	"of"	"idea"	"be"	"basic"	"under"	"our"	"form_of_government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"or"	"of"	"sale"	"property"	"sale_or"	"or_of"	"of_property"	"on_sale_or"	"sale_or_of"	"or_of_property"	"of_property_be"	"IN"	"NN"	"CC"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"deductible"	"losses"	"sale"	"or"	"exchange"	"of"	"property"	"be"	"allowable"	"in"	"determine"	"your"	"adjusted_gross_income"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"in"	"for"	"immortality"	"disobedience"	"immortality_in"	"in_for"	"for_disobedience"	"of_immortality_in"	"immortality_in_for"	"in_for_disobedience"	"for_disobedience_cost"	"IN"	"NN"	"IN"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"man"	"was"	"create"	"with"	"the"	"capacity"	"for"	"immortality"	"the"	"devil"	"promise"	"of"	"immortality"	"in"	"exchange"	"for"	"disobedience"	"cost"	"adam"	"his"	"immortality"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"thermal"	"of"	"the"	"chlorine"	"the_thermal"	"thermal_of"	"of_chlorine"	"∅_the_thermal"	"the_thermal_of"	"thermal_of_chlorine"	"of_chlorine_between"	"ε"	"DT"	"JJ"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thermal"	"exchange"	"of"	"chlorine"	"between"	"f"	"and"	"liquid"	"f"	"be"	"readily"	"measurable"	"at"	"temperature"	"in"	"the"	"range"	"of"	"and"	"above"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"isotopic"	"reaction"	","	"between"	",_isotopic"	"isotopic_reaction"	"reaction_between"	"molecule_,_isotopic"	",_isotopic_reaction"	"isotopic_reaction_between"	"reaction_between_elemental"	"NN"	"ε"	"JJ"	"NN"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"because"	"of"	"the"	"simplicity"	"the"	"molecule"	"isotopic"	"exchange"	"reaction"	"between"	"elemental"	"halogen"	"and"	"the"	"corresponding"	"carbon_tetrahalide"	"would"	"appear"	"to"	"offer"	"particularly"	"fruitful"	"possibility"	"obtain"	"unambiguous"	"basic"	"kinetic"	"data"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"the"	"of"	","	"inactive"	",_the"	"the_of"	"of_inactive"	"radiochlorine_,_the"	",_the_of"	"the_of_inactive"	"of_inactive_chlorine"	"NN"	"ε"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"several"	"method"	"employ"	"for"	"chlorine"	"with"	"radiochlorine"	"the"	"exchange"	"of"	"inactive"	"chlorine"	"with"	"tagged"	"aluminum_chloride"	"at"	"room_temperature"	"was"	"find"	"to"	"be"	"the"	"most"	"satisfactory"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"chlorine"	"per"	"the"	"hour"	"the_chlorine"	"chlorine_per"	"per_hour"	"of_the_chlorine"	"the_chlorine_per"	"chlorine_per_hour"	"per_hour_to"	"IN"	"DT"	"NN"	"VB"	"IN"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"reaction"	"rate"	"observe"	"at"	"range"	"from"	"of"	"the"	"chlorine"	"exchange"	"per"	"hour"	"to"	"exchange"	"per"	"hour"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"0.7"	"per"	"to"	"hour"	"to_0.7"	"0.7_per"	"per_hour"	"hour_to_0.7"	"to_0.7_per"	"0.7_per_hour"	"per_hour_."	"NN"	"TO"	"CD"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"reaction"	"rate"	"observe"	"at"	"range"	"from"	"f"	"of"	"chlorine"	"exchange"	"per"	"hour"	"to"	"exchange"	"per"	"hour"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"thermal"	","	"the"	"although"	"the_thermal"	"thermal_,"	",_although"	"than_the_thermal"	"the_thermal_,"	"thermal_,_although"	",_although_still"	"IN"	"DT"	"JJ"	"NN"	"ε"	"IN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"liquid"	"phase"	"photochemical_exchange"	"between"	"chlorine"	"carbon_tetrachloride"	"be"	"more"	"reproducible"	"than"	"the"	"thermal"	"exchange"	"although"	"still"	"erratic"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"cultural"	"."	"joint"	"∅"	"joint_cultural"	"cultural_."	"._∅"	"of_joint_cultural"	"joint_cultural_."	"cultural_._∅"	"._∅_∅"	"IN"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"ε"	"good"	"representation"	"of"	"peasant"	"and"	"people"	"of"	"the"	"court"	"by"	"actor"	"who"	"are"	"finely"	"costume"	"and"	"magnificently"	"photograph"	"in"	"this"	"last"	"of"	"the"	"russian"	"film"	"to"	"reach"	"this"	"country"	"in"	"the"	"program"	"of"	"joint"	"cultural"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"be"	"∅"	"almost"	"∅_the"	"the_be"	"be_almost"	"∅_∅_the"	"∅_the_be"	"the_be_almost"	"be_almost_invariable"	"ε"	"ε"	"DT"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"exchange"	"be"	"almost"	"invariable"	"and"	"person"	"in"	"his"	"bed"	"could"	"hear"	"every"	"word"	"of_it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"own"	","	"its"	"which"	"its_own"	"own_,"	",_which"	"receive_its_own"	"its_own_,"	"own_,_which"	",_which_make"	"VB"	"PRP$"	"JJ"	"NN"	"ε"	"WDT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"person"	"its"	"own"	"exchange"	"which"	"make"	"business"	"easy"	"for"	"the"	"location"	"office"	"but"	"it"	"was"	"not"	"until"	"february"	"that"	"area"	"service"	"was"	"extend"	"to"	"include"	"location"	"and"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
