"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"
"2:35:00::"	"to"	","	"if"	"but"	"if_to"	"to_,"	",_but"	"as_if_to"	"if_to_,"	"to_,_but"	",_but_his"	"IN"	"IN"	"TO"	"VB"	"ε"	"CC"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"vince"	"lift"	"his"	"as"	"if"	"to"	"strike"	"but"	"his"	"thin"	"lips"	"spread"	"in"	"a"	"smile"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"mike"	"with"	"∅"	"the"	"∅_mike"	"mike_with"	"with_the"	"∅_∅_mike"	"∅_mike_with"	"mike_with_the"	"with_the_muzzle"	"ε"	"ε"	"NNP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"strike"	"with"	"the"	"muzzle"	"of"	"the"	"pistol"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	","	"by"	"wagons"	"a"	"wagons_,"	",_by"	"by_a"	"supply_wagons_,"	"wagons_,_by"	",_by_a"	"by_a_new"	"NN"	"NNS"	"ε"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"look"	"at"	"the"	"looming"	"of"	"the"	"supply"	"wagons"	"strike"	"by"	"a"	"new"	"inspiration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"dag_hammarskjold"	"me"	"late"	"as"	"late_dag_hammarskjold"	"dag_hammarskjold_me"	"me_as"	"the_late_dag_hammarskjold"	"late_dag_hammarskjold_me"	"dag_hammarskjold_me_as"	"me_as_less_than"	"DT"	"JJ"	"NNP"	"VB"	"PRP"	"IN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"better"	"late"	"than"	"never"	"may"	"have"	"certain"	"merits"	"the"	"award"	"the"	"nobel_prize"	"for"	"peace"	"to"	"the"	"late"	"dag_hammarskjold"	"strike"	"me"	"as"	"less_than"	"a"	"satisfactory"	"expression"	"of"	"appreciation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"thug"	"a"	"a"	"cab"	"a_thug"	"thug_a"	"a_cab"	"∅_a_thug"	"a_thug_a"	"thug_a_cab"	"a_cab_driver"	"ε"	"DT"	"NN"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thug"	"strike"	"a"	"cab"	"driver"	"in"	"the"	"face"	"with"	"a"	"pistol"	"last"	"night"	"after"	"rob"	"him"	"of"	"at"	"franklin"	"and"	"mount"	"streets"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"argument"	"his"	"an"	"uncle"	"an_argument"	"argument_his"	"his_uncle"	"after_an_argument"	"an_argument_his"	"argument_his_uncle"	"his_uncle_with"	"IN"	"DT"	"NN"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"younger"	"thomas"	"rip"	"a"	"screen_door"	"break"	"latch"	"and"	"after"	"an"	"argument"	"strike"	"his"	"uncle"	"with"	"a"	"rock"	"scratch"	"his"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"taiwan"	"me"	"in"	"as"	"in_taiwan"	"taiwan_me"	"me_as"	"planners_in_taiwan"	"in_taiwan_me"	"taiwan_me_as"	"me_as_realistic"	"NNS"	"IN"	"NNP"	"VB"	"PRP"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"in"	"taiwan"	"strike"	"me"	"as"	"realistic"	"men"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"to"	"with"	"were"	"complete"	"were_to"	"to_with"	"with_complete"	"he_were_to"	"were_to_with"	"to_with_complete"	"with_complete_surprise"	"PRP"	"VBD"	"TO"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"great"	"many"	"writers"	"are"	"bewitch"	"by"	"the"	"apparently"	"advantage"	"an"	"attacker"	"would"	"have"	"if"	"he"	"were"	"to"	"strike"	"with"	"complete"	"surprise"	"use"	"nuclear"	"rockets"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"sun"	"walls"	"the"	"and"	"the_sun"	"sun_walls"	"walls_and"	"directly_the_sun"	"the_sun_walls"	"sun_walls_and"	"walls_and_roof"	"RB"	"DT"	"NN"	"VB"	"NNS"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"more"	"the"	"sun"	"strike"	"walls"	"and"	"roof"	"the"	"greater"	"its"	"heat"	"impact"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"before"	","	"join"	"say"	"join_before"	"before_,"	",_say"	"workers_join_before"	"join_before_,"	"before_,_say"	",_say_the"	"NNS"	"VB"	"IN"	"VB"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sydney_larson"	"a"	"staff"	"representative"	"for"	"the"	"united_steel"	"workers"	"the"	"firm"	"workers"	"join"	"before"	"strike"	"say"	"the"	"state"	"labor"	"relations"	"board"	"has"	"been"	"ask"	"to"	"set_up"	"an"	"election"	"to"	"pick"	"a"	"bargaining"	"agent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
