"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"
"2:31:00::"	"russia"	"our"	"``"	"show"	"``_russia"	"russia_our"	"our_show"	"that_``_russia"	"``_russia_our"	"russia_our_show"	"our_show_of"	"IN"	"ε"	"NNP"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"say"	"that"	"from"	"his"	"experience"	"of"	"two"	"with"	"gen._clay"	"in"	"west_berlin"	"administration"	"that"	"russia"	"respect"	"our"	"show"	"of"	"strength"	"but"	"that"	"presently"	"we"	"be"	"not"	"act"	"as"	"we"	"should"	"and"	"must"	
"2:31:00::"	"that"	","	"program"	"generally"	"program_that"	"that_,"	",_generally"	"a_program_that"	"program_that_,"	"that_,_generally"	",_generally_,"	"DT"	"NN"	"WDT"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"until"	"the"	"cuban"	"fiasco"	"and"	"the"	"communist"	"military"	"victories"	"in"	"laos"	"almost"	"any"	"observer"	"would"	"have"	"that"	"president_kennedy"	"had"	"blend"	"a"	"program"	"that"	"respect"	"generally"	"the"	"opinions"	"voice"	"both"	"by"	"mr._nixon"	"and"	"the"	"professors"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"and"	"yours"	","	"in_turn"	",_and"	"and_yours"	"yours_in_turn"	"natures_,_and"	",_and_yours"	"and_yours_in_turn"	"yours_in_turn_."	"NNS"	"ε"	"CC"	"VB"	"PRP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"this"	"simply"	"require"	"that"	"they"	"behave"	"in_accordance_with"	"dictates"	"of"	"their"	"own"	"natures"	"and"	"respect"	"yours"	"in_turn"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"with"	"to"	"law"	"the"	"law_with"	"with_to"	"to_the"	"existing_law_with"	"law_with_to"	"with_to_the"	"to_the_ownership"	"JJ"	"NN"	"NN"	"NN"	"NN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nothing"	"in"	"the"	"act"	"shall"	"construe"	"to"	"alter"	"existing"	"law"	"with"	"respect"	"to"	"the"	"ownership"	"and"	"control"	"of"	"water"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"'s"	"for"	"crew"	"him"	"crew_'s"	"'s_for"	"for_him"	"the_crew_'s"	"crew_'s_for"	"'s_for_him"	"for_him_."	"DT"	"NN"	"POS"	"NN"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"person"	"resume"	"his"	"desperate"	"crisscross"	"of"	"the"	"bay"	"every"	"incident"	"lessen"	"the"	"crew"	"respect"	"for"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"in"	"to"	"only"	"the"	"only_in"	"in_to"	"to_the"	"differ_only_in"	"only_in_to"	"in_to_the"	"to_the_variable"	"VB"	"RB"	"NN"	"NN"	"NN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"would"	"have"	"been"	"desirable"	"for"	"two"	"community"	"to"	"have"	"differ"	"only"	"in"	"respect"	"to"	"the"	"variable"	"being"	"investigate"	"the"	"degree"	"of"	"structure"	"in"	"teaching_method"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"just"	"all"	"indicate"	"all_the"	"the_just"	"just_indicate"	"in_all_the"	"all_the_just"	"the_just_indicate"	"just_indicate_utopian"	"IN"	"JJ"	"DT"	"NN"	"RB"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"respect"	"just"	"indicate"	"utopian"	"communism"	"differ"	"from"	"previous"	"conception"	"in"	"which"	"community"	"of"	"possession"	"living"	"play"	"a"	"role"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"'s"	"for"	"people"	"the"	"people_'s"	"'s_for"	"for_the"	"on_people_'s"	"people_'s_for"	"'s_for_the"	"for_the_electrical"	"VB"	"NN"	"POS"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"with"	"these"	"gadget"	"impressive"	"to"	"the"	"gullible"	"because"	"of"	"their"	"flash"	"light_bulb"	"tick"	"and"	"buzz"	"he"	"then"	"carry_out"	"a"	"vicious"	"medical"	"con_game"	"capitalize"	"on"	"respect"	"for"	"the"	"electrical"	"and"	"atomic"	"wonder"	"of"	"our"	"scientific"	"age"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"."	"to"	"∅"	"to_be"	"be_."	"._∅"	"was_to_be"	"to_be_."	"be_._∅"	"._∅_∅"	"VBD"	"TO"	"VB"	"VB"	"ε"	"ε"	"ε"	"morning"	"as"	"the"	"clock"	"strike"	"nine"	"he"	"appear"	"at"	"the"	"council"	"meeting"	"in"	"the"	"location"	"and"	"insist"	"that"	"the"	"couple"	"would"	"have_to"	"be"	"punish"	"if"	"the"	"church"	"was"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"this"	"."	"in"	"∅"	"in_this"	"this_."	"._∅"	"drug_in_this"	"in_this_."	"this_._∅"	"._∅_∅"	"NN"	"RB"	"RB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"particular"	"importance"	"be"	"the"	"study"	"the"	"action"	"of"	"drug"	"in"	"this"	"respect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
