"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"
"3:00:04::"	"the"	"bedroom"	"face"	"door"	"face_the"	"the_bedroom"	"bedroom_door"	"still_face_the"	"face_the_bedroom"	"the_bedroom_door"	"bedroom_door_."	"RB"	"VB"	"DT"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"without"	"take_off"	"his"	"coat"	"he"	"sit"	"in"	"blue"	"chair"	"which"	"still"	"face"	"the"	"closed"	"bedroom"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:03::"	"half"	","	"be"	"while"	"be_half"	"half_,"	",_while"	"eye_be_half"	"be_half_,"	"half_,_while"	",_while_his"	"NN"	"VB"	"JJ"	"JJ"	"ε"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"paint"	"person"	"physical"	"be"	"half"	"closed"	"while"	"his"	"mind's_eye"	"be"	"wide-open"	"and"	"this"	"circumstance"	"account_for"	"in"	"part"	"for"	"the"	"impression"	"he"	"wish"	"to"	"convey"	
"3:00:03::"	"half"	"lid"	"through"	"at"	"through_half"	"half_lid"	"lid_at"	"peer_through_half"	"through_half_lid"	"half_lid_at"	"lid_at_his"	"VB"	"IN"	"RB"	"JJ"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"through"	"half"	"closed"	"lid"	"at"	"his"	"reflection"	"thrust"	"up"	"his"	"chin"	"in"	"a"	"gesture"	"of"	"satisfaction"	"and"	"about-face"	"0"	"0"	"0"	
"3:00:02::"	"algebraically"	"field"	"an"	"f"	"an_algebraically"	"algebraically_field"	"field_f"	"over_an_algebraically"	"an_algebraically_field"	"algebraically_field_f"	"field_f_,"	"IN"	"DT"	"RB"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"let"	"v"	"be"	"a"	"finite"	"vector"	"space"	"over"	"an"	"algebraically"	"closed"	"field"	"f"	"e.g."	"the"	"field"	"of"	"complex_number"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"algebraically"	"field"	"an"	"is"	"an_algebraically"	"algebraically_field"	"field_is"	"over_an_algebraically"	"an_algebraically_field"	"algebraically_field_is"	"field_is_essentially"	"IN"	"DT"	"RB"	"JJ"	"NN"	"VBZ"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"these"	"result"	"one"	"see"	"that"	"the"	"study"	"linear_operator"	"on"	"vector"	"space"	"over"	"an"	"algebraically"	"closed"	"field"	"is"	"essentially"	"reduce"	"to"	"the"	"study"	"of"	"nilpotent"	"operator"	"0"	"0"	"0"	
"3:00:01::"	"eye"	"she"	"with"	"slowly"	"with_eye"	"eye_she"	"she_slowly"	"and_with_eye"	"with_eye_she"	"eye_she_slowly"	"she_slowly_begin"	"CC"	"IN"	"NN"	"JJ"	"PRP"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"pick_up"	"the"	"hem"	"her"	"gown"	"and"	"with"	"eye"	"closed"	"she"	"slowly"	"begin"	"to"	"dance"	"a"	"stately"	"minuet"	"around"	"the"	"ballroom"	"0"	"0"	"0"	"0"	
"3:00:04::"	"my"	"door"	"behind"	"i"	"behind_my"	"my_door"	"door_i"	"and_behind_my"	"behind_my_door"	"my_door_i"	"door_i_was"	"CC"	"IN"	"PRP$"	"JJ"	"NN"	"PRP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"five"	"o'clock"	"that"	"night"	"it"	"already"	"dark"	"and"	"behind"	"my"	"closed"	"door"	"i"	"was"	"dress"	"as"	"carefully"	"as"	"a"	"groom"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	","	","	"simple"	"plane"	"simple_,"	",_,"	",_plane"	"a_simple_,"	"simple_,_,"	",_,_plane"	",_plane_curve"	"DT"	"JJ"	"ε"	"JJ"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"consider"	"simple"	"closed"	"plane"	"curve"	"c"	"which"	"be"	"a"	"real"	"analytic"	"image"	"of"	"the"	"unit"	"circle"	"and"	"which"	"is"	"give"	"by"	"0"	
"3:00:01::"	"were"	"against"	"shutter"	"the"	"shutter_were"	"were_against"	"against_the"	"the_shutter_were"	"shutter_were_against"	"were_against_the"	"against_the_afternoon"	"DT"	"NN"	"VBD"	"JJ"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"bring"	"you"	"here"	"again"	"person"	"she"	"ask"	"take"	"him"	"and"	"into"	"the"	"parlor"	"where"	"the"	"shutter"	"were"	"closed"	"against"	"the"	"afternoon"	"sun"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	"door"	"on"	"of"	"on_the"	"the_door"	"door_of"	"lightly_on_the"	"on_the_door"	"the_door_of"	"door_of_the"	"RB"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"n't"	"but"	"it"	"be"	"not"	"really"	"a"	"question"	"and"	"so"	"he"	"leave"	"the"	"room"	"walk"	"down"	"the"	"hall"	"to"	"the"	"front"	"of"	"the"	"apartment"	"hesitate"	"and"	"knock"	"lightly"	"on"	"the"	"door"	"of"	"the"	"study"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
